actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-04-01T23:11:04.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-01T23:11:04Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-04-01T23:11:08.4Z,1,REGULAR,jumpball,recovered,[],1642845,,,1610612755,0,0,2026-04-01T23:11:08Z,40000,False,,,0,,Jump Ball A. Bona vs. T. Vukcevic: Tip to V. Edgecombe,"[1642845, 1641737, 1641774]",1610612755.0,PHI,startperiod,V. Edgecombe,1642845.0,Edgecombe,V. Edgecombe,Bona,1641737.0,Vukcevic,1641774.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2026-04-01T23:11:26.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202331,17.559132720105126,61.76470588235294,1610612755,0,2,2026-04-01T23:11:32Z,70000,False,-59.0,113.0,1,left,P. George 12' pullup Jump Shot (2 PTS) (T. Maxey 1 AST),"[202331, 1630178]",1610612755.0,PHI,pullup,,,George,P. George,,,,,In The Paint (Non-RA),8-16 Center,12.7,Made,2.0,T. Maxey,1630178.0,1.0,,,,,,,,,,,,,,
8,PT11M21.00S,2026-04-01T23:11:42.7Z,1,REGULAR,2pt,Jump Shot,[],1642267,81.02825229960578,27.696078431372552,1610612764,2,2,2026-04-01T23:12:52Z,80000,False,-112.0,126.0,1,right,B. Carrington 16' Jump Shot (2 PTS),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Mid-Range,16-24 Left Center,16.81,Made,2.0,,,,,,,,,,,,,,,,,
10,PT10M58.00S,2026-04-01T23:12:06.3Z,1,REGULAR,turnover,bad pass,[],1630178,,,1610612755,2,2,2026-04-01T23:12:10Z,90000,False,,,0,,T. Maxey bad pass TURNOVER (1 TO),"[1630178, 1641774]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,1.0,Vukcevic,1641774.0,,,,,,,,,,,
11,PT10M58.00S,2026-04-01T23:12:06.3Z,1,REGULAR,steal,,[],1641774,,,1610612764,2,2,2026-04-01T23:21:39Z,100000,False,,,0,,T. Vukcevic STEAL (1 STL),[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
12,PT10M44.00S,2026-04-01T23:12:20.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1641731,94.82588699080158,8.823529411764707,1610612764,2,2,2026-04-01T23:12:44Z,110000,False,-206.0,-4.0,1,right,MISS B. Coulibaly 20' step back Shot - blocked,"[1641731, 1641737]",1610612764.0,WAS,step back,,,Coulibaly,B. Coulibaly,,,,,Mid-Range,16-24 Left,20.59,Missed,,,,,,,,Bona,1641737.0,,,,,,,,,
16,PT10M44.00S,2026-04-01T23:12:20.3Z,1,REGULAR,block,,[],1641737,,,1610612764,2,2,2026-04-01T23:12:44Z,115000,False,,,0,,A. Bona BLOCK (1 BLK),[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
13,PT10M42.00S,2026-04-01T23:12:22.3Z,1,REGULAR,rebound,defensive,[],1642845,,,1610612755,2,2,2026-04-01T23:12:44Z,120000,False,,,0,,V. Edgecombe REBOUND (Off:0 Def:1),[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,
14,PT10M38.00S,2026-04-01T23:12:26.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630178,28.597240473061763,76.9607843137255,1610612755,2,2,2026-04-01T23:15:05Z,130000,False,-135.0,216.0,1,left,MISS T. Maxey 25' running pullup 3PT,[1630178],1610612755.0,PHI,running pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,25.49,Missed,,,,,,,,,,,,,,,,,,
15,PT10M36.00S,2026-04-01T23:12:30.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,2,2,2026-04-01T23:12:30Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,14.0,,,,,,,,
17,PT10M28.00S,2026-04-01T23:12:57.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],202331,21.23850197109067,59.80392156862745,1610612755,2,4,2026-04-01T23:13:02Z,150000,False,-49.0,147.0,1,left,P. George 15' pullup Jump Shot (4 PTS) (V. Edgecombe 1 AST),"[202331, 1642845]",1610612755.0,PHI,pullup,,,George,P. George,,,,,Mid-Range,8-16 Center,15.5,Made,4.0,V. Edgecombe,1642845.0,1.0,,,,,,,,,,,,,,
19,PT10M08.00S,2026-04-01T23:13:18.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641731,92.06636005256242,54.41176470588235,1610612764,4,4,2026-04-01T23:13:23Z,170000,False,22.0,22.0,1,right,B. Coulibaly cutting DUNK (2 PTS) (T. Vukcevic 1 AST),"[1641731, 1641774]",1610612764.0,WAS,cutting,,,Coulibaly,B. Coulibaly,,,,,Restricted Area,0-8 Center,3.13,Made,2.0,T. Vukcevic,1641774.0,1.0,,,,,,,,,,,,,,
21,PT10M01.00S,2026-04-01T23:13:25.2Z,1,REGULAR,3pt,Jump Shot,[],1642845,13.485545335085414,96.81372549019608,1610612755,4,4,2026-04-01T23:13:29Z,190000,False,-234.0,74.0,1,left,MISS V. Edgecombe 24' 3PT,[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,Left Corner 3,24+ Left,24.56,Missed,,,,,,,,,,,,,,,,,,
