actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-17T23:11:01.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-17T23:11:01Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-03-17T23:11:03.2Z,1,REGULAR,jumpball,recovered,[],1641709,,,1610612765,0,0,2026-03-17T23:11:03Z,40000,False,,,0,,Jump Ball J. Duren vs. A. Gill: Tip to A. Thompson,"[1641709, 1631105, 1630264]",1610612765.0,DET,startperiod,A. Thompson,1641709.0,Thompson,A. Thompson,Duren,1631105.0,Gill,1630264.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2026-03-17T23:11:18.3Z,1,REGULAR,turnover,out-of-bounds,[],1630595,,,1610612765,0,0,2026-03-17T23:11:28Z,70000,False,,,0,,C. Cunningham bad pass out-of-bounds TURNOVER (1 TO),[1630595],1610612765.0,DET,bad pass,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),8-16 Center,1627961.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2026-03-17T23:11:36.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1642860,90.22667542706965,23.03921568627451,1610612764,2,0,2026-03-17T23:11:43Z,80000,False,-135.0,39.0,1,right,W. Riley 14' fadeaway Jump Shot (2 PTS),[1642860],1610612764.0,WAS,fadeaway,,,Riley,W. Riley,,,,,Mid-Range,8-16 Left,,,14.04,Made,2.0,,,,,,,,,,,,,,,
9,PT11M24.00S,2026-03-17T23:11:45.9Z,1,REGULAR,2pt,Jump Shot,[],1629130,7.046649145860711,69.6078431372549,1610612765,2,0,2026-03-17T23:12:40Z,90000,False,-98.0,14.0,1,left,MISS D. Robinson 9' driving floating Shot,[1629130],1610612765.0,DET,driving floating,,,Robinson,D. Robinson,,,,,Mid-Range,8-16 Left,,,9.9,Missed,,,,,,,,,,,,,,,,
10,PT11M22.00S,2026-03-17T23:11:47.9Z,1,REGULAR,rebound,defensive,[],1630551,,,1610612764,2,0,2026-03-17T23:11:49Z,100000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:1),[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,Mid-Range,8-16 Left,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M17.00S,2026-03-17T23:11:52.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630551,92.85479632063075,62.00980392156863,1610612764,2,0,2026-03-17T23:11:58Z,110000,False,60.0,15.0,1,right,MISS J. Champagnie 6' running Layup,[1630551],1610612764.0,WAS,running,,,Champagnie,J. Champagnie,,,,,In The Paint (Non-RA),0-8 Center,,,6.18,Missed,,,,,,,,,,,,,,,,
12,PT11M15.00S,2026-03-17T23:11:54.7Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,2,0,2026-03-17T23:11:58Z,120000,False,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),0-8 Center,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M06.00S,2026-03-17T23:12:03.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,10.33180026281209,41.66666666666667,1610612765,2,0,2026-03-17T23:12:09Z,130000,False,42.0,45.0,1,left,MISS T. Harris 6' driving floating Shot,[202699],1610612765.0,DET,driving floating,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,6.11,Missed,,,,,,,,,,,,,,,,
14,PT11M01.00S,2026-03-17T23:12:08.0Z,1,REGULAR,rebound,offensive,[],202699,,,1610612765,2,0,2026-03-17T23:12:08Z,140000,False,,,0,,T. Harris REBOUND (Off:1 Def:0),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,,,,13.0,1.0,0.0,1.0,,,,,,,,,,,
