actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-02-22T23:11:21.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-22T23:11:21Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2026-02-22T23:11:23.5Z,1,REGULAR,jumpball,recovered,[],1641706,,,1610612766,0,0,2026-02-22T23:11:23Z,40000,False,,,0,,Jump Ball R. Kalkbrenner vs. A. Gill: Tip to B. Miller,"[1641706, 1641750, 1630264]",1610612766.0,CHA,startperiod,B. Miller,1641706.0,Miller,B. Miller,Kalkbrenner,1641750.0,Gill,1630264.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2026-02-22T23:11:42.0Z,1,REGULAR,turnover,bad pass,[],1642851,,,1610612766,0,0,2026-02-22T23:11:47Z,70000,False,,,0,,K. Knueppel bad pass TURNOVER (1 TO),"[1642851, 1642273]",1610612766.0,CHA,,,,Knueppel,K. Knueppel,,,,,Above the Break 3,24+ Left Center,1.0,George,1642273.0,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2026-02-22T23:11:42.0Z,1,REGULAR,steal,,[],1642273,,,1610612764,0,0,2026-02-22T23:11:44Z,80000,False,,,0,,K. George STEAL (1 STL),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2026-02-22T23:11:47.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641731,5.732588699080158,53.67647058823529,1610612764,2,0,2026-02-22T23:11:57Z,90000,False,-18.0,1.0,1,left,B. Coulibaly running Layup (2 PTS),[1641731],1610612764.0,WAS,running,,,Coulibaly,B. Coulibaly,,,,,Restricted Area,0-8 Center,,,,1.85,Made,2.0,,,,,,,,,,,,,,
10,PT11M22.00S,2026-02-22T23:11:58.7Z,1,REGULAR,2pt,Jump Shot,[],1641706,77.4802890932983,40.68627450980392,1610612766,2,2,2026-02-22T23:12:02Z,100000,False,-47.0,159.0,1,right,B. Miller 16' pullup Jump Shot (2 PTS) (L. Ball 1 AST),"[1641706, 1630163]",1610612766.0,CHA,pullup,,,Miller,B. Miller,,,,,Mid-Range,16-24 Center,,,,16.59,Made,2.0,L. Ball,1630163.0,1.0,,,,,,,,,,,
12,PT11M03.00S,2026-02-22T23:12:16.9Z,1,REGULAR,3pt,Jump Shot,[],1641731,28.728646517739815,12.745098039215685,1610612764,2,2,2026-02-22T23:12:20Z,120000,False,186.0,218.0,1,left,MISS B. Coulibaly 28' 3PT,[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Right Center,,,,28.64,Missed,,,,,,,,,,,,,,,
13,PT11M02.00S,2026-02-22T23:12:17.9Z,1,REGULAR,rebound,defensive,[],1641750,,,1610612766,2,2,2026-02-22T23:12:20Z,130000,False,,,0,,R. Kalkbrenner REBOUND (Off:0 Def:1),[1641750],1610612766.0,CHA,,,,Kalkbrenner,R. Kalkbrenner,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,
14,PT10M56.00S,2026-02-22T23:12:25.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641706,64.86530880420499,43.38235294117647,1610612766,2,2,2026-02-22T23:14:04Z,140000,False,-33.0,278.0,1,right,MISS B. Miller 27' running pullup 3PT,[1641706],1610612766.0,CHA,running pullup,,,Miller,B. Miller,,,,,Above the Break 3,24+ Center,,,,27.98,Missed,,,,,,,,,,,,,,,
15,PT10M52.00S,2026-02-22T23:12:29.2Z,1,REGULAR,rebound,offensive,[],1642851,,,1610612766,2,2,2026-02-22T23:14:04Z,150000,False,,,0,,K. Knueppel REBOUND (Off:1 Def:0),[1642851],1610612766.0,CHA,,,,Knueppel,K. Knueppel,,,,,Above the Break 3,24+ Center,,,,,,,,,,14.0,1.0,0.0,1.0,,,,,,,
16,PT10M42.00S,2026-02-22T23:12:38.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1641750,93.51182654402102,52.69607843137255,1610612766,2,4,2026-02-22T23:12:43Z,160000,False,13.0,8.0,1,right,R. Kalkbrenner cutting DUNK (2 PTS) (B. Miller 1 AST),"[1641750, 1641706]",1610612766.0,CHA,cutting,,,Kalkbrenner,R. Kalkbrenner,,,,,Restricted Area,0-8 Center,,,,1.6,Made,2.0,B. Miller,1641706.0,1.0,,,,,,,,,,,
18,PT10M28.00S,2026-02-22T23:12:51.9Z,1,REGULAR,3pt,Jump Shot,[],1641731,20.05584756898817,93.38235294117648,1610612764,5,4,2026-02-22T23:12:56Z,180000,False,-217.0,136.0,1,left,B. Coulibaly 25' 3PT  (5 PTS) (K. George 1 AST),"[1641731, 1642273]",1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Left Center,,,,25.6,Made,5.0,K. George,1642273.0,1.0,,,,,,,,,,,
20,PT10M09.00S,2026-02-22T23:13:11.7Z,1,REGULAR,2pt,Jump Shot,[],1642851,79.05716162943496,50.98039215686274,1610612766,5,4,2026-02-22T23:15:38Z,200000,False,5.0,144.0,1,right,MISS K. Knueppel 14' turnaround fadeaway Shot,[1642851],1610612766.0,CHA,turnaround fadeaway,,,Knueppel,K. Knueppel,,,,,Mid-Range,8-16 Center,,,,14.45,Missed,,,,,,,,,,,,,,,
21,PT10M08.00S,2026-02-22T23:13:12.7Z,1,REGULAR,rebound,offensive,[],1641750,,,1610612766,5,4,2026-02-22T23:13:15Z,210000,False,,,0,,R. Kalkbrenner REBOUND (Off:1 Def:1),[1641750],1610612766.0,CHA,,,,Kalkbrenner,R. Kalkbrenner,,,,,Mid-Range,8-16 Center,,,,,,,,,,20.0,2.0,1.0,1.0,,,,,,,
22,PT10M00.00S,2026-02-22T23:13:21.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629684,94.30026281208936,95.34313725490196,1610612766,5,7,2026-02-22T23:13:24Z,220000,False,227.0,1.0,1,right,G. Williams 3PT  (3 PTS) (L. Ball 2 AST),"[1629684, 1630163]",1610612766.0,CHA,,,,Williams,G. Williams,,,,,Right Corner 3,24+ Right,,,,22.67,Made,3.0,L. Ball,1630163.0,2.0,,,,,,,,,,,
24,PT09M46.00S,2026-02-22T23:13:34.6Z,1,REGULAR,3pt,Jump Shot,[],1641731,21.369908015768726,9.558823529411764,1610612764,8,7,2026-02-22T23:13:38Z,240000,False,202.0,148.0,1,left,B. Coulibaly 25' 3PT pullup (8 PTS),[1641731],1610612764.0,WAS,pullup,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Right Center,,,,25.08,Made,8.0,,,,,,,,,,,,,,
25,PT09M33.00S,2026-02-22T23:13:47.7Z,1,REGULAR,3pt,Jump Shot,[],1630163,65.25952693823915,45.09803921568628,1610612766,8,10,2026-02-22T23:13:52Z,250000,False,-25.0,274.0,1,right,L. Ball 27' 3PT pullup (3 PTS),[1630163],1610612766.0,CHA,pullup,,,Ball,L. Ball,,,,,Above the Break 3,24+ Center,,,,27.52,Made,3.0,,,,,,,,,,,,,,
