actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-03-03T00:11:56.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-03T00:11:56Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2026-03-03T00:11:57.7Z,1,REGULAR,jumpball,recovered,[],1641708,,,1610612745,0,0,2026-03-03T00:11:57Z,40000,False,,,0,,Jump Ball A. Sengun vs. J. Reese: Tip to A. Thompson,"[1641708, 1630578, 1642882]",1610612745.0,HOU,startperiod,A. Thompson,1641708.0,Thompson,A. Thompson,Sengun,1630578.0,Reese,1642882.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2026-03-03T00:12:15.5Z,1,REGULAR,2pt,Jump Shot,[],1630578,79.05716162943496,62.745098039215684,1610612745,0,0,2026-03-03T00:12:41Z,70000,False,64.0,144.0,1,right,MISS A. Sengun 15' turnaround fadeaway Shot,[1630578],1610612745.0,HOU,turnaround fadeaway,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Center,15.78,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2026-03-03T00:12:18.5Z,1,REGULAR,rebound,defensive,[],1642273,,,1610612764,0,0,2026-03-03T00:12:20Z,80000,False,,,0,,K. George REBOUND (Off:0 Def:1),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Mid-Range,8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M28.00S,2026-03-03T00:12:27.6Z,1,REGULAR,2pt,Jump Shot,[],1641731,20.45006570302234,39.950980392156865,1610612764,0,0,2026-03-03T03:50:53Z,90000,False,50.0,140.0,1,left,MISS B. Coulibaly 14' floating Shot,[1641731],1610612764.0,WAS,floating,,,Coulibaly,B. Coulibaly,,,,,Mid-Range,8-16 Center,14.84,Missed,,,,,,,,,,,,,,,,,,
10,PT11M28.00S,2026-03-03T00:12:27.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,0,0,2026-03-03T00:12:31Z,100000,False,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Mid-Range,8-16 Center,,,9.0,,,,,,,,,,,,,,,,,
12,PT11M20.00S,2026-03-03T00:12:41.3Z,1,REGULAR,2pt,Jump Shot,[],1641708,78.53153745072274,70.58823529411765,1610612745,0,0,2026-03-03T00:12:45Z,120000,False,103.0,149.0,1,right,MISS A. Thompson 18' pullup Shot,[1641708],1610612745.0,HOU,pullup,,,Thompson,A. Thompson,,,,,Mid-Range,16-24 Right Center,18.13,Missed,,,,,,,,,,,,,,,,,,
13,PT11M17.00S,2026-03-03T00:12:44.3Z,1,REGULAR,rebound,defensive,[],1642848,,,1610612764,0,0,2026-03-03T00:12:45Z,130000,False,,,0,,T. Johnson REBOUND (Off:0 Def:1),[1642848],1610612764.0,WAS,,,,Johnson,T. Johnson,,,,,Mid-Range,16-24 Right Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M08.00S,2026-03-03T00:12:53.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642848,14.536793692509855,53.18627450980392,1610612764,0,0,2026-03-03T00:13:41Z,140000,False,-16.0,84.0,1,left,MISS T. Johnson 8' fadeaway Shot,[1642848],1610612764.0,WAS,fadeaway,,,Johnson,T. Johnson,,,,,In The Paint (Non-RA),8-16 Center,8.56,Missed,,,,,,,,,,,,,,,,,,
15,PT11M05.00S,2026-03-03T00:12:56.7Z,1,REGULAR,rebound,defensive,[],1642263,,,1610612745,0,0,2026-03-03T00:13:00Z,150000,False,,,0,,R. Sheppard REBOUND (Off:0 Def:1),[1642263],1610612745.0,HOU,,,,Sheppard,R. Sheppard,,,,,In The Paint (Non-RA),8-16 Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
