actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-03-19T23:10:43.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-19T23:10:43Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-19T23:10:46.3Z,1,REGULAR,jumpball,recovered,[],1642267,,,1610612764,0,0,2026-03-19T23:10:46Z,40000,False,,,0,,Jump Ball A. Sarr vs. J. Duren: Tip to B. Carrington,"[1642267, 1642259, 1631105]",1610612764.0,WAS,startperiod,B. Carrington,1642267.0,Carrington,B. Carrington,Sarr,1642259.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2026-03-19T23:10:58.5Z,1,REGULAR,2pt,Jump Shot,[],1642259,79.31997371879106,19.852941176470587,1610612764,0,0,2026-03-19T23:11:02Z,70000,False,-151.0,142.0,1,right,MISS A. Sarr 20' pullup Shot,[1642259],1610612764.0,WAS,pullup,,,Sarr,A. Sarr,,,,,Mid-Range,16-24 Left Center,20.7,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2026-03-19T23:11:00.5Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612765,0,0,2026-03-19T23:11:02Z,80000,False,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612765.0,DET,,,,Robinson,D. Robinson,,,,,Mid-Range,16-24 Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M38.00S,2026-03-19T23:11:07.1Z,1,REGULAR,turnover,out-of-bounds,[],1641709,,,1610612765,0,0,2026-03-19T23:11:13Z,90000,False,,,0,,A. Thompson lost ball out-of-bounds TURNOVER (1 TO),[1641709],1610612765.0,DET,lost ball,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Right Center,,,,,,,1627962.0,1.0,,,,,,,,,,,,
10,PT11M22.00S,2026-03-19T23:11:24.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642267,65.78515111695138,38.970588235294116,1610612764,0,0,2026-03-19T23:11:30Z,100000,False,-55.0,269.0,1,right,MISS B. Carrington 27' 3PT,[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Above the Break 3,24+ Center,27.47,Missed,,,,,,,,,,,,,,,,,,
11,PT11M19.00S,2026-03-19T23:11:27.8Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612765,0,0,2026-03-19T23:11:30Z,110000,False,,,0,,D. Robinson REBOUND (Off:0 Def:2),[1629130],1610612765.0,DET,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Center,,,10.0,2.0,2.0,0.0,,,,,,,,,,,,,,
12,PT11M10.00S,2026-03-19T23:11:36.2Z,1,REGULAR,2pt,Jump Shot,[],202699,14.273981603153747,17.401960784313726,1610612765,0,2,2026-03-19T23:11:39Z,120000,False,163.0,82.0,1,left,T. Harris 18' pullup Jump Shot (2 PTS) (D. Jenkins 1 AST),"[202699, 1642450]",1610612765.0,DET,pullup,,,Harris,T. Harris,,,,,Mid-Range,16-24 Right,18.23,Made,,,,,,,2.0,D. Jenkins,1642450.0,1.0,,,,,,,,
13,PT10M54.00S,2026-03-19T23:11:54.8Z,1,REGULAR,turnover,out-of-bounds,[],1642259,,,1610612764,0,2,2026-03-19T23:12:14Z,130000,False,,,0,,A. Sarr lost ball out-of-bounds TURNOVER (1 TO),[1642259],1610612764.0,WAS,lost ball,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1628485.0,1.0,,,,,,,,,,,,
14,PT10M40.00S,2026-03-19T23:12:13.6Z,1,REGULAR,foul,personal,['2freethrow'],1642259,,,1610612765,0,2,2026-03-19T23:12:30Z,140000,False,,,0,,A. Sarr shooting personal FOUL (1 PF) (Duren 2 FT),"[1642259, 1631105]",1610612764.0,WAS,shooting,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1628485.0,,,,,,1.0,0.0,Duren,1631105.0,,,,
