actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-02-04T00:12:39.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-04T00:12:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2026-02-04T00:12:44.1Z,1,REGULAR,jumpball,recovered,[],1628404,,,1610612752,0,0,2026-02-04T00:12:44Z,40000,False,,,0,,Jump Ball K. Towns vs. A. Sarr: Tip to J. Hart,"[1628404, 1626157, 1642259]",1610612752.0,NYK,startperiod,J. Hart,1628404.0,Hart,J. Hart,Towns,1626157.0,Sarr,1642259.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2026-02-04T00:12:58.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,14.011169513797633,59.31372549019608,1610612752,0,2,2026-02-04T00:13:09Z,70000,False,-47.0,79.0,1,left,J. Brunson 9' driving floating Jump Shot (2 PTS),[1628973],1610612752.0,NYK,driving floating,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Center,9.19,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M27.00S,2026-02-04T00:13:11.1Z,1,REGULAR,3pt,Jump Shot,[],203114,97.05978975032852,0.9803921568627451,1610612764,0,2,2026-02-04T00:13:14Z,80000,False,-245.0,-25.0,1,right,MISS K. Middleton 24' 3PT,[203114],1610612764.0,WAS,,,,Middleton,K. Middleton,,,,,Left Corner 3,24+ Left,24.64,Missed,,,,,,,,,,,,,,,,,,
9,PT11M25.00S,2026-02-04T00:13:13.1Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,0,2,2026-02-04T00:13:14Z,90000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Left Corner 3,24+ Left,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M19.00S,2026-02-04T00:13:19.7Z,1,REGULAR,3pt,Jump Shot,[],1626157,36.74441524310118,49.50980392156863,1610612752,0,2,2026-02-04T00:13:24Z,100000,False,2.0,293.0,1,left,MISS K. Towns 29' 3PT,[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Center,29.29,Missed,,,,,,,,,,,,,,,,,,
11,PT11M15.00S,2026-02-04T00:13:23.7Z,1,REGULAR,rebound,defensive,[],1641731,,,1610612764,0,2,2026-02-04T00:13:24Z,110000,False,,,0,,B. Coulibaly REBOUND (Off:0 Def:1),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Center,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M09.00S,2026-02-04T00:13:31.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641731,93.24901445466492,60.5392156862745,1610612764,0,2,2026-02-04T00:13:37Z,120000,False,53.0,11.0,1,right,MISS B. Coulibaly driving Layup - blocked,"[1641731, 1628969]",1610612764.0,WAS,driving,,,Coulibaly,B. Coulibaly,,,,,In The Paint (Non-RA),0-8 Center,5.38,Missed,,,,,,Bridges,1628969.0,,,,,,,,,,,
13,PT11M09.00S,2026-02-04T00:13:31.8Z,1,REGULAR,block,,[],1628969,,,1610612764,0,2,2026-02-04T00:13:35Z,130000,False,,,0,,M. Bridges BLOCK (1 BLK),[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT11M09.00S,2026-02-04T00:13:31.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,0,2,2026-02-04T00:13:37Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,12.0,,,,,,,,,,,,,,,,
