actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-01-23T00:10:41.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-23T00:10:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-01-23T00:10:44.4Z,1,REGULAR,jumpball,recovered,[],1631212,,,1610612743,0,0,2026-01-23T00:10:44Z,40000,False,,,0,,Jump Ball J. Valančiūnas vs. A. Sarr: Tip to P. Watson,"[1631212, 202685, 1642259]",1610612743.0,DEN,startperiod,P. Watson,1631212.0,Watson,P. Watson,Valančiūnas,202685.0,Sarr,1642259.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2026-01-23T00:10:58.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,90.3580814717477,49.50980392156863,1610612743,0,2,2026-01-23T00:11:05Z,70000,False,-2.0,38.0,1,right,J. Valančiūnas cutting finger roll Layup (2 PTS) (P. Watson 1 AST),"[202685, 1631212]",1610612743.0,DEN,cutting finger roll,,,Valančiūnas,J. Valančiūnas,,,,,Restricted Area,0-8 Center,3.82,Made,2.0,P. Watson,1631212.0,1.0,,,,,,,,,,,,,,
9,PT11M23.00S,2026-01-23T00:11:16.8Z,1,REGULAR,2pt,Jump Shot,[],1642848,8.09789750328515,78.67647058823529,1610612764,0,2,2026-01-23T00:11:21Z,90000,False,-143.0,24.0,1,left,MISS T. Johnson 14' pullup Shot,[1642848],1610612764.0,WAS,pullup,,,Johnson,T. Johnson,,,,,Mid-Range,8-16 Left,14.53,Missed,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2026-01-23T00:11:18.8Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,0,2,2026-01-23T00:11:21Z,100000,False,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Mid-Range,8-16 Left,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M08.00S,2026-01-23T00:11:33.0Z,1,REGULAR,3pt,Jump Shot,[],203932,96.27135348226018,98.0392156862745,1610612743,0,5,2026-01-23T00:11:36Z,110000,False,240.0,-17.0,1,right,A. Gordon 24' 3PT  (3 PTS) (P. Watson 2 AST),"[203932, 1631212]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Right Corner 3,24+ Right,24.08,Made,3.0,P. Watson,1631212.0,2.0,,,,,,,,,,,,,,
13,PT10M54.00S,2026-01-23T00:11:46.3Z,1,REGULAR,3pt,Jump Shot,[],203114,4.02431011826544,95.58823529411765,1610612764,0,5,2026-01-23T00:11:51Z,130000,False,-228.0,-15.0,1,left,MISS K. Middleton 3PT - blocked,"[203114, 1631212]",1610612764.0,WAS,,,,Middleton,K. Middleton,,,,,Left Corner 3,24+ Left,22.84,Missed,,,,,,,,,Watson,1631212.0,,,,,,,,
14,PT10M54.00S,2026-01-23T00:11:46.3Z,1,REGULAR,block,,[],1631212,,,1610612764,0,5,2026-01-23T00:11:48Z,140000,False,,,0,,P. Watson BLOCK (1 BLK),[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,,,,,,
15,PT10M53.00S,2026-01-23T00:11:47.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,0,5,2026-01-23T00:11:51Z,150000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Left Corner 3,24+ Left,,,,,,,13.0,,,,,,,,,,,,,
17,PT10M50.00S,2026-01-23T00:12:05.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203114,5.469776609724048,82.84313725490196,1610612764,0,5,2026-01-23T00:12:09Z,170000,False,-164.0,-1.0,1,left,MISS K. Middleton 16' pullup Shot,[203114],1610612764.0,WAS,pullup,,,Middleton,K. Middleton,,,,,Mid-Range,16-24 Left,16.42,Missed,,,,,,,,,,,,,,,,,,
18,PT10M47.00S,2026-01-23T00:12:08.1Z,1,REGULAR,rebound,defensive,[],202685,,,1610612743,0,5,2026-01-23T00:12:09Z,180000,False,,,0,,J. Valančiūnas REBOUND (Off:0 Def:1),[202685],1610612743.0,DEN,,,,Valančiūnas,J. Valančiūnas,,,,,Mid-Range,16-24 Left,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,
19,PT10M39.00S,2026-01-23T00:12:18.9Z,1,REGULAR,foul,personal,['2freethrow'],203114,,,1610612743,0,5,2026-01-23T00:12:27Z,190000,False,,,0,,K. Middleton shooting personal FOUL (1 PF) (Valančiūnas 2 FT),"[203114, 202685]",1610612764.0,WAS,shooting,,,Middleton,K. Middleton,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,1627534.0,1.0,0.0,Valančiūnas,202685.0,,,
21,PT10M39.00S,2026-01-23T00:12:47.1Z,1,REGULAR,freethrow,1 of 2,[],202685,,,1610612743,0,6,2026-01-23T00:12:47Z,210000,False,,,0,,J. Valančiūnas Free Throw 1 of 2 (3 PTS),[202685],1610612743.0,DEN,,,,Valančiūnas,J. Valančiūnas,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
22,PT10M39.00S,2026-01-23T00:13:04.3Z,1,REGULAR,freethrow,2 of 2,[],202685,,,1610612743,0,7,2026-01-23T00:13:04Z,220000,False,,,0,,J. Valančiūnas Free Throw 2 of 2 (4 PTS),[202685],1610612743.0,DEN,,,,Valančiūnas,J. Valančiūnas,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
23,PT10M30.00S,2026-01-23T00:13:14.5Z,1,REGULAR,3pt,Jump Shot,[],1642267,32.013797634691194,62.00980392156863,1610612764,3,7,2026-01-23T00:13:18Z,230000,False,-60.0,248.0,1,left,B. Carrington 25' 3PT  (3 PTS) (A. Sarr 1 AST),"[1642267, 1642259]",1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Above the Break 3,24+ Center,25.55,Made,3.0,A. Sarr,1642259.0,1.0,,,,,,,,,,,,,,
25,PT10M10.00S,2026-01-23T00:13:36.2Z,1,REGULAR,foul,personal,['2freethrow'],1642848,,,1610612743,3,7,2026-01-23T00:13:46Z,250000,False,,,0,,T. Johnson shooting personal FOUL (1 PF) (Valančiūnas 2 FT),"[1642848, 202685]",1610612764.0,WAS,shooting,,,Johnson,T. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1627529.0,1.0,0.0,Valančiūnas,202685.0,,,
27,PT10M10.00S,2026-01-23T00:14:03.2Z,1,REGULAR,freethrow,1 of 2,[],202685,,,1610612743,3,8,2026-01-23T00:14:03Z,270000,False,,,0,,J. Valančiūnas Free Throw 1 of 2 (5 PTS),[202685],1610612743.0,DEN,,,,Valančiūnas,J. Valančiūnas,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
28,PT10M10.00S,2026-01-23T00:14:22.1Z,1,REGULAR,freethrow,2 of 2,[],202685,,,1610612743,3,9,2026-01-23T00:14:22Z,280000,False,,,0,,J. Valančiūnas Free Throw 2 of 2 (6 PTS),[202685],1610612743.0,DEN,,,,Valančiūnas,J. Valančiūnas,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
