actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
79,PT04M37.00S,2025-12-05T00:24:42.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628401,34.90473061760841,72.05882352941177,1610612738,16,20,2025-12-05T00:26:03Z,780000,False,-110.0,276.0,1,left,MISS D. White 29' running pullup 3PT,[1628401],1610612738.0,BOS,running pullup,,,White,D. White,,,,,Above the Break 3,24+ Left Center,29.69,Missed,,,,,,,,,,,,,,,,,,
80,PT04M35.00S,2025-12-05T00:24:44.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612764,16,20,2025-12-05T00:24:49Z,790000,False,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,79.0,,,,,,,,,,,,,
82,PT04M35.00S,2025-12-05T00:24:49.1Z,1,REGULAR,substitution,out,[],1642273,,,1610612764,16,20,2025-12-05T00:24:56Z,810000,False,,,0,,SUB out: K. George,[1642273],1610612764.0,WAS,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M35.00S,2025-12-05T00:24:49.1Z,1,REGULAR,substitution,in,[],1642267,,,1610612764,16,20,2025-12-05T00:24:56Z,820000,False,,,0,,SUB in: B. Carrington,[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M19.00S,2025-12-05T00:25:37.0Z,1,REGULAR,foul,personal,[],1629674,,,1610612764,16,20,2025-12-05T00:25:44Z,830000,False,,,0,,N. Queta personal FOUL (1 PF),"[1629674, 1628963]",1610612738.0,BOS,,,,Queta,N. Queta,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1628487.0,,,,,1.0,0.0,Bagley III,1628963.0,,,,
86,PT04M19.00S,2025-12-05T00:25:42.5Z,1,REGULAR,substitution,out,[],203114,,,1610612764,16,20,2025-12-05T00:26:07Z,850000,False,,,0,,SUB out: K. Middleton,[203114],1610612764.0,WAS,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M19.00S,2025-12-05T00:25:42.5Z,1,REGULAR,substitution,out,[],1641775,,,1610612764,16,20,2025-12-05T00:26:07Z,860000,False,,,0,,SUB out: J. Walsh,[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M19.00S,2025-12-05T00:25:42.5Z,1,REGULAR,substitution,in,[],1641715,,,1610612764,16,20,2025-12-05T00:26:07Z,870000,False,,,0,,SUB in: C. Whitmore,[1641715],1610612764.0,WAS,,,,Whitmore,C. Whitmore,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M19.00S,2025-12-05T00:25:42.5Z,1,REGULAR,substitution,in,[],1642864,,,1610612764,16,20,2025-12-05T00:26:07Z,880000,False,,,0,,SUB in: H. González,[1642864],1610612738.0,BOS,,,,González,H. González,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M19.00S,2025-12-05T00:25:42.5Z,1,REGULAR,substitution,in,[],1642860,,,1610612764,16,20,2025-12-05T00:26:35Z,887500,False,,,0,,SUB in: W. Riley,[1642860],1610612764.0,WAS,,,,Riley,W. Riley,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT04M19.00S,2025-12-05T00:25:42.5Z,1,REGULAR,substitution,out,[],1642364,,,1610612764,16,20,2025-12-05T00:28:43Z,888750,False,,,0,,SUB out: J. Watkins,[1642364],1610612764.0,WAS,,,,Watkins,J. Watkins,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M13.00S,2025-12-05T00:26:13.6Z,1,REGULAR,2pt,Jump Shot,[],1642267,86.67871222076215,78.18627450980392,1610612764,16,20,2025-12-05T00:26:16Z,890000,False,141.0,73.0,1,right,MISS B. Carrington 15' pullup Shot,[1642267],1610612764.0,WAS,pullup,,,Carrington,B. Carrington,,,,,Mid-Range,8-16 Right,15.85,Missed,,,,,,,,,,,,,,,,,,
91,PT04M10.00S,2025-12-05T00:26:16.6Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,16,20,2025-12-05T00:26:16Z,900000,False,,,0,,D. White REBOUND (Off:0 Def:2),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,8-16 Right,,,,,,,90.0,,,2.0,2.0,0.0,,,,,,,,
95,PT04M05.00S,2025-12-05T00:26:40.7Z,1,REGULAR,substitution,out,[],1628963,,,1610612738,16,20,2025-12-05T00:26:51Z,920000,False,,,0,,SUB out: M. Bagley III,[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M05.00S,2025-12-05T00:26:40.7Z,1,REGULAR,substitution,out,[],1629674,,,1610612738,16,20,2025-12-05T00:26:51Z,930000,False,,,0,,SUB out: N. Queta,[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M05.00S,2025-12-05T00:26:40.7Z,1,REGULAR,substitution,in,[],1641774,,,1610612738,16,20,2025-12-05T00:26:51Z,950000,False,,,0,,SUB in: T. Vukcevic,[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M05.00S,2025-12-05T00:26:40.7Z,1,REGULAR,substitution,in,[],1631169,,,1610612738,16,20,2025-12-05T00:26:51Z,960000,False,,,0,,SUB in: J. Minott,[1631169],1610612738.0,BOS,,,,Minott,J. Minott,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT03M58.00S,2025-12-05T00:26:55.7Z,1,REGULAR,2pt,Layup,[],1629014,8.886333771353483,30.14705882352941,1610612738,16,20,2025-12-05T00:30:49Z,970000,False,99.0,31.0,1,left,MISS A. Simons 10' driving Layup - blocked,"[1629014, 1641774]",1610612738.0,BOS,driving,,,Simons,A. Simons,,,,,Mid-Range,8-16 Right,10.4,Missed,,,,,,,,,,,,,,,,,Vukcevic,1641774.0
101,PT03M58.00S,2025-12-05T00:26:55.7Z,1,REGULAR,block,,[],1641774,,,1610612738,16,20,2025-12-05T00:26:58Z,980000,False,,,0,,T. Vukcevic BLOCK (1 BLK),[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
102,PT03M54.00S,2025-12-05T00:26:59.7Z,1,REGULAR,rebound,defensive,[],203468,,,1610612764,16,20,2025-12-05T00:27:00Z,990000,False,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612764.0,WAS,,,,McCollum,C. McCollum,,,,,Mid-Range,8-16 Right,,,,,,,100.0,,,1.0,1.0,0.0,,,,,,,,
103,PT03M52.00S,2025-12-05T00:27:03.7Z,1,REGULAR,turnover,out-of-bounds,[],1642267,,,1610612764,16,20,2025-12-05T00:27:09Z,1000000,False,,,0,,B. Carrington lost ball out-of-bounds TURNOVER (1 TO),[1642267],1610612764.0,WAS,lost ball,,,Carrington,B. Carrington,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,1148.0,1.0,,,,,,,,,,,
104,PT03M31.00S,2025-12-05T00:27:31.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631169,12.828515111695138,3.1862745098039214,1610612738,16,23,2025-12-05T00:27:35Z,1010000,False,234.0,68.0,1,left,J. Minott 24' 3PT  (3 PTS) (A. Simons 1 AST),"[1631169, 1629014]",1610612738.0,BOS,,,,Minott,J. Minott,,,,,Right Corner 3,24+ Right,24.38,Made,3.0,A. Simons,1629014.0,1.0,,,,,,,,,,,,,,
106,PT03M15.00S,2025-12-05T00:27:47.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641715,79.97700394218134,44.85294117647059,1610612764,16,23,2025-12-05T00:28:07Z,1030000,False,-26.0,136.0,1,right,MISS C. Whitmore 13' pullup Shot,[1641715],1610612764.0,WAS,pullup,,,Whitmore,C. Whitmore,,,,,In The Paint (Non-RA),8-16 Center,13.81,Missed,,,,,,,,,,,,,,,,,,
107,PT03M15.00S,2025-12-05T00:27:47.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,16,23,2025-12-05T00:28:07Z,1040000,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,106.0,,,,,,,,,,,,,
109,PT02M54.00S,2025-12-05T00:28:15.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,13.485545335085414,50.98039215686274,1610612738,16,25,2025-12-05T00:31:48Z,1060000,False,-5.0,74.0,1,left,D. White 7' driving floating Jump Shot (9 PTS),[1628401],1610612738.0,BOS,driving floating,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,7.45,Made,9.0,,,,,,,,,,,,,,,,,
110,PT02M37.00S,2025-12-05T00:28:32.1Z,1,REGULAR,3pt,Jump Shot,[],1642860,68.41327201051249,71.56862745098039,1610612764,16,25,2025-12-05T00:28:39Z,1070000,False,108.0,244.0,1,right,MISS W. Riley 26' 3PT,[1642860],1610612764.0,WAS,,,,Riley,W. Riley,,,,,Above the Break 3,24+ Right Center,26.71,Missed,,,,,,,,,,,,,,,,,,
111,PT02M36.00S,2025-12-05T00:28:33.1Z,1,REGULAR,rebound,defensive,[],1631169,,,1610612738,16,25,2025-12-05T00:32:31Z,1080000,False,,,0,,J. Minott REBOUND (Off:0 Def:1),[1631169],1610612738.0,BOS,,,,Minott,J. Minott,,,,,Above the Break 3,24+ Right Center,,,,,,,110.0,,,1.0,1.0,0.0,,,,,,,,
112,PT02M35.00S,2025-12-05T00:28:38.5Z,1,REGULAR,turnover,lost ball,[],1631169,,,1610612738,16,25,2025-12-05T00:32:36Z,1090000,False,,,0,,J. Minott lost ball TURNOVER (1 TO),"[1631169, 203468]",1610612738.0,BOS,,,,Minott,J. Minott,,,,,Restricted Area,0-8 Center,,,,,,,,,1.0,,,,,,,,McCollum,203468.0,,
113,PT02M35.00S,2025-12-05T00:28:38.5Z,1,REGULAR,steal,,[],203468,,,1610612764,16,25,2025-12-05T00:28:40Z,1100000,False,,,0,,C. McCollum STEAL (1 STL),[203468],1610612764.0,WAS,,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
114,PT02M34.00S,2025-12-05T00:28:41.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203468,91.80354796320631,52.94117647058824,1610612764,16,25,2025-12-05T00:32:44Z,1110000,False,15.0,25.0,1,right,MISS C. McCollum Layup,[203468],1610612764.0,WAS,,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,2.86,Missed,,,,,,,,,,,,,,,,,,
116,PT02M32.00S,2025-12-05T00:28:43.2Z,1,REGULAR,rebound,offensive,[],1641774,,,1610612764,16,25,2025-12-05T00:32:44Z,1120000,False,,,0,,T. Vukcevic REBOUND (Off:1 Def:0),[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,Restricted Area,0-8 Center,,,,,,,114.0,,,1.0,0.0,1.0,,,,,,,,
117,PT02M28.00S,2025-12-05T00:28:44.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1641774,93.11760840998686,52.94117647058824,1610612764,18,25,2025-12-05T00:28:50Z,1130000,False,15.0,12.0,1,right,T. Vukcevic Layup (2 PTS),[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,Restricted Area,0-8 Center,1.91,Made,2.0,,,,,,,,,,,,,,,,,
118,PT02M28.00S,2025-12-05T00:28:49.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,18,25,2025-12-05T00:28:49Z,1140000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M28.00S,2025-12-05T00:29:08.6Z,1,REGULAR,substitution,out,[],203468,,,1610612738,18,25,2025-12-05T00:31:19Z,1150000,False,,,0,,SUB out: C. McCollum,[203468],1610612764.0,WAS,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M28.00S,2025-12-05T00:29:08.6Z,1,REGULAR,substitution,out,[],1630573,,,1610612738,18,25,2025-12-05T00:31:19Z,1160000,False,,,0,,SUB out: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M28.00S,2025-12-05T00:29:08.6Z,1,REGULAR,substitution,in,[],1642273,,,1610612738,18,25,2025-12-05T00:31:19Z,1170000,False,,,0,,SUB in: K. George,[1642273],1610612764.0,WAS,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M28.00S,2025-12-05T00:29:08.6Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,18,25,2025-12-05T00:31:19Z,1180000,False,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT02M09.00S,2025-12-05T00:31:56.4Z,1,REGULAR,2pt,Jump Shot,[],1630202,21.632720105124836,44.85294117647059,1610612738,18,25,2025-12-05T00:32:03Z,1190000,False,26.0,151.0,1,left,MISS P. Pritchard 15' step back Shot,[1630202],1610612738.0,BOS,step back,,,Pritchard,P. Pritchard,,,,,Mid-Range,8-16 Center,15.3,Missed,,,,,,,,,,,,,,,,,,
125,PT02M04.00S,2025-12-05T00:32:01.4Z,1,REGULAR,rebound,defensive,[],1642273,,,1610612764,18,25,2025-12-05T00:32:03Z,1200000,False,,,0,,K. George REBOUND (Off:0 Def:1),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Mid-Range,8-16 Center,,,,,,,124.0,,,1.0,1.0,0.0,,,,,,,,
126,PT02M00.00S,2025-12-05T00:32:04.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1641715,92.46057818659659,52.450980392156865,1610612764,18,25,2025-12-05T00:32:12Z,1210000,False,12.0,18.0,1,right,MISS C. Whitmore running Layup - blocked,"[1641715, 1642864]",1610612764.0,WAS,running,,,Whitmore,C. Whitmore,,,,,Restricted Area,0-8 Center,2.21,Missed,,,,,,,,,,,,,,,,,González,1642864.0
127,PT02M00.00S,2025-12-05T00:32:04.9Z,1,REGULAR,block,,[],1642864,,,1610612764,18,25,2025-12-05T00:32:07Z,1220000,False,,,0,,H. González BLOCK (1 BLK),[1642864],1610612738.0,BOS,,,,González,H. González,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
128,PT01M58.00S,2025-12-05T00:32:06.9Z,1,REGULAR,rebound,offensive,[],1642267,,,1610612764,18,25,2025-12-05T00:32:12Z,1230000,False,,,0,,B. Carrington REBOUND (Off:1 Def:0),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Restricted Area,0-8 Center,,,,,,,126.0,,,1.0,0.0,1.0,,,,,,,,
129,PT01M54.00S,2025-12-05T00:32:11.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642860,95.22010512483574,96.32352941176471,1610612764,21,25,2025-12-05T00:32:15Z,1240000,False,232.0,-8.0,1,right,W. Riley 3PT  (3 PTS) (T. Vukcevic 1 AST),"[1642860, 1641774]",1610612764.0,WAS,,,,Riley,W. Riley,,,,,Right Corner 3,24+ Right,23.17,Made,3.0,T. Vukcevic,1641774.0,1.0,,,,,,,,,,,,,,
131,PT01M38.00S,2025-12-05T00:32:26.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629014,8.623521681997373,50.98039215686274,1610612738,21,25,2025-12-05T00:32:29Z,1260000,False,-5.0,29.0,1,left,MISS A. Simons driving Layup,[1629014],1610612738.0,BOS,driving,,,Simons,A. Simons,,,,,Restricted Area,0-8 Center,2.9,Missed,,,,,,,,,,,,,,,,,,
132,PT01M37.00S,2025-12-05T00:32:27.5Z,1,REGULAR,rebound,defensive,[],1642860,,,1610612764,21,25,2025-12-05T00:34:30Z,1270000,False,,,0,,W. Riley REBOUND (Off:0 Def:1),[1642860],1610612764.0,WAS,,,,Riley,W. Riley,,,,,Restricted Area,0-8 Center,,,,,,,131.0,,,1.0,1.0,0.0,,,,,,,,
133,PT01M33.00S,2025-12-05T00:32:32.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1641715,93.77463863337714,52.94117647058824,1610612764,23,25,2025-12-05T00:32:37Z,1280000,False,15.0,6.0,1,right,C. Whitmore running Layup (2 PTS) (W. Riley 1 AST),"[1641715, 1642860]",1610612764.0,WAS,running,,,Whitmore,C. Whitmore,,,,,Restricted Area,0-8 Center,1.59,Made,2.0,W. Riley,1642860.0,1.0,,,,,,,,,,,,,,
135,PT01M22.00S,2025-12-05T00:32:42.7Z,1,REGULAR,3pt,Jump Shot,[],1642864,5.601182654402102,2.696078431372549,1610612738,23,28,2025-12-05T00:32:47Z,1300000,False,237.0,0.0,1,left,H. González 3PT  (3 PTS) (P. Pritchard 3 AST),"[1642864, 1630202]",1610612738.0,BOS,,,,González,H. González,,,,,Right Corner 3,24+ Right,23.65,Made,3.0,P. Pritchard,1630202.0,3.0,,,,,,,,,,,,,,
137,PT01M21.00S,2025-12-05T00:32:48.7Z,1,REGULAR,timeout,full,['team'],0,,,1610612764,23,28,2025-12-05T00:32:48Z,1320000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT01M02.00S,2025-12-05T00:34:31.6Z,1,REGULAR,2pt,Jump Shot,[],1642273,88.91261498028909,82.1078431372549,1610612764,23,28,2025-12-05T00:34:35Z,1330000,False,161.0,52.0,1,right,MISS K. George 16' fadeaway Shot,[1642273],1610612764.0,WAS,fadeaway,,,George,K. George,,,,,Mid-Range,16-24 Right,16.86,Missed,,,,,,,,,,,,,,,,,,
139,PT00M59.70S,2025-12-05T00:34:33.9Z,1,REGULAR,rebound,defensive,[],1642864,,,1610612738,23,28,2025-12-05T00:34:35Z,1340000,False,,,0,,H. González REBOUND (Off:0 Def:1),[1642864],1610612738.0,BOS,,,,González,H. González,,,,,Mid-Range,16-24 Right,,,,,,,138.0,,,1.0,1.0,0.0,,,,,,,,
140,PT00M53.00S,2025-12-05T00:34:40.9Z,1,REGULAR,3pt,Jump Shot,[],1628401,19.004599211563733,93.38235294117648,1610612738,23,28,2025-12-05T00:34:46Z,1350000,False,-217.0,126.0,1,left,MISS D. White 25' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,25.09,Missed,,,,,,,,,,,,,,,,,,
141,PT00M51.70S,2025-12-05T00:34:42.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,23,28,2025-12-05T00:34:46Z,1360000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,140.0,,,,,,,,,,,,,
142,PT00M51.70S,2025-12-05T00:34:45.8Z,1,REGULAR,foul,personal,[],1642860,,,1610612738,23,28,2025-12-05T00:35:03Z,1370000,False,,,0,,W. Riley loose ball personal FOUL (1 PF),"[1642860, 1642864]",1610612764.0,WAS,loose ball,,,Riley,W. Riley,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1628487.0,,,,,1.0,0.0,González,1642864.0,,,,
144,PT00M51.70S,2025-12-05T00:35:05.8Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1642860,,,1610612738,23,28,2025-12-05T00:35:33Z,1390000,False,,,0,,W. Riley away-from-play personal FOUL (2 PF) (González 1 FT),"[1642860, 1642864]",1610612764.0,WAS,away-from-play,,,Riley,W. Riley,,,,,Mid-Range,8-16 Left,,,,,,,,1148.0,,,,,2.0,0.0,González,1642864.0,,,,
146,PT00M51.70S,2025-12-05T00:35:28.0Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1630202,,,1610612738,23,29,2025-12-05T00:35:44Z,1410000,False,,,0,,P. Pritchard away-from-play Free Throw 1 of 1 (1 PTS),[1630202],1610612738.0,BOS,away-from-play,,,Pritchard,P. Pritchard,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
147,PT00M39.60S,2025-12-05T00:35:53.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628401,4.155716162943495,96.56862745098039,1610612738,23,29,2025-12-05T00:36:00Z,1420000,False,-233.0,-13.0,1,left,MISS D. White 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Left Corner 3,24+ Left,23.32,Missed,,,,,,,,,,,,,,,,,,
148,PT00M37.40S,2025-12-05T00:35:56.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,23,29,2025-12-05T00:36:00Z,1430000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Left Corner 3,24+ Left,,,,,,,147.0,,,,,,,,,,,,,
149,PT00M35.90S,2025-12-05T00:36:18.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630202,9.017739816031538,0.0,1610612738,23,29,2025-12-05T00:36:22Z,1440000,False,250.0,32.0,1,left,MISS P. Pritchard 25' 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Right Corner 3,24+ Right,25.21,Missed,,,,,,,,,,,,,,,,,,
150,PT00M33.20S,2025-12-05T00:36:21.2Z,1,REGULAR,rebound,defensive,[],1641774,,,1610612764,23,29,2025-12-05T00:36:22Z,1450000,False,,,0,,T. Vukcevic REBOUND (Off:1 Def:1),[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,Right Corner 3,24+ Right,,,,,,,149.0,,,2.0,1.0,1.0,,,,,,,,
152,PT00M21.90S,2025-12-05T00:36:32.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641715,87.33574244415243,37.99019607843137,1610612764,23,29,2025-12-05T00:37:10Z,1460000,False,-60.0,67.0,1,right,MISS C. Whitmore 8' driving floating Shot,[1641715],1610612764.0,WAS,driving floating,,,Whitmore,C. Whitmore,,,,,In The Paint (Non-RA),8-16 Left,8.96,Missed,,,,,,,,,,,,,,,,,,
153,PT00M19.20S,2025-12-05T00:36:35.2Z,1,REGULAR,rebound,offensive,[],1642860,,,1610612764,23,29,2025-12-05T00:36:37Z,1470000,False,,,0,,W. Riley REBOUND (Off:1 Def:1),[1642860],1610612764.0,WAS,,,,Riley,W. Riley,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,152.0,,,2.0,1.0,1.0,,,,,,,,
154,PT00M16.50S,2025-12-05T00:36:37.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642273,74.85216819973719,89.95098039215686,1610612764,26,29,2025-12-05T00:36:41Z,1480000,False,200.0,184.0,1,right,K. George 27' 3PT  (8 PTS) (B. Carrington 1 AST),"[1642273, 1642267]",1610612764.0,WAS,,,,George,K. George,,,,,Above the Break 3,24+ Right Center,27.15,Made,8.0,B. Carrington,1642267.0,1.0,,,,,,,,,,,,,,
156,PT00M00.70S,2025-12-05T00:36:56.8Z,1,REGULAR,3pt,Jump Shot,[],1628401,20.45006570302234,94.11764705882352,1610612738,26,32,2025-12-05T00:37:01Z,1500000,False,-221.0,140.0,1,left,D. White 26' 3PT step back (12 PTS),[1628401],1610612738.0,BOS,step back,,,White,D. White,,,,,Above the Break 3,24+ Left Center,26.11,Made,12.0,,,,,,,,,,,,,,,,,
158,PT00M00.00S,2025-12-05T00:37:45.3Z,1,REGULAR,period,end,[],0,,,1610612764,26,32,2025-12-05T00:37:45Z,1520000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2025-12-05T00:38:20.8Z,2,REGULAR,substitution,out,['startperiod'],1628401,,,1610612764,26,32,2025-12-05T00:39:33Z,1530000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2025-12-05T00:38:20.8Z,2,REGULAR,substitution,in,['startperiod'],1631248,,,1610612764,26,32,2025-12-05T00:39:33Z,1540000,False,,,0,,SUB in: B. Scheierman,[1631248],1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2025-12-05T00:39:52.2Z,2,REGULAR,period,start,[],0,,,1610612764,26,32,2025-12-05T00:39:52Z,1550000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT11M43.00S,2025-12-05T00:40:11.4Z,2,REGULAR,foul,personal,['2freethrow'],1642864,,,1610612764,26,32,2025-12-05T00:40:17Z,1560000,False,,,0,,H. González shooting personal FOUL (1 PF) (Riley 2 FT),"[1642864, 1642860]",1610612738.0,BOS,shooting,,,González,H. González,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,204058.0,,,,,1.0,0.0,Riley,1642860.0,,,,
164,PT11M43.00S,2025-12-05T00:40:34.2Z,2,REGULAR,freethrow,1 of 2,[],1642860,,,1610612764,27,32,2025-12-05T00:40:34Z,1580000,False,,,0,,W. Riley Free Throw 1 of 2 (4 PTS),[1642860],1610612764.0,WAS,,,,Riley,W. Riley,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
165,PT11M43.00S,2025-12-05T00:40:50.0Z,2,REGULAR,freethrow,2 of 2,[],1642860,,,1610612764,28,32,2025-12-05T00:40:50Z,1590000,False,,,0,,W. Riley Free Throw 2 of 2 (5 PTS),[1642860],1610612764.0,WAS,,,,Riley,W. Riley,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
166,PT11M23.00S,2025-12-05T00:41:13.1Z,2,REGULAR,3pt,Jump Shot,[],1631169,14.011169513797633,0.49019607843137253,1610612738,28,32,2025-12-05T00:41:34Z,1600000,False,248.0,79.0,1,left,MISS J. Minott 25' pullup 3PT,[1631169],1610612738.0,BOS,pullup,,,Minott,J. Minott,,,,,Right Corner 3,24+ Right,25.99,Missed,,,,,,,,,,,,,,,,,,
167,PT11M22.00S,2025-12-05T00:41:14.1Z,2,REGULAR,rebound,offensive,[],1630202,,,1610612738,28,32,2025-12-05T00:41:34Z,1610000,False,,,0,,P. Pritchard REBOUND (Off:1 Def:0),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Right Corner 3,24+ Right,,,,,,,166.0,,,1.0,0.0,1.0,,,,,,,,
168,PT11M21.00S,2025-12-05T00:41:18.3Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630202,5.590000152587891,50.0,1610612738,28,34,2025-12-05T00:41:40Z,1620000,False,0.0,0.0,1,left,P. Pritchard putback Layup (3 PTS),[1630202],1610612738.0,BOS,putback,,,Pritchard,P. Pritchard,,,,,Restricted Area,0-8 Center,0.0,Made,3.0,,,,,,,,,,,,,,,,,
