actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
21,PT09M50.00S,2025-12-05T00:14:10.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630202,35.56176084099869,27.941176470588236,1610612738,4,6,2025-12-05T00:14:40Z,210000,False,110.0,282.0,1,left,MISS P. Pritchard 30' pullup 3PT,[1630202],1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Right Center,30.26,Missed,,,,,,,,,,,,,,,,,,
22,PT09M47.00S,2025-12-05T00:14:13.7Z,1,REGULAR,rebound,defensive,[],203114,,,1610612764,4,6,2025-12-05T00:14:53Z,220000,False,,,0,,K. Middleton REBOUND (Off:0 Def:1),[203114],1610612764.0,WAS,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Right Center,,,,,,,21.0,,,1.0,1.0,0.0,,,,,,,,
23,PT09M38.00S,2025-12-05T00:14:23.7Z,1,REGULAR,foul,personal,[],1630202,,,1610612764,4,6,2025-12-05T00:14:30Z,230000,False,,,0,,P. Pritchard personal FOUL (1 PF),"[1630202, 1642273]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Mid-Range,8-16 Left,,,,,,,,1628487.0,,,,,1.0,0.0,George,1642273.0,,,,
25,PT09M35.00S,2025-12-05T00:14:40.7Z,1,REGULAR,3pt,Jump Shot,[],203468,67.09921156373193,50.49019607843137,1610612764,4,6,2025-12-05T00:14:45Z,250000,False,2.0,257.0,1,right,MISS C. McCollum 25' 3PT,[203468],1610612764.0,WAS,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Center,25.68,Missed,,,,,,,,,,,,,,,,,,
26,PT09M32.00S,2025-12-05T00:14:43.7Z,1,REGULAR,rebound,defensive,[],1630573,,,1610612738,4,6,2025-12-05T00:14:45Z,260000,False,,,0,,S. Hauser REBOUND (Off:0 Def:1),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Center,,,,,,,25.0,,,1.0,1.0,0.0,,,,,,,,
27,PT09M28.00S,2025-12-05T00:14:47.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630573,36.21879106438896,66.42156862745098,1610612738,4,9,2025-12-05T00:14:54Z,270000,False,-82.0,288.0,1,left,S. Hauser 29' 3PT running pullup (3 PTS) (P. Pritchard 2 AST),"[1630573, 1630202]",1610612738.0,BOS,running pullup,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Center,29.95,Made,3.0,P. Pritchard,1630202.0,2.0,,,,,,,,,,,,,,
29,PT09M18.00S,2025-12-05T00:14:59.4Z,1,REGULAR,turnover,lost ball,[],203468,,,1610612764,4,9,2025-12-05T00:15:55Z,290000,False,,,0,,C. McCollum lost ball TURNOVER (1 TO),"[203468, 1641775]",1610612764.0,WAS,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,,,,,,,,,1.0,,,,,,,,Walsh,1641775.0,,
30,PT09M18.00S,2025-12-05T00:14:59.4Z,1,REGULAR,steal,,[],1641775,,,1610612738,4,9,2025-12-05T00:15:01Z,300000,False,,,0,,J. Walsh STEAL (1 STL),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
31,PT09M16.00S,2025-12-05T00:15:02.5Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1641775,5.601182654402102,50.73529411764706,1610612738,4,11,2025-12-05T00:15:58Z,310000,False,-4.0,0.0,1,left,J. Walsh running DUNK (2 PTS),[1641775],1610612738.0,BOS,running,,,Walsh,J. Walsh,,,,,Restricted Area,0-8 Center,0.37,Made,2.0,,,,,,,,,,,,,,,,,
32,PT09M14.00S,2025-12-05T00:15:06.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,4,11,2025-12-05T00:15:06Z,320000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
