actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-01T23:10:36.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-01T23:10:36Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-11-01T23:10:39.3Z,1,REGULAR,jumpball,recovered,[],1630591,,,1610612753,0,0,2025-11-01T23:10:39Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. A. Sarr: Tip to J. Suggs,"[1630591, 1628976, 1642259]",1610612753.0,ORL,startperiod,J. Suggs,1630591.0,Suggs,J. Suggs,Carter Jr.,1628976.0,Sarr,1642259.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-11-01T23:10:54.8Z,1,REGULAR,3pt,Jump Shot,[],1630591,5.075558475689881,98.0392156862745,1610612753,0,0,2025-11-01T23:11:01Z,70000,False,-240.0,-5.0,1,left,MISS J. Suggs 24' 3PT,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Left Corner 3,24+ Left,24.02,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2025-11-01T23:10:55.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612764,0,0,2025-11-01T23:11:01Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Left Corner 3,24+ Left,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M25.00S,2025-11-01T23:11:18.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642273,81.94809461235218,55.14705882352941,1610612764,2,0,2025-11-01T23:11:24Z,100000,False,26.0,117.0,1,right,K. George 12' pullup Jump Shot (2 PTS) (B. Coulibaly 1 AST),"[1642273, 1641731]",1610612764.0,WAS,pullup,,,George,K. George,,,,,In The Paint (Non-RA),8-16 Center,12.0,Made,,2.0,B. Coulibaly,1641731.0,1.0,,,,,,,,,,,,,
12,PT11M10.00S,2025-11-01T23:11:33.9Z,1,REGULAR,2pt,Jump Shot,[],1628976,5.995400788436268,75.98039215686273,1610612753,2,2,2025-11-01T23:11:38Z,120000,False,-130.0,4.0,1,left,W. Carter Jr. 13' floating Jump Shot (2 PTS) (J. Suggs 1 AST),"[1628976, 1630591]",1610612753.0,ORL,floating,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,8-16 Left,13.0,Made,,2.0,J. Suggs,1630591.0,1.0,,,,,,,,,,,,,
14,PT10M55.00S,2025-11-01T23:11:52.0Z,1,REGULAR,foul,personal,['2freethrow'],1630217,,,1610612764,2,2,2025-11-01T23:12:00Z,140000,False,,,0,,D. Bane shooting personal FOUL (1 PF) (Coulibaly 2 FT),"[1630217, 1641731]",1610612753.0,ORL,shooting,,,Bane,D. Bane,,,,,Mid-Range,8-16 Right,,,,,,,,200833.0,1.0,0.0,Coulibaly,1641731.0,,,,,,,,
16,PT10M55.00S,2025-11-01T23:12:16.8Z,1,REGULAR,freethrow,1 of 2,[],1641731,,,1610612764,2,2,2025-11-01T23:12:33Z,160000,False,,,0,,MISS B. Coulibaly Free Throw 1 of 2,[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
17,PT10M55.00S,2025-11-01T23:12:16.8Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612764,2,2,2025-11-01T23:12:33Z,170000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,
18,PT10M55.00S,2025-11-01T23:12:16.8Z,1,REGULAR,freethrow,2 of 2,[],1641731,,,1610612764,2,2,2025-11-01T23:12:33Z,180000,False,,,0,,MISS B. Coulibaly Free Throw 2 of 2,[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
19,PT10M52.00S,2025-11-01T23:12:19.8Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,2,2,2025-11-01T23:12:33Z,190000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,18.0,,,,,,,,,,1.0,1.0,0.0,,,,,
20,PT10M39.00S,2025-11-01T23:12:45.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628976,6.389618922470433,51.470588235294116,1610612753,2,4,2025-11-01T23:12:55Z,200000,False,-7.0,8.0,1,left,W. Carter Jr. cutting Layup (4 PTS) (D. Bane 1 AST),"[1628976, 1630217]",1610612753.0,ORL,cutting,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,1.06,Made,,4.0,D. Bane,1630217.0,1.0,,,,,,,,,,,,,
22,PT10M25.00S,2025-11-01T23:12:58.4Z,1,REGULAR,2pt,Jump Shot,[],1642273,77.21747700394218,39.950980392156865,1610612764,4,4,2025-11-01T23:13:04Z,220000,False,-50.0,162.0,1,right,K. George 16' step back Jump Shot (4 PTS),[1642273],1610612764.0,WAS,step back,,,George,K. George,,,,,Mid-Range,16-24 Center,16.93,Made,,4.0,,,,,,,,,,,,,,,,
23,PT10M11.00S,2025-11-01T23:13:13.2Z,1,REGULAR,2pt,Jump Shot,[],1630532,6.1268068331143235,75.49019607843137,1610612753,4,6,2025-11-01T23:13:22Z,230000,False,-127.0,5.0,1,left,F. Wagner 12' driving floating Jump Shot (2 PTS) (P. Banchero 1 AST),"[1630532, 1631094]",1610612753.0,ORL,driving floating,,,Wagner,F. Wagner,,,,,Mid-Range,8-16 Left,12.76,Made,,2.0,P. Banchero,1631094.0,1.0,,,,,,,,,,,,,
25,PT10M04.00S,2025-11-01T23:13:20.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642273,95.0886990801577,52.69607843137255,1610612764,6,6,2025-11-01T23:14:00Z,250000,False,13.0,-6.0,1,right,K. George driving Layup (6 PTS),[1642273],1610612764.0,WAS,driving,,,George,K. George,,,,,Restricted Area,0-8 Center,1.49,Made,,6.0,,,,,,,,,,,,,,,,
26,PT09M44.00S,2025-11-01T23:13:40.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630591,6.1268068331143235,53.431372549019606,1610612753,6,8,2025-11-01T23:13:44Z,260000,False,-17.0,5.0,1,left,J. Suggs driving Layup (2 PTS),[1630591],1610612753.0,ORL,driving,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,1.79,Made,,2.0,,,,,,,,,,,,,,,,
27,PT09M33.00S,2025-11-01T23:13:51.0Z,1,REGULAR,3pt,Jump Shot,[],203468,72.7496714848883,88.48039215686273,1610612764,9,8,2025-11-01T23:14:23Z,270000,False,192.0,204.0,1,right,C. McCollum 28' 3PT pullup (3 PTS),[203468],1610612764.0,WAS,pullup,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,28.02,Made,,3.0,,,,,,,,,,,,,,,,
28,PT09M17.00S,2025-11-01T23:14:06.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,13.748357424441524,45.34313725490196,1610612753,9,10,2025-11-01T23:14:10Z,280000,False,23.0,77.0,1,left,P. Banchero 8' driving Layup (2 PTS),[1631094],1610612753.0,ORL,driving,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,8.02,Made,,2.0,,,,,,,,,,,,,,,,
29,PT09M10.00S,2025-11-01T23:14:15.8Z,1,REGULAR,foul,personal,[],1630591,,,1610612764,9,10,2025-11-01T23:14:40Z,290000,False,,,0,,J. Suggs personal FOUL (1 PF),"[1630591, 1642259]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Mid-Range,16-24 Center,,,,,,,,200833.0,1.0,0.0,Sarr,1642259.0,,,,,,,,
31,PT09M04.00S,2025-11-01T23:14:38.3Z,1,REGULAR,3pt,Jump Shot,[],1642273,69.33311432325887,13.480392156862745,1610612764,9,10,2025-11-01T23:14:42Z,310000,False,-183.0,236.0,1,right,MISS K. George 29' 3PT,[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Above the Break 3,24+ Left Center,29.82,Missed,,,,,,,,,,,,,,,,,,
32,PT09M01.00S,2025-11-01T23:14:41.3Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,9,10,2025-11-01T23:14:42Z,320000,False,,,0,,J. Suggs REBOUND (Off:0 Def:1),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Left Center,,,31.0,,,,,,,,,,1.0,1.0,0.0,,,,,
