actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-04-07T23:10:49.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-07T23:10:49Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-04-07T23:10:51.7Z,1,REGULAR,jumpball,recovered,[],1642267,,,1610612764,0,0,2026-04-07T23:10:51Z,40000,False,,,0,,Jump Ball J. Reese vs. G. Yabusele: Tip to B. Carrington,"[1642267, 1642882, 1627824]",1610612764.0,WAS,startperiod,B. Carrington,1642267.0,Carrington,B. Carrington,Reese,1642882.0,Yabusele,1627824.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2026-04-07T23:11:08.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641731,6.521024967148489,49.26470588235294,1610612764,2,0,2026-04-07T23:11:12Z,70000,False,4.0,9.0,1,left,B. Coulibaly driving Layup (2 PTS),[1641731],1610612764.0,WAS,driving,,,Coulibaly,B. Coulibaly,,,,,Restricted Area,0-8 Center,0.95,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M13.00S,2026-04-07T23:11:35.2Z,1,REGULAR,3pt,Jump Shot,[],1630171,66.5735873850197,60.78431372549019,1610612741,2,0,2026-04-07T23:11:38Z,80000,False,54.0,262.0,1,right,MISS I. Okoro 26' pullup 3PT,[1630171],1610612741.0,CHI,pullup,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Center,26.72,Missed,,,,,,,,,,,,,,,,,,
9,PT11M11.00S,2026-04-07T23:11:37.3Z,1,REGULAR,rebound,defensive,[],1641778,,,1610612764,2,0,2026-04-07T23:11:37Z,90000,False,,,0,,L. Black REBOUND (Off:0 Def:1),[1641778],1610612764.0,WAS,,,,Black,L. Black,,,,,Above the Break 3,24+ Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT10M52.00S,2026-04-07T23:12:14.0Z,1,REGULAR,2pt,Jump Shot,[],1641731,11.777266754270697,26.96078431372549,1610612764,4,0,2026-04-07T23:12:21Z,110000,False,115.0,58.0,1,left,B. Coulibaly 12' pullup bank Jump Shot (4 PTS),[1641731],1610612764.0,WAS,pullup bank,,,Coulibaly,B. Coulibaly,,,,,Mid-Range,8-16 Right,12.91,Made,4.0,,,,,,,,,,,,,,,,,
12,PT10M40.00S,2026-04-07T23:12:25.9Z,1,REGULAR,3pt,Jump Shot,[],1627824,68.41327201051249,65.93137254901961,1610612741,4,0,2026-04-07T23:12:29Z,120000,False,80.0,244.0,1,right,MISS G. Yabusele 25' 3PT,[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Center,25.71,Missed,,,,,,,,,,,,,,,,,,
13,PT10M37.00S,2026-04-07T23:12:28.9Z,1,REGULAR,rebound,defensive,[],1641778,,,1610612764,4,0,2026-04-07T23:12:29Z,130000,False,,,0,,L. Black REBOUND (Off:0 Def:2),[1641778],1610612764.0,WAS,,,,Black,L. Black,,,,,Above the Break 3,24+ Center,,,,12.0,2.0,2.0,0.0,,,,,,,,,,,,,
14,PT10M32.00S,2026-04-07T23:12:34.1Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1630264,11.514454664914586,43.872549019607845,1610612764,4,0,2026-04-07T23:13:20Z,140000,False,31.0,56.0,1,left,MISS A. Gill 6' running pullup Shot,[1630264],1610612764.0,WAS,running pullup,,,Gill,A. Gill,,,,,In The Paint (Non-RA),0-8 Center,6.36,Missed,,,,,,,,,,,,,,,,,,
15,PT10M30.00S,2026-04-07T23:12:36.1Z,1,REGULAR,rebound,defensive,[],1631159,,,1610612741,4,0,2026-04-07T23:12:39Z,150000,False,,,0,,L. Miller REBOUND (Off:0 Def:1),[1631159],1610612741.0,CHI,,,,Miller,L. Miller,,,,,In The Paint (Non-RA),0-8 Center,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,
