actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-07T00:11:06.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-07T00:11:06Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-12-07T00:11:10.5Z,1,REGULAR,jumpball,recovered,[],1642273,,,1610612764,0,0,2025-12-07T00:11:10Z,40000,False,,,0,,Jump Ball M. Bagley III vs. O. Okongwu: Tip to K. George,"[1642273, 1628963, 1630168]",1610612764.0,WAS,startperiod,K. George,1642273.0,George,K. George,Bagley III,1628963.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-12-07T00:11:29.4Z,1,REGULAR,3pt,Jump Shot,[],203468,67.62483574244416,48.03921568627451,1610612764,3,0,2025-12-07T00:12:27Z,70000,False,-10.0,252.0,1,right,C. McCollum 25' 3PT step back (3 PTS),[203468],1610612764.0,WAS,step back,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Center,25.2,Made,3.0,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-12-07T00:11:32.5Z,1,REGULAR,foul,personal,['1freethrow'],1629638,,,1610612764,3,0,2025-12-07T00:11:38Z,80000,False,,,0,,N. Alexander-Walker shooting personal FOUL (1 PF) (McCollum 1 FT),"[1629638, 203468]",1610612737.0,ATL,shooting,,,Alexander-Walker,N. Alexander-Walker,,,,,Mid-Range,16-24 Center,,,,1830.0,1.0,0.0,McCollum,203468.0,,,,,,,,,,,,
10,PT11M41.00S,2025-12-07T00:12:07.6Z,1,REGULAR,freethrow,1 of 1,[],203468,,,1610612764,4,0,2025-12-07T00:12:07Z,100000,False,,,0,,C. McCollum Free Throw 1 of 1 (4 PTS),[203468],1610612764.0,WAS,,,,McCollum,C. McCollum,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
11,PT11M22.00S,2025-12-07T00:12:28.1Z,1,REGULAR,2pt,Hook,[],1630168,6.1268068331143235,23.774509803921568,1610612737,4,2,2025-12-07T00:12:33Z,110000,False,131.0,5.0,1,left,O. Okongwu 13' turnaround Hook (2 PTS),[1630168],1610612737.0,ATL,turnaround,,,Okongwu,O. Okongwu,,,,,Mid-Range,8-16 Right,13.12,Made,2.0,,,,,,,,,,,,,,,,,
12,PT11M13.00S,2025-12-07T00:12:37.3Z,1,REGULAR,3pt,Jump Shot,[],1642267,67.62483574244416,67.8921568627451,1610612764,7,2,2025-12-07T00:14:04Z,120000,False,89.0,252.0,1,right,B. Carrington 26' 3PT pullup (3 PTS) (J. Champagnie 1 AST),"[1642267, 1630551]",1610612764.0,WAS,pullup,,,Carrington,B. Carrington,,,,,Above the Break 3,24+ Right Center,26.72,Made,3.0,,,,,,J. Champagnie,1630551.0,1.0,,,,,,,,,
14,PT10M57.00S,2025-12-07T00:12:53.5Z,1,REGULAR,3pt,Jump Shot,[],1630552,7.30946123521682,1.9607843137254901,1610612737,7,2,2025-12-07T00:13:00Z,140000,False,240.0,16.0,1,left,MISS J. Johnson 24' 3PT,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Right Corner 3,24+ Right,24.07,Missed,,,,,,,,,,,,,,,,,,
15,PT10M52.00S,2025-12-07T00:12:58.5Z,1,REGULAR,rebound,offensive,[],1642258,,,1610612737,7,2,2025-12-07T00:13:00Z,150000,False,,,0,,Z. Risacher REBOUND (Off:1 Def:0),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,14.0,1.0,0.0,1.0,,,,,
16,PT10M50.00S,2025-12-07T00:13:00.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630552,8.229303547963205,50.0,1610612737,7,4,2025-12-07T00:13:07Z,160000,False,0.0,25.0,1,left,J. Johnson driving Layup (2 PTS) (Z. Risacher 1 AST),"[1630552, 1642258]",1610612737.0,ATL,driving,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,2.49,Made,2.0,,,,,,Z. Risacher,1642258.0,1.0,,,,,,,,,
18,PT10M33.00S,2025-12-07T00:13:16.5Z,1,REGULAR,3pt,Jump Shot,[],203468,95.74572930354796,96.56862745098039,1610612764,10,4,2025-12-07T00:13:20Z,180000,False,233.0,-13.0,1,right,C. McCollum 3PT  (7 PTS) (J. Champagnie 2 AST),"[203468, 1630551]",1610612764.0,WAS,,,,McCollum,C. McCollum,,,,,Right Corner 3,24+ Right,23.31,Made,7.0,,,,,,J. Champagnie,1630551.0,2.0,,,,,,,,,
20,PT10M20.00S,2025-12-07T00:13:30.5Z,1,REGULAR,3pt,Jump Shot,[],1642258,31.750985545335087,81.12745098039215,1610612737,10,4,2025-12-07T00:13:35Z,200000,False,-156.0,246.0,1,left,MISS Z. Risacher 29' 3PT,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Left Center,29.11,Missed,,,,,,,,,,,,,,,,,,
21,PT10M18.00S,2025-12-07T00:13:34.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612764,10,4,2025-12-07T00:13:34Z,210000,False,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,20.0,,,,,,,,
23,PT10M12.00S,2025-12-07T00:13:49.6Z,1,REGULAR,foul,offensive,[],203468,,,1610612764,10,4,2025-12-07T00:13:58Z,230000,False,,,0,,C. McCollum offensive FOUL (1 PF),"[203468, 1629638]",1610612764.0,WAS,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,,,,1830.0,1.0,0.0,Alexander-Walker,1629638.0,,,,,,,,,,,,
25,PT10M12.00S,2025-12-07T00:13:49.6Z,1,REGULAR,turnover,offensive foul,[],203468,,,1610612764,10,4,2025-12-07T00:13:49Z,250000,False,,,0,,C. McCollum offensive foul TURNOVER (1 TO),[203468],1610612764.0,WAS,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,,,,1830.0,,,,,,,,,,,,1.0,,,,
26,PT09M57.00S,2025-12-07T00:14:16.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629638,4.155716162943495,94.36274509803921,1610612737,10,4,2025-12-07T00:14:21Z,260000,False,-222.0,-13.0,1,left,MISS N. Alexander-Walker 3PT,[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,Left Corner 3,24+ Left,22.22,Missed,,,,,,,,,,,,,,,,,,
27,PT09M55.00S,2025-12-07T00:14:18.9Z,1,REGULAR,rebound,defensive,[],1642273,,,1610612764,10,4,2025-12-07T00:14:21Z,270000,False,,,0,,K. George REBOUND (Off:0 Def:1),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,26.0,1.0,1.0,0.0,,,,,
28,PT09M48.00S,2025-12-07T00:14:27.2Z,1,REGULAR,turnover,bad pass,[],1642273,,,1610612764,10,4,2025-12-07T00:14:30Z,280000,False,,,0,,K. George bad pass TURNOVER (1 TO),"[1642273, 1630552]",1610612764.0,WAS,,,,George,K. George,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,1.0,Johnson,1630552.0,,
29,PT09M48.00S,2025-12-07T00:14:27.2Z,1,REGULAR,steal,,[],1630552,,,1610612737,10,4,2025-12-07T00:14:56Z,290000,False,,,0,,J. Johnson STEAL (1 STL),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
30,PT09M44.00S,2025-12-07T00:14:31.4Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1642258,4.28712220762155,53.18627450980392,1610612737,10,6,2025-12-07T01:15:35Z,300000,False,-16.0,-12.0,1,left,Z. Risacher running alley-oop DUNK (2 PTS) (J. Johnson 1 AST),"[1642258, 1630552]",1610612737.0,ATL,running alley-oop,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,2.0,Made,2.0,,,,,,J. Johnson,1630552.0,1.0,,,,,,,,,
32,PT09M44.00S,2025-12-07T00:14:37.0Z,1,REGULAR,foul,personal,['1freethrow'],1628963,,,1610612737,10,6,2025-12-07T00:14:46Z,320000,False,,,0,,M. Bagley III shooting personal FOUL (1 PF) (Risacher 1 FT),"[1628963, 1642258]",1610612764.0,WAS,shooting,,,Bagley III,M. Bagley III,,,,,Restricted Area,0-8 Center,,,,1830.0,1.0,0.0,Risacher,1642258.0,,,,,,,,,,,,
34,PT09M44.00S,2025-12-07T00:14:58.5Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1642258,,,1610612737,10,7,2025-12-07T00:14:58Z,340000,False,,,0,,Z. Risacher Free Throw 1 of 1 (3 PTS),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
35,PT09M30.00S,2025-12-07T00:15:13.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642267,95.0886990801577,55.63725490196079,1610612764,10,7,2025-12-07T01:15:58Z,350000,False,28.0,-6.0,1,right,MISS B. Carrington driving Layup,[1642267],1610612764.0,WAS,driving,,,Carrington,B. Carrington,,,,,Restricted Area,0-8 Center,2.89,Missed,,,,,,,,,,,,,,,,,,
36,PT09M28.00S,2025-12-07T00:15:15.6Z,1,REGULAR,rebound,defensive,[],1642258,,,1610612737,10,7,2025-12-07T00:15:15Z,360000,False,,,0,,Z. Risacher REBOUND (Off:1 Def:1),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,35.0,2.0,1.0,1.0,,,,,
37,PT09M24.00S,2025-12-07T00:15:20.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629638,32.40801576872536,43.872549019607845,1610612737,10,7,2025-12-07T00:19:42Z,370000,False,31.0,252.0,1,left,MISS N. Alexander-Walker 25' running 3PT,[1629638],1610612737.0,ATL,running,,,Alexander-Walker,N. Alexander-Walker,,,,,Above the Break 3,24+ Center,25.4,Missed,,,,,,,,,,,,,,,,,,
38,PT09M23.00S,2025-12-07T00:15:21.1Z,1,REGULAR,rebound,defensive,[],1628963,,,1610612764,10,7,2025-12-07T00:29:20Z,380000,False,,,0,,M. Bagley III REBOUND (Off:0 Def:1),[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,37.0,1.0,1.0,0.0,,,,,
41,PT09M12.00S,2025-12-07T00:15:33.4Z,1,REGULAR,turnover,bad pass,[],1642267,,,1610612764,10,7,2025-12-07T00:15:37Z,410000,False,,,0,,B. Carrington bad pass TURNOVER (1 TO),"[1642267, 1642258]",1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,1.0,Risacher,1642258.0,,
42,PT09M12.00S,2025-12-07T00:15:33.4Z,1,REGULAR,steal,,[],1642258,,,1610612737,10,7,2025-12-07T00:15:36Z,420000,False,,,0,,Z. Risacher STEAL (1 STL),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
