actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-10-28T23:10:49.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-10-28T23:10:49Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-10-28T23:10:51.5Z,1,REGULAR,jumpball,recovered,[],1642845,,,1610612755,0,0,2025-10-28T23:10:51Z,40000,False,,,0,,Jump Ball K. Oubre Jr. vs. A. Sarr: Tip to V. Edgecombe,"[1642845, 1626162, 1642259]",1610612755.0,PHI,startperiod,V. Edgecombe,1642845.0,Edgecombe,V. Edgecombe,Oubre Jr.,1626162.0,Sarr,1642259.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-10-28T23:11:05.4Z,1,REGULAR,foul,personal,['2freethrow'],1642259,,,1610612755,0,0,2025-10-28T23:11:12Z,70000,False,,,0,,A. Sarr shooting personal FOUL (1 PF) (Embiid 2 FT),"[1642259, 203954]",1610612764.0,WAS,shooting,,,Sarr,A. Sarr,,,,,Mid-Range,16-24 Left Center,1155.0,1.0,0.0,Embiid,203954.0,,,,,,,,,,,,,,,
9,PT11M45.00S,2025-10-28T23:11:29.6Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,0,1,2025-10-28T23:11:47Z,90000,False,,,0,,J. Embiid Free Throw 1 of 2 (1 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M45.00S,2025-10-28T23:11:29.6Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,0,1,2025-10-28T23:11:47Z,100000,False,,,0,,MISS J. Embiid Free Throw 2 of 2,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
11,PT11M42.00S,2025-10-28T23:11:32.6Z,1,REGULAR,rebound,defensive,[],1642273,,,1610612764,0,1,2025-10-28T23:11:47Z,110000,False,,,0,,K. George REBOUND (Off:0 Def:1),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M29.00S,2025-10-28T23:11:59.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203114,93.51182654402102,46.568627450980394,1610612764,2,1,2025-10-28T23:12:04Z,120000,False,-17.0,8.0,1,right,K. Middleton driving Layup (2 PTS) (C. McCollum 1 AST),"[203114, 203468]",1610612764.0,WAS,driving,,,Middleton,K. Middleton,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,,1.92,C. McCollum,203468.0,1.0,,,,,
14,PT11M10.00S,2025-10-28T23:12:18.4Z,1,REGULAR,3pt,Jump Shot,[],1630178,22.946780551905388,87.5,1610612755,2,4,2025-10-28T23:13:14Z,140000,False,-188.0,163.0,1,left,T. Maxey 24' 3PT step back (3 PTS) (K. Oubre Jr. 1 AST),"[1630178, 1626162]",1610612755.0,PHI,step back,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,,,,,24.86,K. Oubre Jr.,1626162.0,1.0,,,,,
16,PT10M59.00S,2025-10-28T23:12:30.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,84.44480946123521,44.11764705882353,1610612764,2,4,2025-10-28T23:12:34Z,160000,False,-29.0,94.0,1,right,MISS C. McCollum 9' driving floating Shot,[203468],1610612764.0,WAS,driving floating,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,,,,,9.82,,,,,,,,
17,PT10M55.00S,2025-10-28T23:12:34.1Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,2,4,2025-10-28T23:12:34Z,170000,False,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,
