actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-04-10T23:14:15.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-10T23:14:15Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-04-10T23:14:17.9Z,1,REGULAR,jumpball,recovered,[],1630264,,,1610612764,0,0,2026-04-10T23:14:17Z,40000,False,,,0,,Jump Ball J. Reese vs. K. Ware: Tip to A. Gill,"[1630264, 1642882, 1642276]",1610612764.0,WAS,startperiod,A. Gill,1630264.0,Gill,A. Gill,Reese,1642882.0,Ware,1642276.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2026-04-10T23:14:39.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642267,85.75886990801577,40.19607843137255,1610612764,0,0,2026-04-10T23:15:05Z,70000,False,-49.0,81.0,1,right,MISS B. Carrington 9' driving floating Shot,[1642267],1610612764.0,WAS,driving floating,,,Carrington,B. Carrington,,,,,In The Paint (Non-RA),8-16 Center,9.5,Missed,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2026-04-10T23:14:41.1Z,1,REGULAR,rebound,defensive,[],1631323,,,1610612748,0,0,2026-04-10T23:14:48Z,80000,False,,,0,,S. Fontecchio REBOUND (Off:0 Def:1),[1631323],1610612748.0,MIA,,,,Fontecchio,S. Fontecchio,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M22.00S,2026-04-10T23:14:51.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628389,11.777266754270697,50.49019607843137,1610612748,0,0,2026-04-10T23:16:00Z,90000,False,-2.0,58.0,1,left,MISS B. Adebayo turnaround Hook,[1628389],1610612748.0,MIA,turnaround,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,5.83,Missed,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2026-04-10T23:14:52.3Z,1,REGULAR,rebound,defensive,[],1641778,,,1610612764,0,0,2026-04-10T23:14:57Z,100000,False,,,0,,L. Black REBOUND (Off:0 Def:1),[1641778],1610612764.0,WAS,,,,Black,L. Black,,,,,In The Paint (Non-RA),0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M17.00S,2026-04-10T23:14:57.6Z,1,REGULAR,turnover,out-of-bounds,[],1641778,,,1610612764,0,0,2026-04-10T23:15:21Z,110000,False,,,0,,L. Black bad pass out-of-bounds TURNOVER (1 TO),[1641778],1610612764.0,WAS,bad pass,,,Black,L. Black,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1148.0,1.0,,,,,,,,,,,,
12,PT11M03.00S,2026-04-10T23:15:22.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1642276,6.389618922470433,55.63725490196079,1610612748,0,2,2026-04-10T23:15:28Z,120000,False,-28.0,8.0,1,left,K. Ware alley-oop Layup (2 PTS) (A. Wiggins 1 AST),"[1642276, 203952]",1610612748.0,MIA,alley-oop,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,2.92,Made,,,,,,,2.0,A. Wiggins,203952.0,1.0,,,,,,,,
14,PT10M45.00S,2026-04-10T23:15:39.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1642882,87.20433639947439,35.78431372549019,1610612764,0,2,2026-04-10T23:16:31Z,140000,False,-71.0,68.0,1,right,MISS J. Reese 9' driving bank Hook,[1642882],1610612764.0,WAS,driving bank,,,Reese,J. Reese,,,,,In The Paint (Non-RA),8-16 Left,9.82,Missed,,,,,,,,,,,,,,,,,,
15,PT10M43.00S,2026-04-10T23:15:41.9Z,1,REGULAR,rebound,defensive,[],1642857,,,1610612748,0,2,2026-04-10T23:15:44Z,150000,False,,,0,,K. Jakučionis REBOUND (Off:0 Def:1),[1642857],1610612748.0,MIA,,,,Jakučionis,K. Jakučionis,,,,,In The Paint (Non-RA),8-16 Left,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
