actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-10-27T00:10:19.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-27T00:10:19Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-27T00:10:22.0Z,1,REGULAR,jumpball,recovered,[],203497,,,1610612750,0,0,2022-10-27T00:10:22Z,40000,,,0,,Jump Ball K. Towns vs. J. Poeltl: Tip to R. Gobert,"[203497, 1626157, 1627751]",1610612750.0,MIN,startperiod,R. Gobert,203497.0,Gobert,R. Gobert,Towns,1626157.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-10-27T00:10:38.3Z,1,REGULAR,3pt,Jump Shot,[],1630162,30.699737187910642,37.00980392156863,1610612750,3,0,2022-10-27T00:10:43Z,70000,65.0,236.0,1,left,A. Edwards 24' 3PT step back (3 PTS),[1630162],1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,24.49,Made,3.0,,,,,,,,,,,,,,,,,
9,PT11M21.00S,2022-10-27T00:10:57.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627751,89.83245729303549,58.82352941176471,1610612759,3,0,2022-10-27T00:11:03Z,90000,44.0,43.0,1,right,MISS J. Poeltl 6' turnaround Hook,[1627751],1610612759.0,SAS,turnaround,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,6.17,Missed,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2022-10-27T00:10:59.3Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,3,0,2022-10-27T00:11:19Z,100000,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M08.00S,2022-10-27T00:11:24.0Z,1,REGULAR,3pt,Jump Shot,[],1630162,18.2161629434954,93.87254901960785,1610612750,6,0,2022-10-27T00:11:28Z,120000,-219.0,119.0,1,left,A. Edwards 24' 3PT  (6 PTS) (D. Russell 1 AST),"[1630162, 1626156]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,24.95,Made,6.0,,,,,D. Russell,1626156.0,1.0,,,,,,,,,,
14,PT10M57.00S,2022-10-27T00:11:35.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629640,92.19776609724047,44.85294117647059,1610612759,6,0,2022-10-27T00:11:42Z,140000,-26.0,21.0,1,right,MISS K. Johnson driving Layup,[1629640],1610612759.0,SAS,driving,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,3.31,Missed,,,,,,,,,,,,,,,,,,
15,PT10M54.00S,2022-10-27T00:11:38.5Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,6,0,2022-10-27T00:11:42Z,150000,,,0,,R. Gobert REBOUND (Off:0 Def:2),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,14.0,2.0,2.0,0.0,,,,,,,,,,,,,
16,PT10M48.00S,2022-10-27T00:11:46.6Z,1,REGULAR,foul,offensive,[],203497,,,1610612750,6,0,2022-10-27T00:11:56Z,160000,,,0,,R. Gobert offensive FOUL (1 PF),"[203497, 1630200]",1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Mid-Range,16-24 Center,,,,,,,,,,,204059.0,1.0,0.0,Jones,1630200.0,,,,,
18,PT10M48.00S,2022-10-27T00:11:46.6Z,1,REGULAR,turnover,offensive foul,[],203497,,,1610612750,6,0,2022-10-27T00:11:46Z,180000,,,0,,R. Gobert offensive foul TURNOVER (1 TO),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Mid-Range,16-24 Center,,,,,,,,,,,204059.0,,,,,1.0,,,,
