actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-01-07T02:10:32.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-07T02:10:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-01-07T02:10:36.0Z,1,REGULAR,jumpball,recovered,[],1630162,,,1610612750,0,0,2023-01-07T02:10:36Z,40000,False,,,0,,Jump Ball R. Gobert vs. I. Zubac: Tip to A. Edwards,"[1630162, 203497, 1627826]",1610612750.0,MIN,startperiod,A. Edwards,1630162.0,Edwards,A. Edwards,Gobert,203497.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2023-01-07T02:10:48.9Z,1,REGULAR,foul,personal,['2freethrow'],1627826,,,1610612750,0,0,2023-01-07T02:10:55Z,70000,False,,,0,,I. Zubac shooting personal FOUL (1 PF) (Gobert 2 FT),"[1627826, 203497]",1610612746.0,LAC,shooting,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,1626301.0,1.0,0.0,Gobert,203497.0,,,,,,,,,,,,,,,
9,PT11M48.00S,2023-01-07T02:11:12.0Z,1,REGULAR,freethrow,1 of 2,[],203497,,,1610612750,1,0,2023-01-07T02:11:12Z,90000,False,,,0,,R. Gobert Free Throw 1 of 2 (1 PTS),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M48.00S,2023-01-07T02:11:28.1Z,1,REGULAR,freethrow,2 of 2,[],203497,,,1610612750,2,0,2023-01-07T02:11:28Z,100000,False,,,0,,R. Gobert Free Throw 2 of 2 (2 PTS),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M28.00S,2023-01-07T02:11:49.6Z,1,REGULAR,2pt,Jump Shot,[],1628379,21.632720105124836,33.57843137254902,1610612746,2,2,2023-01-07T02:11:55Z,110000,False,82.0,151.0,1,left,L. Kennard 17' step back Jump Shot (2 PTS),[1628379],1610612746.0,LAC,step back,,,Kennard,L. Kennard,,,,,Mid-Range,16-24 Right Center,,,,,,Made,2.0,17.17,,,,,,,,,,,,
12,PT11M14.00S,2023-01-07T02:12:07.3Z,1,REGULAR,foul,personal,[],202694,,,1610612750,2,2,2023-01-07T02:12:30Z,120000,False,,,0,,M. Morris Sr. personal FOUL (1 PF),"[202694, 203497]",1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,In The Paint (Non-RA),0-8 Center,2714.0,1.0,0.0,Gobert,203497.0,,,,,,,,,,,,,,,
14,PT11M14.00S,2023-01-07T02:12:29.0Z,1,REGULAR,foul,technical,['1freethrow'],202694,,,1610612750,2,2,2023-01-07T02:12:38Z,140000,False,,,0,,M. Morris Sr. technical FOUL (1 Tech),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,1626301.0,1.0,1.0,,,,,,,,,,,,,,,,,
15,PT11M14.00S,2023-01-07T02:12:46.8Z,1,REGULAR,freethrow,1 of 1,[],1630162,,,1610612750,3,2,2023-01-07T02:12:46Z,150000,False,,,0,,A. Edwards technical Free Throw 1 of 1 (1 PTS),[1630162],1610612750.0,MIN,technical,,,Edwards,A. Edwards,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
16,PT11M09.00S,2023-01-07T02:13:08.0Z,1,REGULAR,foul,personal,['2freethrow'],1628379,,,1610612750,3,2,2023-01-07T02:13:14Z,160000,False,,,0,,L. Kennard shooting personal FOUL (1 PF) (Russell 2 FT),"[1628379, 1626156]",1610612746.0,LAC,shooting,,,Kennard,L. Kennard,,,,,In The Paint (Non-RA),8-16 Center,1626301.0,1.0,0.0,Russell,1626156.0,,,,,,,,,,,,,,,
