actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-02-17T01:10:55.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-17T01:10:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-02-17T01:10:59.1Z,1,REGULAR,jumpball,recovered,[],201144,,,1610612750,0,0,2023-02-17T01:10:59Z,40000,False,,,0,,Jump Ball R. Gobert vs. K. Porzingis: Tip to M. Conley,"[201144, 203497, 204001]",1610612750.0,MIN,startperiod,M. Conley,201144.0,Conley,M. Conley,Gobert,203497.0,Porzingis,204001.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2023-02-17T01:11:07.5Z,1,REGULAR,foul,personal,[],1629655,,,1610612750,0,0,2023-02-17T01:11:17Z,70000,False,,,0,,D. Gafford personal FOUL (1 PF),"[1629655, 203497]",1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),0-8 Center,204058.0,1.0,0.0,Gobert,203497.0,,,,,,,,,,,,,,,
9,PT11M42.00S,2023-02-17T01:11:30.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630162,92.9862023653088,53.67647058823529,1610612750,0,0,2023-02-17T01:20:25Z,90000,False,18.0,13.0,1,right,MISS A. Edwards driving floating Shot,[1630162],1610612750.0,MIN,driving floating,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,,,2.28,Missed,,,,,,,,,,,,,
10,PT11M40.00S,2023-02-17T01:11:32.2Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,0,0,2023-02-17T01:11:35Z,100000,False,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,
11,PT11M23.00S,2023-02-17T01:11:48.9Z,1,REGULAR,3pt,Jump Shot,[],1628398,27.488501971090667,22.326899509803923,1610612764,0,0,2023-02-17T01:11:55Z,110000,False,138.0,206.0,1,left,MISS K. Kuzma 24' 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Right Center,,,,,,24.81,Missed,,,,,,,,,,,,,
12,PT11M21.00S,2023-02-17T01:11:50.9Z,1,REGULAR,rebound,defensive,[],203937,,,1610612750,0,0,2023-02-17T01:11:55Z,120000,False,,,0,,K. Anderson REBOUND (Off:0 Def:1),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Above the Break 3,24+ Right Center,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,
13,PT11M04.00S,2023-02-17T01:12:07.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,92.72339027595268,49.01960784313725,1610612750,2,0,2023-02-17T01:20:38Z,130000,False,-5.0,16.0,1,right,R. Gobert driving DUNK (2 PTS) (A. Edwards 1 AST),"[203497, 1630162]",1610612750.0,MIN,driving,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,1.66,Made,,,,,2.0,A. Edwards,1630162.0,1.0,,,,,
15,PT10M44.00S,2023-02-17T01:12:42.4Z,1,REGULAR,2pt,Jump Shot,[],204001,16.90210249671485,30.88235294117647,1610612764,2,0,2023-02-17T01:12:47Z,150000,False,96.0,106.0,1,left,MISS K. Porzingis 14' turnaround Shot,[204001],1610612764.0,WAS,turnaround,,,Porzingis,K. Porzingis,,,,,Mid-Range,8-16 Right,,,,,,14.3,Missed,,,,,,,,,,,,,
16,PT10M42.00S,2023-02-17T01:12:44.4Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,2,0,2023-02-17T01:12:47Z,160000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Mid-Range,8-16 Right,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,
