actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-11-08T02:15:29.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-08T02:15:29Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-11-08T02:15:33.2Z,1,REGULAR,jumpball,recovered,[],1630183,,,1610612750,0,0,2022-11-08T02:15:33Z,40000,,,0,,Jump Ball K. Towns vs. J. Sims: Tip to J. McDaniels,"[1630183, 1626157, 1630579]",1610612750.0,MIN,startperiod,J. McDaniels,1630183.0,McDaniels,J. McDaniels,Towns,1626157.0,Sims,1630579.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M53.00S,2022-11-08T02:15:34.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630183,11.645860709592641,49.01960784313725,1610612750,0,0,2022-11-08T02:15:46Z,70000,5.0,57.0,1,left,MISS J. McDaniels running Shot - blocked,"[1630183, 1630579]",1610612750.0,MIN,running,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,5.72,Missed,Sims,1630579.0,,,,,,,,,,,,,,,,
8,PT11M53.00S,2022-11-08T02:15:34.8Z,1,REGULAR,block,,[],1630579,,,1610612750,0,0,2022-11-08T02:15:37Z,80000,,,0,,J. Sims BLOCK (1 BLK),[1630579],1610612752.0,NYK,,,,Sims,J. Sims,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M53.00S,2022-11-08T02:15:34.8Z,1,REGULAR,rebound,offensive,[],1630183,,,1610612750,0,0,2022-11-08T02:15:46Z,90000,,,0,,J. McDaniels REBOUND (Off:1 Def:0),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,
10,PT11M51.00S,2022-11-08T02:16:07.1Z,1,REGULAR,jumpball,recovered,[],0,,,1610612750,0,0,2022-11-08T02:16:07Z,100000,,,0,,Jump Ball R. Barrett vs. J. McDaniels: Tip to Team (NYK),"[1629628, 1630183]",1610612752.0,NYK,heldball,Team (NYK),,,,Barrett,1629628.0,McDaniels,1630183.0,,,,,,,,,,,,,,,,,,,,,,
13,PT11M51.00S,2022-11-08T02:16:07.1Z,1,REGULAR,turnover,lost ball,[],1630183,,,1610612750,0,0,2022-11-08T02:16:07Z,130000,,,0,,J. McDaniels lost ball TURNOVER (1 TO),"[1630183, 1629628]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,1.0,Barrett,1629628.0,,,,,,,,,
14,PT11M51.00S,2022-11-08T02:16:07.1Z,1,REGULAR,steal,,[],1629628,,,1610612752,0,0,2022-11-08T02:16:07Z,140000,,,0,,R. Barrett STEAL (1 STL),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT11M38.00S,2022-11-08T02:16:25.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628973,72.48685939553219,77.94117647058823,1610612752,0,0,2022-11-08T02:16:31Z,160000,140.0,206.0,1,right,MISS J. Brunson 24' 3PT,[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,24.9,Missed,,,,,,,,,,,,,,,,,,
17,PT11M34.00S,2022-11-08T02:16:29.5Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,0,0,2022-11-08T02:16:31Z,170000,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Right Center,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,
18,PT11M15.00S,2022-11-08T02:16:48.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203937,11.645860709592641,63.23529411764706,1610612750,0,0,2022-11-08T02:16:57Z,180000,-66.0,57.0,1,left,MISS K. Anderson 8' pullup bank Shot,[203937],1610612750.0,MIN,pullup bank,,,Anderson,K. Anderson,,,,,In The Paint (Non-RA),8-16 Left,8.74,Missed,,,,,,,,,,,,,,,,,,
19,PT11M12.00S,2022-11-08T02:16:51.0Z,1,REGULAR,rebound,defensive,[],1630579,,,1610612752,0,0,2022-11-08T02:16:57Z,190000,,,0,,J. Sims REBOUND (Off:0 Def:1),[1630579],1610612752.0,NYK,,,,Sims,J. Sims,,,,,In The Paint (Non-RA),8-16 Left,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,
20,PT11M09.00S,2022-11-08T02:16:56.8Z,1,REGULAR,turnover,out-of-bounds,[],1629628,,,1610612752,0,0,2022-11-08T02:17:09Z,200000,,,0,,R. Barrett step out-of-bounds TURNOVER (1 TO),[1629628],1610612752.0,NYK,step,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,1.0,,,1627529.0,,,,,,,,
21,PT10M55.00S,2022-11-08T02:17:20.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626156,21.632720105124836,9.803921568627452,1610612750,0,0,2022-11-08T02:17:25Z,210000,201.0,151.0,1,left,MISS D. Russell 25' 3PT,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Right Center,25.13,Missed,,,,,,,,,,,,,,,,,,
22,PT10M51.00S,2022-11-08T02:17:24.2Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,0,0,2022-11-08T02:17:25Z,220000,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Right Center,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,
