actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-12-01T01:10:35.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-01T01:10:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-12-01T01:10:37.5Z,1,REGULAR,jumpball,recovered,[],203937,,,1610612750,0,0,2022-12-01T01:10:37Z,40000,False,,,0,,Jump Ball R. Gobert vs. S. Adams: Tip to K. Anderson,"[203937, 203497, 203500]",1610612750.0,MIN,startperiod,K. Anderson,203937.0,Anderson,K. Anderson,Gobert,203497.0,Adams,203500.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M53.00S,2022-12-01T01:10:42.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203937,94.03745072273325,53.431372549019606,1610612750,0,0,2022-12-01T01:10:46Z,70000,False,17.0,4.0,1,right,MISS K. Anderson Layup,[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Restricted Area,0-8 Center,1.76,Missed,,,,,,,,,,,,,,,,,,
8,PT11M51.00S,2022-12-01T01:10:44.0Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,0,0,2022-12-01T01:10:46Z,80000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M35.00S,2022-12-01T01:11:00.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,13.748357424441524,35.53921568627451,1610612763,0,2,2022-12-01T01:11:06Z,90000,False,72.0,77.0,1,left,D. Brooks 10' turnaround fadeaway Jump Shot (2 PTS),[1628415],1610612763.0,MEM,turnaround fadeaway,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Right,10.54,Made,,,,,2.0,,,,,,,,,,,,,
12,PT11M16.00S,2022-12-01T01:11:18.9Z,1,REGULAR,3pt,Jump Shot,[],1626156,86.02168199737189,4.6568627450980395,1610612750,0,2,2022-12-01T01:11:25Z,120000,False,-227.0,79.0,1,right,MISS D. Russell 24' 3PT,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,Left Corner 3,24+ Left,24.0,Missed,,,,,,,,,,,,,,,,,,
13,PT11M12.00S,2022-12-01T01:11:22.9Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,0,2,2022-12-01T01:11:25Z,130000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:2),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Left Corner 3,24+ Left,,,12.0,2.0,2.0,0.0,,,,,,,,,,,,,,
14,PT11M03.00S,2022-12-01T01:11:31.3Z,1,REGULAR,3pt,Jump Shot,[],1628991,25.969119579500656,15.686274509803921,1610612763,0,2,2022-12-01T01:11:37Z,140000,False,172.0,192.0,1,left,MISS J. Jackson Jr. 25' 3PT,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Right Center,25.72,Missed,,,,,,,,,,,,,,,,,,
15,PT10M59.00S,2022-12-01T01:11:35.3Z,1,REGULAR,rebound,defensive,[],1631111,,,1610612750,0,2,2022-12-01T01:11:37Z,150000,False,,,0,,W. Moore Jr. REBOUND (Off:0 Def:1),[1631111],1610612750.0,MIN,,,,Moore Jr.,W. Moore Jr.,,,,,Above the Break 3,24+ Right Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M52.00S,2022-12-01T01:11:41.9Z,1,REGULAR,turnover,bad pass,[],1630162,,,1610612750,0,2,2022-12-01T01:11:51Z,160000,False,,,0,,A. Edwards bad pass TURNOVER (1 TO),"[1630162, 203500]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Left Center,,,,,,,,1.0,Adams,203500.0,,,,,,,,,,
