actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-27T20:40:28.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-27T20:40:28Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-27T20:40:31.5Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2022-11-27T20:40:31Z,40000,False,,,0,,Jump Ball K. Looney vs. R. Gobert: Tip to D. Green,"[203110, 1626172, 203497]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Looney,1626172.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2022-11-27T20:40:39.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203952,93.64323258869908,50.245098039215684,1610612744,0,2,2022-11-27T20:40:45Z,70000,False,1.0,7.0,1,right,A. Wiggins alley-oop DUNK (2 PTS) (D. Green 1 AST),"[203952, 203110]",1610612744.0,GSW,alley-oop,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,0.74,Made,2.0,D. Green,203110.0,1.0,,,,,,,,,,,,,,
9,PT11M22.00S,2022-11-27T20:41:05.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,10.5946123521682,54.166666666666664,1610612750,0,2,2022-11-27T21:44:45Z,90000,False,-21.0,47.0,1,left,MISS R. Gobert cutting Layup,[203497],1610612750.0,MIN,cutting,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,5.15,Missed,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2022-11-27T20:41:07.7Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,0,2,2022-11-27T20:41:12Z,100000,False,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M17.00S,2022-11-27T20:41:10.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202691,82.21090670170827,7.107843137254902,1610612744,0,2,2022-11-27T21:45:25Z,110000,False,-214.0,115.0,1,right,MISS K. Thompson 24' running 3PT,[202691],1610612744.0,GSW,running,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Left Center,24.32,Missed,,,,,,,,,,,,,,,,,,
12,PT11M14.00S,2022-11-27T20:41:13.8Z,1,REGULAR,rebound,offensive,[],203110,,,1610612744,0,2,2022-11-27T20:41:32Z,120000,False,,,0,,D. Green REBOUND (Off:1 Def:0),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Left Center,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,
13,PT11M11.00S,2022-11-27T20:41:19.5Z,1,REGULAR,turnover,out-of-bounds,[],201939,,,1610612744,0,2,2022-11-27T20:41:28Z,130000,False,,,0,,S. Curry bad pass out-of-bounds TURNOVER (1 TO),[201939],1610612744.0,GSW,bad pass,,,Curry,S. Curry,,,,,Mid-Range,16-24 Center,,,,,,,,,,,1626302.0,1.0,,,,,,,,
14,PT11M02.00S,2022-11-27T20:41:38.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626157,22.683968462549277,87.74509803921569,1610612750,0,2,2022-11-27T20:41:44Z,140000,False,-189.0,161.0,1,left,MISS K. Towns 24' 3PT,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Left Center,24.79,Missed,,,,,,,,,,,,,,,,,,
15,PT10M59.00S,2022-11-27T20:41:41.5Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,0,2,2022-11-27T20:41:44Z,150000,False,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
16,PT10M56.00S,2022-11-27T20:41:43.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",203110,93.9060446780552,51.470588235294116,1610612744,0,4,2022-11-27T20:41:49Z,160000,False,7.0,5.0,1,right,D. Green running DUNK (2 PTS) (S. Curry 1 AST),"[203110, 201939]",1610612744.0,GSW,running,,,Green,D. Green,,,,,Restricted Area,0-8 Center,0.88,Made,2.0,S. Curry,201939.0,1.0,,,,,,,,,,,,,,
18,PT10M48.00S,2022-11-27T20:41:52.1Z,1,REGULAR,3pt,Jump Shot,[],1630162,24.392247043363994,13.970588235294118,1610612750,0,4,2022-11-27T20:42:20Z,180000,False,180.0,177.0,1,left,MISS A. Edwards 25' pullup 3PT,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Right Center,25.24,Missed,,,,,,,,,,,,,,,,,,
19,PT10M45.00S,2022-11-27T20:41:55.1Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,0,4,2022-11-27T20:41:56Z,190000,False,,,0,,K. Looney REBOUND (Off:0 Def:2),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,Above the Break 3,24+ Right Center,,,,,,,18.0,2.0,2.0,0.0,,,,,,,,,,
20,PT10M33.00S,2022-11-27T20:42:06.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203110,93.11760840998686,48.77450980392157,1610612744,0,6,2022-11-27T20:42:10Z,200000,False,-6.0,12.0,1,right,D. Green cutting DUNK (4 PTS) (S. Curry 2 AST),"[203110, 201939]",1610612744.0,GSW,cutting,,,Green,D. Green,,,,,Restricted Area,0-8 Center,1.36,Made,4.0,S. Curry,201939.0,2.0,,,,,,,,,,,,,,
22,PT10M15.00S,2022-11-27T20:42:24.2Z,1,REGULAR,3pt,Jump Shot,[],1626156,30.305519053876477,25.735294117647058,1610612750,0,6,2022-11-27T20:42:30Z,220000,False,121.0,232.0,1,left,MISS D. Russell 26' pullup 3PT,[1626156],1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,Above the Break 3,24+ Right Center,26.22,Missed,,,,,,,,,,,,,,,,,,
23,PT10M14.00S,2022-11-27T20:42:25.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612744,0,6,2022-11-27T20:42:30Z,230000,False,,,0,,TEAM defensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,22.0,,,,,,,,,,,,,
25,PT10M02.00S,2022-11-27T20:42:47.5Z,1,REGULAR,2pt,Jump Shot,[],202691,78.26872536136662,74.50980392156863,1610612744,0,6,2022-11-27T20:42:51Z,250000,False,123.0,152.0,1,right,MISS K. Thompson 19' pullup Shot - blocked,"[202691, 1626156]",1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,Mid-Range,16-24 Right Center,19.51,Missed,,,,,,,,,,,Russell,1626156.0,,,,,,
26,PT10M02.00S,2022-11-27T20:42:47.5Z,1,REGULAR,block,,[],1626156,,,1610612744,0,6,2022-11-27T20:42:49Z,260000,False,,,0,,D. Russell BLOCK (1 BLK),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
27,PT09M59.00S,2022-11-27T20:42:50.5Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,0,6,2022-11-27T20:42:51Z,270000,False,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Right Center,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,
28,PT09M54.00S,2022-11-27T20:42:55.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1626157,6.652431011826544,50.98039215686274,1610612750,2,6,2022-11-27T21:46:26Z,280000,False,-5.0,10.0,1,left,K. Towns running finger roll Layup (2 PTS) (A. Edwards 1 AST),"[1626157, 1630162]",1610612750.0,MIN,running finger roll,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,1.11,Made,2.0,A. Edwards,1630162.0,1.0,,,,,,,,,,,,,,
31,PT09M46.00S,2022-11-27T20:43:02.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203110,93.11760840998686,49.50980392156863,1610612744,2,8,2022-11-27T20:43:09Z,310000,False,-2.0,12.0,1,right,D. Green driving Layup (6 PTS),[203110],1610612744.0,GSW,driving,,,Green,D. Green,,,,,Restricted Area,0-8 Center,1.25,Made,6.0,,,,,,,,,,,,,,,,,
32,PT09M32.00S,2022-11-27T20:43:16.7Z,1,REGULAR,2pt,Jump Shot,[],1626156,6.1268068331143235,70.09803921568627,1610612750,2,8,2022-11-27T20:43:21Z,320000,False,-100.0,5.0,1,left,MISS D. Russell 10' pullup Shot,[1626156],1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,Mid-Range,8-16 Left,10.06,Missed,,,,,,,,,,,,,,,,,,
33,PT09M28.00S,2022-11-27T20:43:20.7Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,2,8,2022-11-27T20:43:21Z,330000,False,,,0,,R. Gobert REBOUND (Off:1 Def:0),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Mid-Range,8-16 Left,,,,,,,32.0,1.0,0.0,1.0,,,,,,,,,,
