actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-22T01:10:47.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-22T01:10:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-22T01:10:54.3Z,1,REGULAR,jumpball,recovered,[],0,,,1610612748,0,0,2022-11-22T01:10:54Z,40000,False,,,0,,Jump Ball B. Adebayo vs. R. Gobert: Tip to Team (MIA),"[1628389, 203497]",1610612748.0,MIA,startperiod,Team (MIA),Adebayo,1628389.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-11-22T01:11:34.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628389,88.91261498028909,49.26470588235294,1610612748,0,2,2022-11-22T01:11:40Z,70000,False,-4.0,52.0,1,right,B. Adebayo driving Hook (2 PTS) (C. Martin 1 AST),"[1628389, 1628997]",1610612748.0,MIA,driving,,,,,,In The Paint (Non-RA),0-8 Center,5.18,Made,2.0,Adebayo,B. Adebayo,C. Martin,1628997.0,1.0,,,,,,,,,,,,,,
9,PT11M24.00S,2022-11-22T01:11:50.8Z,1,REGULAR,3pt,Jump Shot,[],1626157,8.360709592641262,95.83333333333334,1610612750,3,2,2022-11-22T01:11:55Z,90000,False,-229.0,26.0,1,left,K. Towns 3PT  (3 PTS) (D. Russell 1 AST),"[1626157, 1626156]",1610612750.0,MIN,,,,,,,Left Corner 3,24+ Left,23.07,Made,3.0,Towns,K. Towns,D. Russell,1626156.0,1.0,,,,,,,,,,,,,,
11,PT11M14.00S,2022-11-22T01:12:01.5Z,1,REGULAR,3pt,Jump Shot,[],1629622,68.80749014454665,66.42156862745098,1610612748,3,2,2022-11-22T01:12:27Z,110000,False,82.0,241.0,1,right,MISS M. Strus 25' 3PT,[1629622],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Right Center,25.43,Missed,,Strus,M. Strus,,,,,,,,,,,,,,,,,
12,PT11M12.00S,2022-11-22T01:12:03.5Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612750,3,2,2022-11-22T01:12:06Z,120000,False,,,0,,D. Russell REBOUND (Off:0 Def:1),[1626156],1610612750.0,MIN,,,,,,,Above the Break 3,24+ Right Center,,,,Russell,D. Russell,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M03.00S,2022-11-22T01:12:12.7Z,1,REGULAR,turnover,bad pass,[],1626157,,,1610612750,3,2,2022-11-22T01:12:17Z,130000,False,,,0,,K. Towns bad pass TURNOVER (1 TO),"[1626157, 200768]",1610612750.0,MIN,,,,,,,Mid-Range,16-24 Right Center,,,,Towns,K. Towns,,,,,,,,1.0,Lowry,200768.0,,,,,,,
14,PT11M03.00S,2022-11-22T01:12:12.7Z,1,REGULAR,steal,,[],200768,,,1610612748,3,2,2022-11-22T01:12:15Z,140000,False,,,0,,K. Lowry STEAL (1 STL),[200768],1610612748.0,MIA,,,,,,,Mid-Range,16-24 Right Center,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,
15,PT10M57.00S,2022-11-22T01:12:18.0Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628389,95.0886990801577,50.245098039215684,1610612748,3,4,2022-11-22T01:13:12Z,150000,False,1.0,-6.0,1,right,B. Adebayo running alley-oop DUNK (4 PTS) (C. Martin 2 AST),"[1628389, 1628997]",1610612748.0,MIA,running alley-oop,,,,,,Restricted Area,0-8 Center,0.64,Made,4.0,Adebayo,B. Adebayo,C. Martin,1628997.0,2.0,,,,,,,,,,,,,,
17,PT10M44.00S,2022-11-22T01:12:33.5Z,1,REGULAR,turnover,traveling,[],1630183,,,1610612750,3,4,2022-11-22T01:12:38Z,170000,False,,,0,,J. McDaniels traveling TURNOVER (1 TO),[1630183],1610612750.0,MIN,,,,,,,Above the Break 3,24+ Right Center,,,,McDaniels,J. McDaniels,,,,,,,,1.0,,,202007.0,,,,,,
