actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-02-04T01:10:51.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-04T01:10:51Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M46.00S,2023-02-04T01:11:04.4Z,1,REGULAR,jumpball,recovered,[],1628365,,,1610612753,0,0,2023-02-04T01:11:04Z,40000,False,,,0,,Jump Ball M. Bamba vs. R. Gobert: Tip to M. Fultz,"[1628365, 1628964, 203497]",1610612753.0,ORL,startperiod,M. Fultz,1628365.0,Fultz,M. Fultz,Bamba,1628964.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-02-04T01:11:06.5Z,1,REGULAR,3pt,Jump Shot,[],1628964,68.54467805519053,32.59803921568628,1610612753,0,0,2023-02-04T01:11:16Z,70000,False,-87.0,243.0,1,right,MISS M. Bamba 25' 3PT,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,Above the Break 3,24+ Left Center,25.83,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2023-02-04T01:11:09.5Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,0,0,2023-02-04T01:11:16Z,80000,False,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M27.00S,2023-02-04T01:11:24.2Z,1,REGULAR,2pt,Jump Shot,[],1630162,11.383048620236531,69.6078431372549,1610612750,0,0,2023-02-04T01:11:57Z,90000,False,-98.0,55.0,1,left,MISS A. Edwards 11' step back Shot,[1630162],1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,Mid-Range,8-16 Left,11.21,Missed,,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2023-02-04T01:11:25.2Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,0,0,2023-02-04T01:12:55Z,100000,False,,,0,,R. Gobert REBOUND (Off:1 Def:0),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Mid-Range,8-16 Left,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M26.00S,2023-02-04T01:11:29.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203497,5.590000152587891,50.0,1610612750,0,0,2023-02-04T01:14:02Z,110000,False,0.0,0.0,1,left,MISS R. Gobert tip Layup,[203497],1610612750.0,MIN,tip,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
12,PT11M25.00S,2023-02-04T01:11:30.6Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,0,0,2023-02-04T01:14:02Z,120000,False,,,0,,R. Gobert REBOUND (Off:2 Def:0),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,11.0,2.0,0.0,2.0,,,,,,,,,,,,,,
13,PT11M25.00S,2023-02-04T01:11:32.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203497,5.590000152587891,50.0,1610612750,2,0,2023-02-04T01:14:10Z,130000,False,0.0,0.0,1,left,R. Gobert putback Layup (2 PTS),[203497],1610612750.0,MIN,putback,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,2.0,,,,,,,,,,,,,
15,PT11M12.00S,2023-02-04T01:11:54.3Z,1,REGULAR,turnover,offensive goaltending,[],1628964,,,1610612753,2,0,2023-02-04T01:12:13Z,150000,False,,,0,,M. Bamba offensive goaltending TURNOVER (1 TO),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,202037.0,1.0,,,,,,,,,,,
16,PT10M58.00S,2023-02-04T01:12:10.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626156,6.783837056504599,5.147058823529411,1610612750,2,0,2023-02-04T01:12:17Z,160000,False,224.0,11.0,1,left,MISS D. Russell 3PT,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,Right Corner 3,24+ Right,22.46,Missed,,,,,,,,,,,,,,,,,,
17,PT10M54.00S,2023-02-04T01:12:13.7Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,2,0,2023-02-04T01:12:13Z,170000,False,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Right Corner 3,24+ Right,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M49.00S,2023-02-04T01:12:22.0Z,1,REGULAR,turnover,traveling,[],1630532,,,1610612753,2,0,2023-02-04T01:12:30Z,180000,False,,,0,,F. Wagner traveling TURNOVER (1 TO),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Left Center,,,,,,,,203591.0,1.0,,,,,,,,,,,
19,PT10M37.00S,2023-02-04T01:12:40.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203497,6.915243101182654,50.0,1610612750,4,0,2023-02-04T01:12:48Z,190000,False,0.0,13.0,1,left,R. Gobert alley-oop DUNK (4 PTS) (D. Russell 1 AST),"[203497, 1626156]",1610612750.0,MIN,alley-oop,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,1.25,Made,,,,,4.0,,,D. Russell,1626156.0,1.0,,,,,,,,
21,PT10M21.00S,2023-02-04T01:12:56.5Z,1,REGULAR,turnover,bad pass,[],1628365,,,1610612753,4,0,2023-02-04T01:13:02Z,210000,False,,,0,,M. Fultz bad pass TURNOVER (1 TO),"[1628365, 203497]",1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1.0,,,,Gobert,203497.0,,,,,,
22,PT10M21.00S,2023-02-04T01:12:56.5Z,1,REGULAR,steal,,[],203497,,,1610612750,4,0,2023-02-04T01:12:59Z,220000,False,,,0,,R. Gobert STEAL (1 STL),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
23,PT10M08.00S,2023-02-04T01:13:09.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630162,8.492115637319317,78.18627450980392,1610612750,4,0,2023-02-04T01:13:14Z,230000,False,-141.0,27.0,1,left,MISS A. Edwards 14' step back Shot,[1630162],1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,Mid-Range,8-16 Left,14.35,Missed,,,,,,,,,,,,,,,,,,
24,PT10M05.00S,2023-02-04T01:13:12.3Z,1,REGULAR,rebound,defensive,[],203914,,,1610612753,4,0,2023-02-04T01:13:14Z,240000,False,,,0,,G. Harris REBOUND (Off:0 Def:1),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,Mid-Range,8-16 Left,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT10M00.00S,2023-02-04T01:13:17.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,92.19776609724047,48.77450980392157,1610612753,4,0,2023-02-04T01:13:29Z,250000,False,-6.0,21.0,1,right,MISS P. Banchero Layup - blocked,"[1631094, 1630183]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,2.17,Missed,,,,,,,,,,,,,McDaniels,1630183.0,,,,
26,PT10M00.00S,2023-02-04T01:13:17.0Z,1,REGULAR,block,,[],1630183,,,1610612753,4,0,2023-02-04T01:13:24Z,260000,False,,,0,,J. McDaniels BLOCK (1 BLK),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
27,PT09M59.00S,2023-02-04T01:13:18.0Z,1,REGULAR,rebound,offensive,[],1631094,,,1610612753,4,0,2023-02-04T01:14:09Z,270000,False,,,0,,P. Banchero REBOUND (Off:1 Def:0),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
28,PT09M58.00S,2023-02-04T01:13:26.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1631094,94.40999984741211,50.0,1610612753,4,2,2023-02-04T01:13:59Z,280000,False,0.0,0.0,1,right,P. Banchero putback Layup (2 PTS),[1631094],1610612753.0,ORL,putback,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,2.0,,,,,,,,,,,,,
29,PT09M54.00S,2023-02-04T01:13:31.1Z,1,REGULAR,foul,personal,['2freethrow'],203914,,,1610612750,4,2,2023-02-04T01:13:38Z,290000,False,,,0,,G. Harris shooting personal FOUL (1 PF) (Edwards 2 FT),"[203914, 1630162]",1610612753.0,ORL,shooting,,,Harris,G. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,202037.0,,,,,,,,,1.0,0.0,Edwards,1630162.0
31,PT09M54.00S,2023-02-04T01:13:50.2Z,1,REGULAR,freethrow,1 of 2,[],1630162,,,1610612750,5,2,2023-02-04T01:13:50Z,310000,False,,,0,,A. Edwards Free Throw 1 of 2 (1 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
32,PT09M54.00S,2023-02-04T01:14:01.4Z,1,REGULAR,freethrow,2 of 2,[],1630162,,,1610612750,6,2,2023-02-04T01:14:01Z,320000,False,,,0,,A. Edwards Free Throw 2 of 2 (2 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
33,PT09M33.00S,2023-02-04T01:14:26.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,88.91261498028909,52.69607843137255,1610612753,6,2,2023-02-04T01:18:08Z,330000,False,13.0,52.0,1,right,MISS P. Banchero driving finger roll Layup,[1631094],1610612753.0,ORL,driving finger roll,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,5.34,Missed,,,,,,,,,,,,,,,,,,
34,PT09M32.00S,2023-02-04T01:14:27.9Z,1,REGULAR,rebound,offensive,[],1631094,,,1610612753,6,2,2023-02-04T01:18:08Z,340000,False,,,0,,P. Banchero REBOUND (Off:2 Def:0),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,,33.0,2.0,0.0,2.0,,,,,,,,,,,,,,
35,PT09M30.00S,2023-02-04T01:14:30.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631094,91.80354796320631,50.73529411764706,1610612753,6,2,2023-02-04T01:18:42Z,350000,False,4.0,25.0,1,right,MISS P. Banchero Layup - blocked,"[1631094, 203937]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,2.48,Missed,,,,,,,,,,,,,Anderson,203937.0,,,,
36,PT09M30.00S,2023-02-04T01:14:30.5Z,1,REGULAR,block,,[],203937,,,1610612753,6,2,2023-02-04T01:14:33Z,360000,False,,,0,,K. Anderson BLOCK (1 BLK),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
37,PT09M29.00S,2023-02-04T01:14:31.5Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612750,6,2,2023-02-04T01:18:42Z,370000,False,,,0,,D. Russell REBOUND (Off:0 Def:1),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,,,
38,PT09M23.00S,2023-02-04T01:14:34.4Z,1,REGULAR,turnover,bad pass,[],1626156,,,1610612750,6,2,2023-02-04T01:14:45Z,380000,False,,,0,,D. Russell bad pass TURNOVER (1 TO),"[1626156, 1631094]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,1.0,,,,Banchero,1631094.0,,,,,,
39,PT09M23.00S,2023-02-04T01:14:34.4Z,1,REGULAR,steal,,[],1631094,,,1610612753,6,2,2023-02-04T01:14:37Z,390000,False,,,0,,P. Banchero STEAL (1 STL),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
40,PT09M20.00S,2023-02-04T01:14:41.1Z,1,REGULAR,foul,offensive,[],1631094,,,1610612753,6,2,2023-02-04T01:14:51Z,400000,False,,,0,,P. Banchero charge offensive FOUL (1 PF),"[1631094, 203937]",1610612753.0,ORL,charge,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,203591.0,,,,,,,,,1.0,0.0,Anderson,203937.0
