actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-10-20T00:13:39.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-20T00:13:39Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-10-20T00:13:40.9Z,1,REGULAR,jumpball,recovered,[],1626156,,,1610612750,0,0,2022-10-20T00:13:41Z,40000,,,0,,Jump Ball K. Towns vs. A. Pokusevski: Tip to D. Russell,"[1626156, 1626157, 1630197]",1610612750.0,MIN,startperiod,D. Russell,1626156.0,Russell,D. Russell,Towns,1626157.0,Pokusevski,1630197.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-10-20T00:13:56.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,9.411957950065702,47.30392156862745,1610612750,0,0,2022-10-20T00:14:03Z,70000,13.0,36.0,1,left,MISS R. Gobert Layup - blocked,"[203497, 1630197]",1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,3.84,Missed,Pokusevski,1630197.0,,,,,,,,,,,,,,,,
8,PT11M43.00S,2022-10-20T00:13:56.2Z,1,REGULAR,block,,[],1630197,,,1610612750,0,0,2022-10-20T00:13:58Z,80000,,,0,,A. Pokusevski BLOCK (1 BLK),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2022-10-20T00:13:59.2Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,0,0,2022-10-20T00:14:03Z,90000,,,0,,R. Gobert REBOUND (Off:1 Def:0),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,
10,PT11M38.00S,2022-10-20T00:13:59.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203497,5.995400788436268,50.0,1610612750,2,0,2022-10-20T00:14:09Z,100000,0.0,4.0,1,left,R. Gobert putback Layup (2 PTS),[203497],1610612750.0,MIN,putback,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,0.39,Made,,,,,,,2.0,,,,,,,,,,,
11,PT11M21.00S,2022-10-20T00:14:17.1Z,1,REGULAR,2pt,Jump Shot,[],1628983,92.9862023653088,22.058823529411764,1610612760,2,0,2022-10-20T00:14:24Z,110000,-140.0,13.0,1,right,MISS S. Gilgeous-Alexander 14' step back Shot,[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Left,14.03,Missed,,,,,,,,,,,,,,,,,,
12,PT11M18.00S,2022-10-20T00:14:20.1Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,2,0,2022-10-20T00:14:24Z,120000,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Mid-Range,8-16 Left,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,
13,PT11M14.00S,2022-10-20T00:14:24.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630183,9.017739816031538,97.30392156862744,1610612750,2,0,2022-10-20T00:15:55Z,130000,-237.0,32.0,1,left,MISS J. McDaniels running 3PT,[1630183],1610612750.0,MIN,running,,,McDaniels,J. McDaniels,,,,,Left Corner 3,24+ Left,23.87,Missed,,,,,,,,,,,,,,,,,,
14,PT11M11.00S,2022-10-20T00:14:27.4Z,1,REGULAR,rebound,defensive,[],1629026,,,1610612760,2,0,2022-10-20T00:14:31Z,140000,,,0,,K. Williams REBOUND (Off:0 Def:1),[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,Left Corner 3,24+ Left,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,
