actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-10-29T00:10:56.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-29T00:10:56Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-10-29T00:10:59.1Z,1,REGULAR,jumpball,recovered,[],1626157,,,1610612750,0,0,2022-10-29T00:10:59Z,40000,,,0,,Jump Ball R. Gobert vs. D. Jones: Tip to K. Towns,"[1626157, 203497, 1627745]",1610612750.0,MIN,startperiod,K. Towns,1626157.0,Towns,K. Towns,Gobert,203497.0,Jones,1627745.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-10-29T00:11:11.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,93.64323258869908,49.26470588235294,1610612750,2,0,2022-10-29T00:11:20Z,70000,-4.0,7.0,1,right,R. Gobert reverse Layup (2 PTS) (K. Towns 1 AST),"[203497, 1626157]",1610612750.0,MIN,reverse,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,0.82,Made,2.0,K. Towns,1626157.0,1.0,,,,,,,,,,,,,,
9,PT11M22.00S,2022-10-29T00:11:34.7Z,1,REGULAR,3pt,Jump Shot,[],2544,26.231931668856767,82.1078431372549,1610612747,2,3,2022-10-29T00:11:39Z,90000,-161.0,194.0,1,left,L. James 25' 3PT  (3 PTS) (L. Walker IV 1 AST),"[2544, 1629022]",1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Left Center,25.19,Made,3.0,L. Walker IV,1629022.0,1.0,,,,,,,,,,,,,,
11,PT11M03.00S,2022-10-29T00:11:52.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626156,92.85479632063075,46.32352941176471,1610612750,2,3,2022-10-29T00:11:58Z,110000,-18.0,15.0,1,right,MISS D. Russell cutting Layup - blocked,"[1626156, 1627745]",1610612750.0,MIN,cutting,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,2.36,Missed,,,,,Jones,1627745.0,,,,,,,,,,,,
12,PT11M03.00S,2022-10-29T00:11:52.9Z,1,REGULAR,block,,[],1627745,,,1610612750,2,3,2022-10-29T00:11:55Z,120000,,,0,,D. Jones BLOCK (1 BLK),[1627745],1610612747.0,LAL,,,,Jones,D. Jones,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M01.00S,2022-10-29T00:11:54.9Z,1,REGULAR,rebound,defensive,[],201976,,,1610612747,2,3,2022-10-29T00:11:58Z,130000,,,0,,P. Beverley REBOUND (Off:0 Def:1),[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,Restricted Area,0-8 Center,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
14,PT10M59.00S,2022-10-29T00:11:59.4Z,1,REGULAR,foul,personal,['2freethrow'],1630183,,,1610612747,2,3,2022-10-29T00:12:10Z,140000,,,0,,J. McDaniels shooting personal FOUL (1 PF) (James 2 FT),"[1630183, 2544]",1610612750.0,MIN,shooting,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1627524.0,1.0,0.0,James,2544.0,,,
16,PT10M59.00S,2022-10-29T00:12:26.3Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],2544,,,1610612747,2,4,2022-10-29T00:12:26Z,160000,,,0,,L. James Free Throw 1 of 2 (4 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
17,PT10M59.00S,2022-10-29T00:12:42.0Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],2544,,,1610612747,2,5,2022-10-29T00:12:42Z,170000,,,0,,L. James Free Throw 2 of 2 (5 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
