actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-22T00:12:02.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-22T00:12:02Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-10-22T00:12:04.8Z,1,REGULAR,jumpball,recovered,[],203497,,,1610612750,0,0,2022-10-22T00:12:04Z,40000,False,,,0,,Jump Ball K. Towns vs. K. Olynyk: Tip to R. Gobert,"[203497, 1626157, 203482]",1610612750.0,MIN,startperiod,R. Gobert,203497.0,Gobert,R. Gobert,Towns,1626157.0,Olynyk,203482.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-10-22T00:12:17.4Z,1,REGULAR,2pt,Jump Shot,[],1626156,83.13074901445466,30.392156862745097,1610612750,2,0,2022-10-22T00:12:35Z,70000,False,-98.0,106.0,1,right,D. Russell 14' Jump Shot (2 PTS),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,Mid-Range,8-16 Left,14.44,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2022-10-22T00:12:34.5Z,1,REGULAR,foul,offensive,[],1629020,,,1610612762,2,0,2022-10-22T00:12:45Z,80000,False,,,0,,J. Vanderbilt offensive FOUL (1 PF),"[1629020, 1626156]",1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Mid-Range,16-24 Left Center,,,,1155.0,1.0,0.0,Russell,1626156.0,,,,,,,,,,,,
10,PT11M30.00S,2022-10-22T00:12:34.5Z,1,REGULAR,turnover,offensive foul,[],1629020,,,1610612762,2,0,2022-10-22T00:12:34Z,100000,False,,,0,,J. Vanderbilt offensive foul TURNOVER (1 TO),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Mid-Range,16-24 Left Center,,,,1155.0,,,,,1.0,,,,,,,,,,,
11,PT11M25.00S,2022-10-22T00:12:50.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1626157,76.5604467805519,13.480392156862745,1610612750,5,0,2022-10-22T00:13:01Z,110000,False,-183.0,168.0,1,right,K. Towns 24' 3PT  (3 PTS) (D. Russell 1 AST),"[1626157, 1626156]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Left Center,24.8,Made,3.0,,,,,,,D. Russell,1626156.0,1.0,,,,,,,,
13,PT11M12.00S,2022-10-22T00:13:04.5Z,1,REGULAR,turnover,out-of-bounds,[],203482,,,1610612762,5,0,2022-10-22T00:13:15Z,130000,False,,,0,,K. Olynyk bad pass out-of-bounds TURNOVER (1 TO),[203482],1610612762.0,UTA,bad pass,,,Olynyk,K. Olynyk,,,,,Above the Break 3,24+ Center,,,,1155.0,,,,,1.0,,,,,,,,,,,
14,PT10M59.00S,2022-10-22T00:13:22.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1626157,88.91261498028909,28.921568627450984,1610612750,5,0,2022-10-22T00:13:32Z,140000,False,-105.0,52.0,1,right,MISS K. Towns 11' floating Shot,[1626157],1610612750.0,MIN,floating,,,Towns,K. Towns,,,,,Mid-Range,8-16 Left,11.74,Missed,,,,,,,,,,,,,,,,,,
15,PT10M56.00S,2022-10-22T00:13:25.9Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612762,5,0,2022-10-22T00:13:32Z,150000,False,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,
16,PT10M51.00S,2022-10-22T00:13:30.7Z,1,REGULAR,3pt,Jump Shot,[],203903,29.25427069645204,24.754901960784316,1610612762,5,0,2022-10-22T00:13:39Z,160000,False,126.0,222.0,1,left,MISS J. Clarkson 25' 3PT,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Right Center,25.58,Missed,,,,,,,,,,,,,,,,,,
17,PT10M48.00S,2022-10-22T00:13:34.4Z,1,REGULAR,rebound,offensive,[],201144,,,1610612762,5,0,2022-10-22T00:13:34Z,170000,False,,,0,,M. Conley REBOUND (Off:1 Def:0),[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,16.0,1.0,0.0,1.0,,,,
18,PT10M45.00S,2022-10-22T00:13:37.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203903,28.33442838370565,23.52941176470588,1610612762,5,3,2022-10-22T00:13:43Z,180000,False,132.0,214.0,1,left,J. Clarkson 25' 3PT  (3 PTS) (L. Markkanen 1 AST),"[203903, 1628374]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Right Center,25.15,Made,3.0,,,,,,,L. Markkanen,1628374.0,1.0,,,,,,,,
20,PT10M35.00S,2022-10-22T00:13:48.3Z,1,REGULAR,foul,personal,['2freethrow'],203903,,,1610612750,5,3,2022-10-22T00:19:33Z,200000,False,,,0,,J. Clarkson shooting personal FOUL (1 PF) (Russell 2 FT),"[203903, 1626156]",1610612762.0,UTA,shooting,,,Clarkson,J. Clarkson,,,,,In The Paint (Non-RA),8-16 Center,,,,1629183.0,1.0,0.0,Russell,1626156.0,,,,,,,,,,,,
22,PT10M35.00S,2022-10-22T00:14:12.6Z,1,REGULAR,freethrow,1 of 2,[],1626156,,,1610612750,6,3,2022-10-22T00:14:12Z,220000,False,,,0,,D. Russell Free Throw 1 of 2 (3 PTS),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
23,PT10M35.00S,2022-10-22T00:14:32.8Z,1,REGULAR,freethrow,2 of 2,[],1626156,,,1610612750,7,3,2022-10-22T00:14:32Z,230000,False,,,0,,D. Russell Free Throw 2 of 2 (4 PTS),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
24,PT10M19.00S,2022-10-22T00:14:49.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203482,8.229303547963205,47.30392156862745,1610612762,7,3,2022-10-22T00:14:55Z,240000,False,13.0,25.0,1,left,MISS K. Olynyk driving Layup,[203482],1610612762.0,UTA,driving,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,2.83,Missed,,,,,,,,,,,,,,,,,,
25,PT10M17.00S,2022-10-22T00:14:51.9Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,7,3,2022-10-22T00:14:55Z,250000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,
26,PT10M14.00S,2022-10-22T00:14:54.6Z,1,REGULAR,turnover,lost ball,[],1630162,,,1610612750,7,3,2022-10-22T00:15:00Z,260000,False,,,0,,A. Edwards lost ball TURNOVER (1 TO),"[1630162, 1629020]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,1.0,,,,,,,,Vanderbilt,1629020.0,,
27,PT10M14.00S,2022-10-22T00:14:54.6Z,1,REGULAR,steal,,[],1629020,,,1610612762,7,3,2022-10-22T00:15:33Z,270000,False,,,0,,J. Vanderbilt STEAL (1 STL),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
28,PT10M08.00S,2022-10-22T00:15:01.6Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1628374,13.403416557161629,4.189644607843137,1610612762,7,3,2022-10-22T00:15:17Z,280000,False,229.0,73.0,1,left,MISS L. Markkanen 24' 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Right Corner 3,24+ Right,24.06,Missed,,,,,,,,,,,,,,,,,,
29,PT10M05.00S,2022-10-22T00:15:04.6Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,7,3,2022-10-22T00:15:17Z,290000,False,,,0,,R. Gobert REBOUND (Off:0 Def:2),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,28.0,2.0,2.0,0.0,,,,
31,PT09M42.00S,2022-10-22T00:15:39.1Z,1,REGULAR,3pt,Jump Shot,[],1630162,85.75886990801577,95.34313725490196,1610612750,10,3,2022-10-22T00:15:49Z,310000,False,227.0,81.0,1,right,A. Edwards 24' 3PT step back (3 PTS) (D. Russell 2 AST),"[1630162, 1626156]",1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,Right Corner 3,24+ Right,24.09,Made,3.0,,,,,,,D. Russell,1626156.0,2.0,,,,,,,,
33,PT09M25.00S,2022-10-22T00:15:55.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203482,6.652431011826544,50.98039215686274,1610612762,10,3,2022-10-22T00:16:01Z,330000,False,-5.0,10.0,1,left,MISS K. Olynyk driving Layup - blocked,"[203482, 203497]",1610612762.0,UTA,driving,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,1.11,Missed,,,,,,,,,,,,,,,,,Gobert,203497.0
34,PT09M25.00S,2022-10-22T00:15:55.9Z,1,REGULAR,block,,[],203497,,,1610612762,10,3,2022-10-22T00:15:58Z,340000,False,,,0,,R. Gobert BLOCK (1 BLK),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
35,PT09M22.00S,2022-10-22T00:15:58.9Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,10,3,2022-10-22T00:16:01Z,350000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,33.0,1.0,1.0,0.0,,,,
36,PT09M22.00S,2022-10-22T00:16:01.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630183,93.11760840998686,50.98039215686274,1610612750,12,3,2022-10-22T00:16:21Z,360000,False,5.0,12.0,1,right,J. McDaniels running Layup (2 PTS),[1630183],1610612750.0,MIN,running,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,1.31,Made,2.0,,,,,,,,,,,,,,,,,
