actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-12-04T01:10:57.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-04T01:10:57Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-12-04T01:10:59.8Z,1,REGULAR,jumpball,recovered,[],1631111,,,1610612750,0,0,2022-12-04T01:10:59Z,40000,False,,,0,,Jump Ball R. Gobert vs. A. Pokusevski: Tip to W. Moore Jr.,"[1631111, 203497, 1630197]",1610612750.0,MIN,startperiod,W. Moore Jr.,1631111.0,Moore Jr.,W. Moore Jr.,Gobert,203497.0,Pokusevski,1630197.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2022-12-04T01:11:10.0Z,1,REGULAR,turnover,out-of-bounds,[],1626156,,,1610612750,0,0,2022-12-04T01:36:45Z,70000,False,,,0,,D. Russell bad pass out-of-bounds TURNOVER (1 TO),[1626156],1610612750.0,MIN,bad pass,,,Russell,D. Russell,,,,,In The Paint (Non-RA),0-8 Center,1198.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2022-12-04T01:11:32.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630197,96.71484888304862,97.08180147058823,1610612760,0,0,2022-12-04T01:11:41Z,80000,False,235.0,-22.0,1,right,MISS A. Pokusevski 3PT,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,Right Corner 3,24+ Right,,,23.64,Missed,,,,,,,,,,,,,,,,
9,PT11M30.00S,2022-12-04T01:11:36.3Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,0,0,2022-12-04T01:11:41Z,90000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Right Corner 3,24+ Right,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M21.00S,2022-12-04T01:11:44.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630162,14.4053876478318,55.63725490196079,1610612750,0,0,2022-12-04T01:11:49Z,100000,False,-28.0,83.0,1,left,MISS A. Edwards 8' driving floating Shot,[1630162],1610612750.0,MIN,driving floating,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Center,,,8.76,Missed,,,,,,,,,,,,,,,,
11,PT11M19.00S,2022-12-04T01:11:46.5Z,1,REGULAR,rebound,defensive,[],1630197,,,1610612760,0,0,2022-12-04T01:11:49Z,110000,False,,,0,,A. Pokusevski REBOUND (Off:0 Def:1),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,In The Paint (Non-RA),8-16 Center,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
12,PT11M14.00S,2022-12-04T01:11:51.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629652,86.28449408672799,4.166666666666666,1610612760,0,3,2022-12-04T01:13:41Z,120000,False,-229.0,76.0,1,right,L. Dort 24' 3PT running (3 PTS) (S. Gilgeous-Alexander 1 AST),"[1629652, 1628983]",1610612760.0,OKC,running,,,Dort,L. Dort,,,,,Left Corner 3,24+ Left,,,24.16,Made,,,,,3.0,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,,
14,PT11M04.00S,2022-12-04T01:12:02.2Z,1,REGULAR,2pt,Jump Shot,[],1626156,21.76412614980289,58.57843137254902,1610612750,0,3,2022-12-04T01:12:06Z,140000,False,-43.0,152.0,1,left,MISS D. Russell 15' pullup Shot,[1626156],1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,Mid-Range,8-16 Center,,,15.8,Missed,,,,,,,,,,,,,,,,
15,PT11M01.00S,2022-12-04T01:12:05.2Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,0,3,2022-12-04T01:12:06Z,150000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Mid-Range,8-16 Center,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,
16,PT10M55.00S,2022-12-04T01:12:11.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630526,93.9060446780552,49.50980392156863,1610612760,0,5,2022-12-04T01:12:15Z,160000,False,-2.0,5.0,1,right,J. Robinson-Earl cutting Layup (2 PTS) (J. Giddey 1 AST),"[1630526, 1630581]",1610612760.0,OKC,cutting,,,Robinson-Earl,J. Robinson-Earl,,,,,Restricted Area,0-8 Center,,,0.54,Made,,,,,2.0,J. Giddey,1630581.0,1.0,,,,,,,,
18,PT10M31.00S,2022-12-04T01:12:35.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631111,7.046649145860711,48.77450980392157,1610612750,2,5,2022-12-04T01:14:54Z,180000,False,6.0,14.0,1,left,W. Moore Jr. cutting Layup (2 PTS) (A. Edwards 1 AST),"[1631111, 1630162]",1610612750.0,MIN,cutting,,,Moore Jr.,W. Moore Jr.,,,,,Restricted Area,0-8 Center,,,1.5,Made,,,,,2.0,A. Edwards,1630162.0,1.0,,,,,,,,
20,PT10M15.00S,2022-12-04T01:12:50.6Z,1,REGULAR,3pt,Jump Shot,[],1630526,96.00854139290408,4.6568627450980395,1610612760,2,5,2022-12-04T01:12:56Z,200000,False,-227.0,-15.0,1,right,MISS J. Robinson-Earl 3PT,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,Left Corner 3,24+ Left,,,22.72,Missed,,,,,,,,,,,,,,,,
21,PT10M12.00S,2022-12-04T01:12:53.6Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612750,2,5,2022-12-04T01:12:56Z,210000,False,,,0,,D. Russell REBOUND (Off:0 Def:1),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,Left Corner 3,24+ Left,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,
