actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-02-02T01:12:40.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-02T01:12:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-02-02T01:12:42.0Z,1,REGULAR,jumpball,recovered,[],201939,,,1610612744,0,0,2023-02-02T01:12:42Z,40000,False,,,0,,Jump Ball A. Wiggins vs. N. Reid: Tip to S. Curry,"[201939, 203952, 1629675]",1610612744.0,GSW,startperiod,S. Curry,201939.0,Curry,S. Curry,Wiggins,203952.0,Reid,1629675.0,,,,,,,,,,,,,,,,,,,,,,
9,PT11M46.00S,2023-02-02T01:13:28.8Z,1,REGULAR,2pt,Jump Shot,[],202691,86.41590013140605,8.57843137254902,1610612744,0,0,2023-02-02T01:13:46Z,90000,False,-207.0,75.0,1,right,MISS K. Thompson 22' Jump Shot,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Mid-Range,16-24 Left,22.03,Missed,,,,,,,,,,,,,,,,,,
10,PT11M45.00S,2023-02-02T01:13:29.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,0,0,2023-02-02T01:13:46Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,Mid-Range,16-24 Left,,,9.0,,,,,,,,,,,,,,,,,
12,PT11M33.00S,2023-02-02T01:13:56.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203110,94.82588699080158,29.411764705882355,1610612744,0,2,2023-02-02T01:15:17Z,120000,False,-103.0,-4.0,1,right,D. Green 10' floating Jump Shot (2 PTS) (A. Wiggins 1 AST),"[203110, 203952]",1610612744.0,GSW,floating,,,Green,D. Green,,,,,Mid-Range,8-16 Left,10.3,Made,,2.0,A. Wiggins,203952.0,1.0,,,,,,,,,,,,,
14,PT11M16.00S,2023-02-02T01:14:13.2Z,1,REGULAR,3pt,Jump Shot,[],1629675,31.61957950065703,60.29411764705882,1610612750,0,2,2023-02-02T01:14:17Z,140000,False,-51.0,245.0,1,left,MISS N. Reid 25' 3PT,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Above the Break 3,24+ Center,25.01,Missed,,,,,,,,,,,,,,,,,,
15,PT11M15.00S,2023-02-02T01:14:14.2Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,0,2,2023-02-02T01:14:17Z,150000,False,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Center,,,14.0,,,,,1.0,1.0,0.0,,,,,,,,,,
16,PT11M06.00S,2023-02-02T01:14:26.3Z,1,REGULAR,foul,personal,['2freethrow'],1626156,,,1610612744,0,2,2023-02-02T01:14:32Z,160000,False,,,0,,D. Russell shooting personal FOUL (1 PF) (Thompson 2 FT),"[1626156, 202691]",1610612750.0,MIN,shooting,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,,,,,,,,,,,204058.0,1.0,0.0,Thompson,202691.0,,,,,
18,PT11M06.00S,2023-02-02T01:14:51.6Z,1,REGULAR,freethrow,1 of 2,[],202691,,,1610612744,0,3,2023-02-02T01:14:51Z,180000,False,,,0,,K. Thompson Free Throw 1 of 2 (1 PTS),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,Made,,1.0,,,,,,,,,,,,,,,,
19,PT11M06.00S,2023-02-02T01:15:08.5Z,1,REGULAR,freethrow,2 of 2,[],202691,,,1610612744,0,4,2023-02-02T01:15:08Z,190000,False,,,0,,K. Thompson Free Throw 2 of 2 (2 PTS),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,Made,,2.0,,,,,,,,,,,,,,,,
