actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-05T02:15:43.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-05T02:15:43Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-11-05T02:15:46.4Z,1,REGULAR,jumpball,recovered,[],1630183,,,1610612750,0,0,2022-11-05T02:15:46Z,40000,,,0,,Jump Ball R. Gobert vs. B. Lopez: Tip to J. McDaniels,"[1630183, 203497, 201572]",1610612750.0,MIN,startperiod,J. McDaniels,1630183.0,McDaniels,J. McDaniels,Gobert,203497.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-11-05T02:16:02.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626156,82.07950065703022,58.333333333333336,1610612750,0,0,2022-11-05T02:16:05Z,70000,42.0,116.0,1,right,MISS D. Russell 12' pullup Shot - blocked,"[1626156, 1628975]",1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,In The Paint (Non-RA),8-16 Center,12.33,Missed,Carter,1628975.0,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-11-05T02:16:02.2Z,1,REGULAR,block,,[],1628975,,,1610612750,0,0,2022-11-05T02:16:04Z,80000,,,0,,J. Carter BLOCK (1 BLK),[1628975],1610612749.0,MIL,,,,Carter,J. Carter,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2022-11-05T02:16:04.2Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,0,0,2022-11-05T02:16:05Z,90000,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),8-16 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M34.00S,2022-11-05T02:16:08.2Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],203507,24.129434954007884,37.254901960784316,1610612749,0,2,2022-11-05T02:16:12Z,100000,64.0,174.0,1,left,G. Antetokounmpo 18' pullup Jump Shot (2 PTS) (J. Carter 1 AST),"[203507, 1628975]",1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Right Center,18.56,Made,,,,,,,2.0,J. Carter,1628975.0,1.0,,,,,,,,
11,PT11M16.00S,2022-11-05T02:16:25.9Z,1,REGULAR,3pt,Jump Shot,[],1626156,71.96123521681997,77.20588235294117,1610612750,3,2,2022-11-05T02:16:30Z,110000,136.0,211.0,1,right,D. Russell 25' 3PT pullup (3 PTS),[1626156],1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,Above the Break 3,24+ Right Center,25.11,Made,,,,,,,3.0,,,,,,,,,,,
12,PT10M57.00S,2022-11-05T02:16:45.5Z,1,REGULAR,3pt,Jump Shot,[],1628975,7.30946123521682,1.9607843137254901,1610612749,3,5,2022-11-05T02:16:50Z,120000,240.0,16.0,1,left,J. Carter 24' 3PT  (3 PTS) (G. Allen 1 AST),"[1628975, 1628960]",1610612749.0,MIL,,,,Carter,J. Carter,,,,,Right Corner 3,24+ Right,24.07,Made,,,,,,,3.0,G. Allen,1628960.0,1.0,,,,,,,,
14,PT10M40.00S,2022-11-05T02:17:02.7Z,1,REGULAR,3pt,Jump Shot,[],1626156,69.72733245729303,26.715686274509803,1610612750,3,5,2022-11-05T02:17:08Z,140000,-116.0,232.0,1,right,MISS D. Russell 25' pullup 3PT,[1626156],1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,Above the Break 3,24+ Left Center,25.97,Missed,,,,,,,,,,,,,,,,,,
15,PT10M36.00S,2022-11-05T02:17:06.7Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,3,5,2022-11-05T02:17:08Z,150000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Left Center,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,
