actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-25T00:10:34.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-25T00:10:34Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-10-25T00:10:37.5Z,1,REGULAR,jumpball,recovered,[],1626156,,,1610612750,0,0,2022-10-25T00:10:37Z,40000,,,0,,Jump Ball R. Gobert vs. J. Poeltl: Tip to D. Russell,"[1626156, 203497, 1627751]",1610612750.0,MIN,startperiod,D. Russell,1626156.0,Russell,D. Russell,Gobert,203497.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-10-25T00:10:49.8Z,1,REGULAR,3pt,Jump Shot,[],1626156,29.25427069645204,26.225490196078432,1610612750,3,0,2022-10-25T00:10:55Z,70000,119.0,222.0,1,left,D. Russell 25' 3PT  (3 PTS) (R. Gobert 1 AST),"[1626156, 203497]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Right Center,25.23,Made,3.0,R. Gobert,203497.0,1.0,,,,,,,,,,,,,,
9,PT11M28.00S,2022-10-25T00:11:04.6Z,1,REGULAR,3pt,Jump Shot,[],1630200,76.16622864651774,14.705882352941178,1610612759,3,0,2022-10-25T00:11:09Z,90000,-176.0,172.0,1,right,MISS T. Jones 24' 3PT,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Left Center,24.61,Missed,,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2022-10-25T00:11:06.6Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,3,0,2022-10-25T00:11:09Z,100000,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M19.00S,2022-10-25T00:11:14.6Z,1,REGULAR,2pt,Jump Shot,[],1626156,8.09789750328515,17.401960784313726,1610612750,3,0,2022-10-25T00:11:19Z,110000,163.0,24.0,1,left,MISS D. Russell 16' step back Shot,[1626156],1610612750.0,MIN,step back,,,Russell,D. Russell,,,,,Mid-Range,16-24 Right,16.47,Missed,,,,,,,,,,,,,,,,,,
12,PT11M17.00S,2022-10-25T00:11:16.6Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,3,0,2022-10-25T00:11:19Z,120000,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Mid-Range,16-24 Right,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M04.00S,2022-10-25T00:11:29.4Z,1,REGULAR,3pt,Jump Shot,[],1630170,74.06373193166885,79.65686274509804,1610612759,3,0,2022-10-25T00:11:33Z,130000,148.0,191.0,1,right,MISS D. Vassell 24' 3PT,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Right Center,24.21,Missed,,,,,,,,,,,,,,,,,,
14,PT11M01.00S,2022-10-25T00:11:32.4Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,3,0,2022-10-25T00:11:33Z,140000,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Right Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M51.00S,2022-10-25T00:11:42.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,8.360709592641262,45.588235294117645,1610612750,3,0,2022-10-25T00:11:49Z,150000,22.0,26.0,1,left,MISS A. Edwards driving finger roll Layup,[1630162],1610612750.0,MIN,driving finger roll,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,3.42,Missed,,,,,,,,,,,,,,,,,,
