actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-01-28T00:41:37.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-28T00:41:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-01-28T00:41:40.5Z,1,REGULAR,jumpball,recovered,[],1628415,,,1610612763,0,0,2023-01-28T00:41:40Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. R. Gobert: Tip to D. Brooks,"[1628415, 1628991, 203497]",1610612763.0,MEM,startperiod,D. Brooks,1628415.0,Brooks,D. Brooks,Jackson Jr.,1628991.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2023-01-28T00:41:51.4Z,1,REGULAR,3pt,Jump Shot,[],1628415,31.488173455978973,63.725490196078425,1610612763,0,0,2023-01-28T00:41:58Z,70000,False,-69.0,243.0,1,left,MISS D. Brooks 25' 3PT,[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Center,25.3,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2023-01-28T00:41:53.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,0,0,2023-01-28T00:41:58Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Above the Break 3,24+ Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M25.00S,2023-01-28T00:42:20.4Z,1,REGULAR,3pt,Jump Shot,[],203937,69.46452036793693,30.88235294117647,1610612750,3,0,2023-01-28T00:42:25Z,100000,False,-96.0,235.0,1,right,K. Anderson 25' 3PT  (3 PTS) (J. McDaniels 1 AST),"[203937, 1630183]",1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Above the Break 3,24+ Left Center,25.32,Made,,3.0,J. McDaniels,1630183.0,1.0,,,,,,,,,,,,,
12,PT11M06.00S,2023-01-28T00:42:39.7Z,1,REGULAR,3pt,Jump Shot,[],1628415,21.23850197109067,8.823529411764707,1610612763,3,3,2023-01-28T00:42:44Z,120000,False,206.0,147.0,1,left,D. Brooks 25' 3PT  (3 PTS) (B. Clarke 1 AST),"[1628415, 1629634]",1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,25.3,Made,,3.0,B. Clarke,1629634.0,1.0,,,,,,,,,,,,,
14,PT10M51.00S,2023-01-28T00:42:55.0Z,1,REGULAR,3pt,Jump Shot,[],203937,68.28186596583443,56.61764705882353,1610612750,6,3,2023-01-28T00:43:00Z,140000,False,33.0,246.0,1,right,K. Anderson 24' 3PT  (6 PTS) (D. Russell 1 AST),"[203937, 1626156]",1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Above the Break 3,24+ Center,24.79,Made,,6.0,D. Russell,1626156.0,1.0,,,,,,,,,,,,,
16,PT10M37.00S,2023-01-28T00:43:08.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,6.389618922470433,49.26470588235294,1610612763,6,5,2023-01-28T00:43:16Z,160000,False,4.0,8.0,1,left,J. Jackson Jr. Layup (2 PTS) (B. Clarke 2 AST),"[1628991, 1629634]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,0.85,Made,,2.0,B. Clarke,1629634.0,2.0,,,,,,,,,,,,,
18,PT10M22.00S,2023-01-28T00:43:29.1Z,1,REGULAR,violation,kicked ball,[],1628991,,,1610612750,6,5,2023-01-28T00:43:35Z,180000,False,,,0,,J. Jackson Jr. kicked ball VIOLATION,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,1626300.0,,,,,,,,,,,,
19,PT10M13.00S,2023-01-28T00:43:46.2Z,1,REGULAR,3pt,Jump Shot,[],1626156,70.64717477003943,23.774509803921568,1610612750,6,5,2023-01-28T00:44:18Z,190000,False,-131.0,223.0,1,right,MISS D. Russell 25' pullup 3PT,[1626156],1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,Above the Break 3,24+ Left Center,25.9,Missed,,,,,,,,,,,,,,,,,,
