actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
3,PT12M00.00S,2023-01-01T01:10:35.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-01T01:10:35Z,30000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT12M00.00S,2023-01-01T01:10:39.6Z,1,REGULAR,violation,delay-of-game,['team'],0,,,0,0,0,2023-01-01T01:11:22Z,35000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612750.0,MIN,202035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PT11M52.00S,2023-01-01T01:10:43.5Z,1,REGULAR,jumpball,recovered,[],1626156,,,1610612750,0,0,2023-01-01T01:10:43Z,50000,False,,,0,,Jump Ball R. Gobert vs. J. Duren: Tip to D. Russell,"[1626156, 203497, 1631105]",1610612750.0,MIN,,startperiod,D. Russell,1626156.0,Russell,D. Russell,Gobert,203497.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,
8,PT11M48.00S,2023-01-01T01:10:49.5Z,1,REGULAR,foul,personal,['2freethrow'],1630191,,,1610612750,0,0,2023-01-01T01:10:59Z,80000,False,,,0,,I. Stewart shooting personal FOUL (1 PF) (McDaniels 2 FT),"[1630191, 1630183]",1610612765.0,DET,202035.0,shooting,,,Stewart,I. Stewart,,,,,Restricted Area,0-8 Center,1.0,0.0,McDaniels,1630183.0,,,,,,,,,,,,,,,
10,PT11M48.00S,2023-01-01T01:11:09.8Z,1,REGULAR,freethrow,1 of 2,[],1630183,,,1610612750,1,0,2023-01-01T01:11:09Z,100000,False,,,0,,J. McDaniels Free Throw 1 of 2 (1 PTS),[1630183],1610612750.0,MIN,,,,,McDaniels,J. McDaniels,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
12,PT11M48.00S,2023-01-01T01:11:22.5Z,1,REGULAR,freethrow,2 of 2,[],1630183,,,1610612750,2,0,2023-01-01T01:11:22Z,110000,False,,,0,,J. McDaniels Free Throw 2 of 2 (2 PTS),[1630183],1610612750.0,MIN,,,,,McDaniels,J. McDaniels,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
13,PT11M31.00S,2023-01-01T01:11:41.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202711,8.886333771353483,51.225490196078425,1610612765,2,2,2023-01-01T01:11:45Z,120000,False,-6.0,31.0,1,left,B. Bogdanovic driving Layup (2 PTS),[202711],1610612765.0,DET,,driving,,,Bogdanovic,B. Bogdanovic,,,,,Restricted Area,0-8 Center,,,,,Made,2.0,3.16,,,,,,,,,,,,
14,PT11M16.00S,2023-01-01T01:11:55.6Z,1,REGULAR,3pt,Jump Shot,[],1630162,67.09921156373193,37.5,1610612750,2,2,2023-01-01T01:12:00Z,130000,False,-62.0,257.0,1,right,MISS A. Edwards 26' pullup 3PT,[1630162],1610612750.0,MIN,,pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,,,,,Missed,,26.43,,,,,,,,,,,,
15,PT11M14.00S,2023-01-01T01:11:57.6Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,2,2,2023-01-01T01:12:00Z,140000,False,,,0,,S. Bey REBOUND (Off:0 Def:1),[1630180],1610612765.0,DET,,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Center,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,
16,PT11M04.00S,2023-01-01T01:12:11.4Z,1,REGULAR,turnover,3-second-violation,[],1631093,,,1610612765,2,2,2023-01-01T01:12:20Z,150000,False,,,0,,J. Ivey 3-second-violation TURNOVER (1 TO),[1631093],1610612765.0,DET,2004.0,,,,Ivey,J. Ivey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,1.0,,,,,,,
