actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-03-08T00:33:13.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-08T00:33:13Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M59.00S,2023-03-08T00:33:15.4Z,1,REGULAR,jumpball,recovered,[],1630183,,,1610612750,0,0,2023-03-08T00:33:15Z,40000,False,,,0,,Jump Ball R. Gobert vs. J. Embiid: Tip to J. McDaniels,"[1630183, 203497, 203954]",1610612750.0,MIN,startperiod,J. McDaniels,1630183.0,McDaniels,J. McDaniels,Gobert,203497.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2023-03-08T00:33:36.4Z,1,REGULAR,turnover,bad pass,[],1630183,,,1610612750,0,0,2023-03-08T00:33:42Z,70000,False,,,0,,J. McDaniels bad pass TURNOVER (1 TO),"[1630183, 1630178]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Mid-Range,8-16 Left,1.0,Maxey,1630178.0,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2023-03-08T00:33:36.4Z,1,REGULAR,steal,,[],1630178,,,1610612755,0,0,2023-03-08T00:33:38Z,80000,False,,,0,,T. Maxey STEAL (1 STL),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
9,PT11M29.00S,2023-03-08T00:33:47.2Z,1,REGULAR,violation,kicked ball,[],1630183,,,1610612755,0,0,2023-03-08T00:34:01Z,90000,False,,,0,,J. McDaniels kicked ball VIOLATION,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,2005.0,,,,,,,,,,,,,,,,
10,PT11M15.00S,2023-03-08T00:34:10.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630178,93.9060446780552,51.71568627450981,1610612755,0,2,2023-03-08T00:34:15Z,100000,False,9.0,5.0,1,right,T. Maxey driving Layup (2 PTS) (J. Embiid 1 AST),"[1630178, 203954]",1610612755.0,PHI,driving,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,,,0.98,Made,2.0,J. Embiid,203954.0,1.0,,,,,,,,,,
12,PT11M04.00S,2023-03-08T00:34:21.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,6.652431011826544,50.49019607843137,1610612750,2,2,2023-03-08T00:34:25Z,120000,False,-2.0,10.0,1,left,R. Gobert cutting Layup (2 PTS) (M. Conley 1 AST),"[203497, 201144]",1610612750.0,MIN,cutting,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,1.03,Made,2.0,M. Conley,201144.0,1.0,,,,,,,,,,
14,PT10M47.00S,2023-03-08T00:34:37.7Z,1,REGULAR,2pt,Jump Shot,[],203954,85.3646517739816,74.75490196078431,1610612755,2,4,2023-03-08T00:34:42Z,140000,False,124.0,85.0,1,right,J. Embiid 15' Jump Shot (2 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Right,,,,,15.02,Made,2.0,,,,,,,,,,,,,
15,PT10M37.00S,2023-03-08T00:34:47.4Z,1,REGULAR,3pt,Jump Shot,[],1630162,30.56833114323259,74.01960784313727,1610612750,5,4,2023-03-08T00:34:53Z,150000,False,-120.0,235.0,1,left,A. Edwards 26' 3PT pullup (3 PTS),[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,,,,,26.37,Made,3.0,,,,,,,,,,,,,
16,PT10M20.00S,2023-03-08T00:35:05.0Z,1,REGULAR,2pt,Jump Shot,[],203954,87.20433639947439,22.54901960784314,1610612755,5,6,2023-03-08T00:35:09Z,160000,False,-137.0,68.0,1,right,J. Embiid 15' pullup Jump Shot (4 PTS),[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Left,,,,,15.31,Made,4.0,,,,,,,,,,,,,
