actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-01-20T01:10:33.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-20T01:10:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-01-20T01:10:35.2Z,1,REGULAR,jumpball,recovered,[],1630183,,,1610612750,0,0,2023-01-20T01:10:35Z,40000,False,,,0,,Jump Ball N. Reid vs. S. Barnes: Tip to J. McDaniels,"[1630183, 1629675, 1630567]",1610612750.0,MIN,startperiod,J. McDaniels,1630183.0,McDaniels,J. McDaniels,Reid,1629675.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2023-01-20T01:10:56.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629675,7.966491458607096,50.245098039215684,1610612750,0,0,2023-01-20T01:11:02Z,70000,False,-1.0,22.0,1,left,MISS N. Reid driving Layup - blocked,"[1629675, 1629018]",1610612750.0,MIN,driving,,,Reid,N. Reid,,,,,Restricted Area,0-8 Center,2.24,Missed,Trent Jr.,1629018.0,,,,,,,,,,,,,,,,
8,PT11M37.00S,2023-01-20T01:10:56.7Z,1,REGULAR,block,,[],1629018,,,1610612750,0,0,2023-01-20T01:10:59Z,80000,False,,,0,,G. Trent Jr. BLOCK (1 BLK),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2023-01-20T01:10:56.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,0,0,2023-01-20T01:11:02Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Restricted Area,0-8 Center,,,,,7.0,,,,,,,,,,,,,,,
11,PT11M36.00S,2023-01-20T01:11:19.9Z,1,REGULAR,turnover,out-of-bounds,[],1626156,,,1610612750,0,0,2023-01-20T01:11:28Z,110000,False,,,0,,D. Russell bad pass out-of-bounds TURNOVER (1 TO),[1626156],1610612750.0,MIN,bad pass,,,Russell,D. Russell,,,,,In The Paint (Non-RA),8-16 Right,,,,,,203592.0,1.0,,,,,,,,,,,,,
12,PT11M23.00S,2023-01-20T01:11:42.2Z,1,REGULAR,foul,personal,['2freethrow'],1629675,,,1610612761,0,0,2023-01-20T01:11:47Z,120000,False,,,0,,N. Reid shooting personal FOUL (1 PF) (Barnes 2 FT),"[1629675, 1630567]",1610612750.0,MIN,shooting,,,Reid,N. Reid,,,,,In The Paint (Non-RA),0-8 Center,,,,,,1199.0,,1.0,0.0,Barnes,1630567.0,,,,,,,,,
14,PT11M23.00S,2023-01-20T01:12:02.8Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630567,,,1610612761,0,1,2023-01-20T01:12:02Z,140000,False,,,0,,S. Barnes Free Throw 1 of 2 (1 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
15,PT11M23.00S,2023-01-20T01:12:19.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630567,,,1610612761,0,2,2023-01-20T01:12:19Z,150000,False,,,0,,S. Barnes Free Throw 2 of 2 (2 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
16,PT11M05.00S,2023-01-20T01:12:38.2Z,1,REGULAR,3pt,Jump Shot,[],1630183,3.892904073587385,95.34313725490196,1610612750,3,2,2023-01-20T01:12:42Z,160000,False,-227.0,-16.0,1,left,J. McDaniels 3PT  (3 PTS) (A. Edwards 1 AST),"[1630183, 1630162]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Left Corner 3,24+ Left,22.73,Made,,,,,,,,,,3.0,A. Edwards,1630162.0,1.0,,,,,
