actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
587,PT05M16.00S,2023-01-03T03:06:49.0Z,4,REGULAR,freethrow,2 of 2,[],203932,,,1610612743,107,103,2023-01-03T03:07:13Z,5830000,False,,,0,,MISS A. Gordon Free Throw 2 of 2,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
588,PT05M14.00S,2023-01-03T03:06:51.0Z,4,REGULAR,rebound,defensive,[],203497,,,1610612750,107,103,2023-01-03T03:07:13Z,5840000,False,,,0,,R. Gobert REBOUND (Off:2 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,587.0,3.0,1.0,2.0,,,,,,,,,,,,,,
589,PT04M53.00S,2023-01-03T03:07:31.1Z,4,REGULAR,2pt,Jump Shot,[],1630162,78.66294349540078,27.450980392156865,1610612750,109,103,2023-01-03T03:07:36Z,5850000,False,-113.0,148.0,1,right,A. Edwards 18' step back Jump Shot (25 PTS),[1630162],1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Left Center,18.61,Made,,,,,,,,,,,,,25.0,,,,,
590,PT04M31.00S,2023-01-03T03:07:52.6Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],203932,7.5722733245729295,49.01960784313725,1610612743,109,103,2023-01-03T03:08:01Z,5860000,False,5.0,19.0,1,left,MISS A. Gordon driving Layup,[203932],1610612743.0,DEN,driving,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,1.93,Missed,,,,,,,,,,,,,,,,,,
592,PT04M24.00S,2023-01-03T03:07:59.6Z,4,REGULAR,rebound,offensive,[],203932,,,1610612743,109,103,2023-01-03T03:08:01Z,5880000,False,,,0,,A. Gordon REBOUND (Off:10 Def:4),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,590.0,14.0,4.0,10.0,,,,,,,,,,,,,,
593,PT04M24.00S,2023-01-03T03:08:00.2Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203932,5.590000152587891,50.0,1610612743,109,105,2023-01-03T03:08:00Z,5890000,False,0.0,0.0,1,left,A. Gordon tip Layup (12 PTS),[203932],1610612743.0,DEN,tip,,,Gordon,A. Gordon,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,,,,,,,12.0,,,,,
594,PT04M10.00S,2023-01-03T03:08:13.5Z,4,REGULAR,3pt,Jump Shot,[],203937,94.56307490144546,95.34313725490196,1610612750,112,105,2023-01-03T03:08:18Z,5900000,False,227.0,-1.0,1,right,K. Anderson 3PT  (19 PTS) (A. Rivers 5 AST),"[203937, 203085]",1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Right Corner 3,24+ Right,22.67,Made,,,,,,,,,,,,,19.0,A. Rivers,203085.0,5.0,,
596,PT04M10.00S,2023-01-03T03:08:21.4Z,4,REGULAR,timeout,full,['team'],0,,,1610612743,112,105,2023-01-03T03:08:21Z,5920000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,PT04M10.00S,2023-01-03T03:09:27.8Z,4,REGULAR,substitution,out,[],1630538,,,1610612743,112,105,2023-01-03T03:09:42Z,5930000,False,,,0,,SUB out: B. Hyland,[1630538],1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,,,,,,,,,,,,,,,,,,,,,,
598,PT04M10.00S,2023-01-03T03:09:27.8Z,4,REGULAR,substitution,in,[],1627750,,,1610612743,112,105,2023-01-03T03:09:42Z,5940000,False,,,0,,SUB in: J. Murray,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
599,PT03M52.00S,2023-01-03T03:10:03.3Z,4,REGULAR,turnover,lost ball,[],203999,,,1610612743,112,105,2023-01-03T03:10:07Z,5950000,False,,,0,,N. Jokic lost ball TURNOVER (5 TO),"[203999, 1630162]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,5.0,Edwards,1630162.0,,,,,,,,,,,
600,PT03M52.00S,2023-01-03T03:10:03.3Z,4,REGULAR,steal,,[],1630162,,,1610612750,112,105,2023-01-03T03:10:05Z,5960000,False,,,0,,A. Edwards STEAL (1 STL),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
601,PT03M36.00S,2023-01-03T03:10:19.6Z,4,REGULAR,3pt,Jump Shot,['fromturnover'],1630162,69.99014454664915,68.62745098039215,1610612750,112,105,2023-01-03T03:12:16Z,5970000,False,93.0,230.0,1,right,MISS A. Edwards 24' step back 3PT,[1630162],1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Right Center,24.78,Missed,,,,,,,,,,,,,,,,,,
