actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2022-12-22T01:10:37.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-22T01:10:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2022-12-22T01:10:41.5Z,1,REGULAR,jumpball,recovered,[],0,,,1610612750,0,0,2022-12-22T01:10:41Z,40000,False,,,0,,Jump Ball R. Gobert vs. C. Wood: Tip to Team (MIN),"[203497, 1626174]",1610612750.0,MIN,startperiod,Team (MIN),Gobert,203497.0,Wood,1626174.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2022-12-22T01:11:12.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,6.652431011826544,50.73529411764706,1610612750,2,0,2022-12-22T01:11:19Z,80000,False,-4.0,10.0,1,left,R. Gobert alley-oop DUNK (2 PTS) (A. Edwards 1 AST),"[203497, 1630162]",1610612750.0,MIN,alley-oop,,,,,,Restricted Area,0-8 Center,1.07,Made,2.0,Gobert,R. Gobert,A. Edwards,1630162.0,1.0,,,,,,,,,,,,,,,
10,PT11M27.00S,2022-12-22T01:11:30.7Z,1,REGULAR,3pt,Jump Shot,[],1626174,74.72076215505913,14.950980392156863,1610612742,2,3,2022-12-22T01:11:39Z,100000,False,-175.0,185.0,1,right,C. Wood 25' 3PT  (3 PTS) (L. Doncic 1 AST),"[1626174, 1629029]",1610612742.0,DAL,,,,,,,Above the Break 3,24+ Left Center,25.49,Made,3.0,Wood,C. Wood,L. Doncic,1629029.0,1.0,,,,,,,,,,,,,,,
12,PT11M13.00S,2022-12-22T01:11:44.4Z,1,REGULAR,3pt,Jump Shot,[],1626156,32.670827858081466,31.862745098039213,1610612750,2,3,2022-12-22T01:11:51Z,120000,False,91.0,255.0,1,left,MISS D. Russell 27' 3PT,[1626156],1610612750.0,MIN,,,,,,,Above the Break 3,24+ Right Center,27.03,Missed,,Russell,D. Russell,,,,,,,,,,,,,,,,,,
13,PT11M11.00S,2022-12-22T01:11:46.4Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,2,3,2022-12-22T01:11:51Z,130000,False,,,0,,R. Gobert REBOUND (Off:1 Def:0),[203497],1610612750.0,MIN,,,,,,,Above the Break 3,24+ Right Center,,,,Gobert,R. Gobert,,,,12.0,1.0,0.0,1.0,,,,,,,,,,,
14,PT11M11.00S,2022-12-22T01:11:49.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203497,7.835085413929041,54.166666666666664,1610612750,4,3,2022-12-22T01:11:56Z,140000,False,-21.0,21.0,1,left,R. Gobert Layup (4 PTS),[203497],1610612750.0,MIN,,,,,,,Restricted Area,0-8 Center,2.96,Made,4.0,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,
15,PT11M11.00S,2022-12-22T01:11:55.2Z,1,REGULAR,foul,personal,['1freethrow'],1626174,,,1610612750,4,3,2022-12-22T01:12:02Z,150000,False,,,0,,C. Wood shooting personal FOUL (1 PF) (Gobert 1 FT),"[1626174, 203497]",1610612742.0,DAL,shooting,,,,,,Restricted Area,0-8 Center,,,,Wood,C. Wood,,,,,,,,2005.0,1.0,0.0,Gobert,203497.0,,,,,,
17,PT11M11.00S,2022-12-22T01:12:23.9Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],203497,,,1610612750,4,3,2022-12-22T01:12:26Z,170000,False,,,0,,MISS R. Gobert Free Throw 1 of 1,[203497],1610612750.0,MIN,,,,,,,,,,Missed,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,
18,PT11M09.00S,2022-12-22T01:12:25.9Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,4,3,2022-12-22T01:12:26Z,180000,False,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,,,,,,,,,Doncic,L. Doncic,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,
19,PT10M47.00S,2022-12-22T01:12:45.8Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612742,4,3,2022-12-22T01:12:50Z,190000,False,,,0,,L. Doncic bad pass TURNOVER (1 TO),"[1629029, 203085]",1610612742.0,DAL,,,,,,,Mid-Range,8-16 Left,,,,Doncic,L. Doncic,,,,,,,,,,,,,1.0,Rivers,203085.0,,,
20,PT10M47.00S,2022-12-22T01:12:45.8Z,1,REGULAR,steal,,[],203085,,,1610612750,4,3,2022-12-22T01:12:47Z,200000,False,,,0,,A. Rivers STEAL (1 STL),[203085],1610612750.0,MIN,,,,,,,Mid-Range,8-16 Left,,,,Rivers,A. Rivers,,,,,,,,,,,,,,,,,,
21,PT10M41.00S,2022-12-22T01:12:52.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203085,7.835085413929041,53.431372549019606,1610612750,4,3,2022-12-22T01:12:58Z,210000,False,-17.0,21.0,1,left,MISS A. Rivers driving Layup,[203085],1610612750.0,MIN,driving,,,,,,Restricted Area,0-8 Center,2.72,Missed,,Rivers,A. Rivers,,,,,,,,,,,,,,,,,,
22,PT10M40.00S,2022-12-22T01:12:53.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612742,4,3,2022-12-22T01:12:58Z,220000,False,,,0,,TEAM defensive REBOUND,[],1610612742.0,DAL,,,,,,,Restricted Area,0-8 Center,,,,,,,,,21.0,,,,,,,,,,,,,,
24,PT10M26.00S,2022-12-22T01:13:14.0Z,1,REGULAR,3pt,Jump Shot,[],203493,65.65374507227332,44.11764705882353,1610612742,4,3,2022-12-22T01:13:19Z,240000,False,-29.0,270.0,1,right,MISS R. Bullock 27' 3PT,[203493],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Center,27.2,Missed,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,
25,PT10M22.00S,2022-12-22T01:13:18.0Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612750,4,3,2022-12-22T01:13:19Z,250000,False,,,0,,D. Russell REBOUND (Off:0 Def:1),[1626156],1610612750.0,MIN,,,,,,,Above the Break 3,24+ Center,,,,Russell,D. Russell,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,
26,PT10M15.00S,2022-12-22T01:13:24.8Z,1,REGULAR,3pt,Jump Shot,[],203085,24.52365308804205,84.55882352941177,1610612750,4,3,2022-12-22T01:13:30Z,260000,False,-173.0,178.0,1,left,MISS A. Rivers 24' 3PT,[203085],1610612750.0,MIN,,,,,,,Above the Break 3,24+ Left Center,24.81,Missed,,Rivers,A. Rivers,,,,,,,,,,,,,,,,,,
27,PT10M11.00S,2022-12-22T01:13:28.8Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612742,4,3,2022-12-22T01:13:30Z,270000,False,,,0,,C. Wood REBOUND (Off:0 Def:1),[1626174],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Left Center,,,,Wood,C. Wood,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,
28,PT10M01.00S,2022-12-22T01:13:40.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1629029,92.19776609724047,45.83333333333333,1610612742,4,5,2022-12-22T01:14:58Z,280000,False,-21.0,21.0,1,right,L. Doncic driving Layup (2 PTS),[1629029],1610612742.0,DAL,driving,,,,,,Restricted Area,0-8 Center,2.94,Made,2.0,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,
33,PT10M01.00S,2022-12-22T01:13:49.3Z,1,REGULAR,violation,defensive goaltending,[],1630162,,,1610612742,4,5,2022-12-22T01:14:58Z,285000,False,,,0,,A. Edwards defensive goaltending VIOLATION,[1630162],1610612750.0,MIN,,,,,,,,,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,
29,PT10M01.00S,2022-12-22T01:13:58.6Z,1,REGULAR,foul,personal,['1freethrow'],1630162,,,1610612742,4,5,2022-12-22T01:14:07Z,290000,False,,,0,,A. Edwards shooting personal FOUL (1 PF) (Doncic 1 FT),"[1630162, 1629029]",1610612750.0,MIN,shooting,,,,,,Restricted Area,0-8 Center,,,,Edwards,A. Edwards,,,,,,,,1148.0,1.0,0.0,Doncic,1629029.0,,,,,,
31,PT10M01.00S,2022-12-22T01:14:22.1Z,1,REGULAR,freethrow,1 of 1,[],1629029,,,1610612742,4,6,2022-12-22T01:14:22Z,310000,False,,,0,,L. Doncic Free Throw 1 of 1 (3 PTS),[1629029],1610612742.0,DAL,,,,,,,,,,Made,3.0,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,
32,PT09M52.00S,2022-12-22T01:14:33.8Z,1,REGULAR,turnover,out-of-bounds,[],1630162,,,1610612750,4,6,2022-12-22T01:15:17Z,320000,False,,,0,,A. Edwards bad pass out-of-bounds TURNOVER (1 TO),[1630162],1610612750.0,MIN,bad pass,,,,,,Mid-Range,16-24 Left Center,,,,Edwards,A. Edwards,,,,,,,,2005.0,,,,,1.0,,,,,
34,PT09M37.00S,2022-12-22T01:14:59.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1626174,85.62746386333771,48.529411764705884,1610612742,4,8,2022-12-22T01:16:50Z,330000,False,-7.0,83.0,1,right,C. Wood 8' floating Jump Shot (5 PTS) (L. Doncic 2 AST),"[1626174, 1629029]",1610612742.0,DAL,floating,,,,,,In The Paint (Non-RA),8-16 Center,8.29,Made,5.0,Wood,C. Wood,L. Doncic,1629029.0,2.0,,,,,,,,,,,,,,,
36,PT09M37.00S,2022-12-22T01:15:01.6Z,1,REGULAR,foul,personal,['1freethrow'],203085,,,1610612742,4,8,2022-12-22T01:15:24Z,350000,False,,,0,,A. Rivers shooting personal FOUL (1 PF) (Wood 1 FT),"[203085, 1626174]",1610612750.0,MIN,shooting,,,,,,In The Paint (Non-RA),8-16 Center,,,,Rivers,A. Rivers,,,,,,,,2005.0,1.0,0.0,Wood,1626174.0,,,,,,
38,PT09M37.00S,2022-12-22T01:15:21.4Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1626174,,,1610612742,4,9,2022-12-22T01:15:21Z,370000,False,,,0,,C. Wood Free Throw 1 of 1 (6 PTS),[1626174],1610612742.0,DAL,,,,,,,,,,Made,6.0,Wood,C. Wood,,,,,,,,,,,,,,,,,,
39,PT09M21.00S,2022-12-22T01:15:39.2Z,1,REGULAR,2pt,Jump Shot,[],1626156,21.50131406044678,47.794117647058826,1610612750,4,9,2022-12-22T01:15:51Z,380000,False,11.0,150.0,1,left,MISS D. Russell 15' pullup Shot,[1626156],1610612750.0,MIN,pullup,,,,,,Mid-Range,8-16 Center,15.0,Missed,,Russell,D. Russell,,,,,,,,,,,,,,,,,,
40,PT09M17.00S,2022-12-22T01:15:43.2Z,1,REGULAR,rebound,offensive,[],203085,,,1610612750,4,9,2022-12-22T01:15:46Z,390000,False,,,0,,A. Rivers REBOUND (Off:1 Def:0),[203085],1610612750.0,MIN,,,,,,,Mid-Range,8-16 Center,,,,Rivers,A. Rivers,,,,39.0,1.0,0.0,1.0,,,,,,,,,,,
42,PT09M12.00S,2022-12-22T01:15:48.4Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630162,9.543363994743759,20.588235294117645,1610612750,4,9,2022-12-22T01:15:54Z,410000,False,147.0,37.0,1,left,MISS A. Edwards 15' pullup Shot,[1630162],1610612750.0,MIN,pullup,,,,,,Mid-Range,8-16 Right,15.17,Missed,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,
43,PT09M12.00S,2022-12-22T01:15:48.4Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612742,4,9,2022-12-22T01:15:54Z,420000,False,,,0,,C. Wood REBOUND (Off:0 Def:2),[1626174],1610612742.0,DAL,,,,,,,Mid-Range,8-16 Right,,,,Wood,C. Wood,,,,42.0,2.0,2.0,0.0,,,,,,,,,,,
44,PT08M59.00S,2022-12-22T01:16:01.4Z,1,REGULAR,2pt,Jump Shot,[],203501,84.31340341655716,30.88235294117647,1610612742,4,11,2022-12-22T01:16:08Z,430000,False,-96.0,95.0,1,right,T. Hardaway Jr. 13' driving floating bank Jump Shot (2 PTS),[203501],1610612742.0,DAL,driving floating bank,,,,,,Mid-Range,8-16 Left,13.48,Made,2.0,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,
45,PT08M37.00S,2022-12-22T01:16:23.1Z,1,REGULAR,3pt,Jump Shot,[],1630183,5.601182654402102,4.166666666666666,1610612750,7,11,2022-12-22T01:16:27Z,440000,False,229.0,0.0,1,left,J. McDaniels 3PT  (3 PTS) (D. Russell 1 AST),"[1630183, 1626156]",1610612750.0,MIN,,,,,,,Right Corner 3,24+ Right,22.92,Made,3.0,McDaniels,J. McDaniels,D. Russell,1626156.0,1.0,,,,,,,,,,,,,,,
47,PT08M14.00S,2022-12-22T01:16:45.9Z,1,REGULAR,3pt,Jump Shot,[],1629029,62.89421813403416,44.36274509803921,1610612742,7,11,2022-12-22T01:16:51Z,460000,False,-28.0,296.0,1,right,MISS L. Doncic 29' 3PT,[1629029],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Center,29.76,Missed,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,
48,PT08M12.00S,2022-12-22T01:16:47.9Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,7,11,2022-12-22T01:16:51Z,470000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,,,,Above the Break 3,24+ Center,,,,McDaniels,J. McDaniels,,,,47.0,1.0,1.0,0.0,,,,,,,,,,,
49,PT08M00.00S,2022-12-22T01:17:02.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630183,6.783837056504599,51.9607843137255,1610612750,7,11,2022-12-22T01:19:45Z,480000,False,-10.0,11.0,1,left,MISS J. McDaniels driving reverse Layup,[1630183],1610612750.0,MIN,driving reverse,,,,,,Restricted Area,0-8 Center,1.5,Missed,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,
50,PT07M59.00S,2022-12-22T01:17:03.3Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,7,11,2022-12-22T01:19:45Z,490000,False,,,0,,R. Gobert REBOUND (Off:2 Def:0),[203497],1610612750.0,MIN,,,,,,,Restricted Area,0-8 Center,,,,Gobert,R. Gobert,,,,49.0,2.0,0.0,2.0,,,,,,,,,,,
51,PT07M58.00S,2022-12-22T01:17:05.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203497,5.590000152587891,50.0,1610612750,7,11,2022-12-22T01:17:53Z,500000,False,0.0,0.0,1,left,MISS R. Gobert tip Layup,[203497],1610612750.0,MIN,tip,,,,,,Restricted Area,0-8 Center,0.0,Missed,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,
52,PT07M57.00S,2022-12-22T01:17:06.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,7,11,2022-12-22T01:17:53Z,510000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,Restricted Area,0-8 Center,,,,,,,,,51.0,,,,,,,,,,,,,,
54,PT07M53.00S,2022-12-22T01:17:33.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203497,7.5722733245729295,52.69607843137255,1610612750,9,11,2022-12-22T01:17:58Z,530000,False,-13.0,19.0,1,left,R. Gobert Layup (6 PTS) (A. Rivers 1 AST),"[203497, 203085]",1610612750.0,MIN,,,,,,,Restricted Area,0-8 Center,2.31,Made,6.0,Gobert,R. Gobert,A. Rivers,203085.0,1.0,,,,,,,,,,,,,,,
56,PT07M34.00S,2022-12-22T01:17:58.7Z,1,REGULAR,3pt,Jump Shot,[],1626174,63.81406044678055,48.03921568627451,1610612742,9,11,2022-12-22T01:18:17Z,550000,False,-10.0,288.0,1,right,MISS C. Wood 28' 3PT,[1626174],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Center,28.78,Missed,,Wood,C. Wood,,,,,,,,,,,,,,,,,,
57,PT07M30.00S,2022-12-22T01:18:02.7Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,9,11,2022-12-22T01:18:17Z,560000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:2),[1630183],1610612750.0,MIN,,,,,,,Above the Break 3,24+ Center,,,,McDaniels,J. McDaniels,,,,56.0,2.0,2.0,0.0,,,,,,,,,,,
58,PT07M18.00S,2022-12-22T01:18:17.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,7.30946123521682,53.431372549019606,1610612750,9,11,2022-12-22T01:27:57Z,570000,False,-17.0,16.0,1,left,MISS A. Edwards driving Layup,[1630162],1610612750.0,MIN,driving,,,,,,Restricted Area,0-8 Center,2.36,Missed,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,
