actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-01-15T01:10:44.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-15T01:10:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-01-15T01:10:48.3Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2023-01-15T01:10:48Z,40000,False,,,0,,Jump Ball J. Allen vs. R. Gobert: Tip to D. Garland,"[1629636, 1628386, 203497]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2023-01-15T01:11:10.9Z,1,REGULAR,3pt,Jump Shot,[],1630171,94.30026281208936,95.34313725490196,1610612739,0,0,2023-01-15T01:11:20Z,80000,False,227.0,1.0,1,right,MISS I. Okoro 3PT,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Right Corner 3,24+ Right,22.67,Missed,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2023-01-15T01:11:14.9Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,0,0,2023-01-15T01:11:20Z,90000,False,,,0,,J. Allen REBOUND (Off:1 Def:0),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Right Corner 3,24+ Right,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,,,
10,PT11M38.00S,2023-01-15T01:11:15.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628386,93.77463863337714,44.36274509803921,1610612739,0,0,2023-01-15T01:11:25Z,100000,False,-28.0,6.0,1,right,MISS J. Allen putback Layup - blocked,"[1628386, 203937]",1610612739.0,CLE,putback,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,2.88,Missed,,,,,Anderson,203937.0,,,,,,,,,,,,
11,PT11M38.00S,2023-01-15T01:11:15.7Z,1,REGULAR,block,,[],203937,,,1610612739,0,0,2023-01-15T01:11:17Z,110000,False,,,0,,K. Anderson BLOCK (1 BLK),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M36.00S,2023-01-15T01:11:17.7Z,1,REGULAR,rebound,defensive,[],203937,,,1610612750,0,0,2023-01-15T01:11:25Z,120000,False,,,0,,K. Anderson REBOUND (Off:0 Def:1),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Restricted Area,0-8 Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M32.00S,2023-01-15T01:11:21.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630162,7.835085413929041,50.0,1610612750,0,0,2023-01-15T01:12:08Z,130000,False,0.0,21.0,1,left,MISS A. Edwards running Layup,[1630162],1610612750.0,MIN,running,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,2.11,Missed,,,,,,,,,,,,,,,,,,
14,PT11M30.00S,2023-01-15T01:11:23.8Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,0,0,2023-01-15T01:11:31Z,140000,False,,,0,,J. Allen REBOUND (Off:1 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,13.0,2.0,1.0,1.0,,,,,,,,,,,,,,
15,PT11M26.00S,2023-01-15T01:11:28.4Z,1,REGULAR,turnover,bad pass,[],1628378,,,1610612739,0,0,2023-01-15T01:11:33Z,150000,False,,,0,,D. Mitchell bad pass TURNOVER (1 TO),"[1628378, 1630183]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,,,,,,,,,1.0,McDaniels,1630183.0,,,,,,,,,
16,PT11M26.00S,2023-01-15T01:11:28.4Z,1,REGULAR,steal,,[],1630183,,,1610612750,0,0,2023-01-15T01:11:30Z,160000,False,,,0,,J. McDaniels STEAL (1 STL),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
17,PT11M22.00S,2023-01-15T01:11:32.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630162,6.1268068331143235,47.30392156862745,1610612750,2,0,2023-01-15T01:11:39Z,170000,False,13.0,5.0,1,left,A. Edwards running DUNK (2 PTS) (J. McDaniels 1 AST),"[1630162, 1630183]",1610612750.0,MIN,running,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,1.44,Made,,,,,,,,,,2.0,J. McDaniels,1630183.0,1.0,,,,,
