actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2023-03-11T01:10:44.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-11T01:10:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M59.00S,2023-03-11T01:10:46.2Z,1,REGULAR,jumpball,recovered,[],201144,,,1610612750,0,0,2023-03-11T01:10:46Z,40000,False,,,0,,Jump Ball R. Gobert vs. N. Claxton: Tip to M. Conley,"[201144, 203497, 1629651]",1610612750.0,MIN,startperiod,M. Conley,201144.0,Conley,M. Conley,Gobert,203497.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2023-03-11T01:11:29.5Z,1,REGULAR,foul,personal,[],1629661,,,1610612750,0,0,2023-03-11T01:12:16Z,80000,False,,,0,,C. Johnson personal FOUL (1 PF),"[1629661, 203937]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,In The Paint (Non-RA),8-16 Left,1151.0,1.0,0.0,Anderson,203937.0,,,,,,,,,,,,,,,
10,PT11M41.00S,2023-03-11T01:11:45.6Z,1,REGULAR,3pt,Jump Shot,[],201144,30.699737187910642,60.5392156862745,1610612750,0,0,2023-03-11T01:12:09Z,100000,False,-53.0,236.0,1,left,MISS M. Conley 24' pullup 3PT,[201144],1610612750.0,MIN,pullup,,,Conley,M. Conley,,,,,Above the Break 3,24+ Center,,,,,,24.19,Missed,,,,,,,,,,,,,
11,PT11M37.00S,2023-03-11T01:11:49.6Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612751,0,0,2023-03-11T01:11:52Z,110000,False,,,0,,C. Johnson REBOUND (Off:0 Def:1),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Center,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M20.00S,2023-03-11T01:12:06.6Z,1,REGULAR,turnover,lost ball,[],1628969,,,1610612751,0,0,2023-03-11T01:12:10Z,120000,False,,,0,,M. Bridges lost ball TURNOVER (1 TO),"[1628969, 203497]",1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,1.0,Gobert,203497.0,,,,,,
13,PT11M20.00S,2023-03-11T01:12:06.6Z,1,REGULAR,steal,,[],203497,,,1610612750,0,0,2023-03-11T01:14:01Z,130000,False,,,0,,R. Gobert STEAL (1 STL),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
14,PT11M16.00S,2023-03-11T01:12:10.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630183,6.783837056504599,50.98039215686274,1610612750,2,0,2023-03-11T01:12:17Z,140000,False,-5.0,11.0,1,left,J. McDaniels running finger roll Layup (2 PTS),[1630183],1610612750.0,MIN,running finger roll,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,,,1.23,Made,,,,,,,,2.0,,,,,
16,PT11M05.00S,2023-03-11T01:12:20.6Z,1,REGULAR,3pt,Jump Shot,[],203915,74.58935611038108,16.666666666666664,1610612751,2,0,2023-03-11T01:12:27Z,160000,False,-167.0,186.0,1,right,MISS S. Dinwiddie 25' pullup 3PT,[203915],1610612751.0,BKN,pullup,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Left Center,,,,,,25.01,Missed,,,,,,,,,,,,,
17,PT11M04.00S,2023-03-11T01:12:21.6Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,2,0,2023-03-11T01:12:27Z,170000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Left Center,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,
18,PT10M55.00S,2023-03-11T01:12:32.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,9.806176084099869,51.470588235294116,1610612750,2,0,2023-03-11T01:16:25Z,180000,False,-7.0,40.0,1,left,MISS R. Gobert driving Layup - blocked,"[203497, 1629651]",1610612750.0,MIN,driving,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,4.04,Missed,,,,,,,,,Claxton,1629651.0,,,
19,PT10M55.00S,2023-03-11T01:12:32.4Z,1,REGULAR,block,,[],1629651,,,1610612750,2,0,2023-03-11T01:12:40Z,190000,False,,,0,,N. Claxton BLOCK (1 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
20,PT10M54.00S,2023-03-11T01:12:33.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,2,0,2023-03-11T01:12:50Z,200000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,18.0,,,,,,,,,,,,
22,PT10M49.00S,2023-03-11T01:12:57.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201144,8.229303547963205,49.01960784313725,1610612750,2,0,2023-03-11T01:13:01Z,220000,False,5.0,25.0,1,left,MISS M. Conley driving Layup - blocked,"[201144, 1629651]",1610612750.0,MIN,driving,,,Conley,M. Conley,,,,,Restricted Area,0-8 Center,,,,,,2.54,Missed,,,,,,,,,Claxton,1629651.0,,,
23,PT10M49.00S,2023-03-11T01:12:57.2Z,1,REGULAR,block,,[],1629651,,,1610612750,2,0,2023-03-11T01:12:59Z,230000,False,,,0,,N. Claxton BLOCK (2 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
24,PT10M46.00S,2023-03-11T01:13:00.2Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,2,0,2023-03-11T01:13:01Z,240000,False,,,0,,R. Gobert REBOUND (Off:1 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,,22.0,2.0,1.0,1.0,,,,,,,,,
25,PT10M46.00S,2023-03-11T01:13:00.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203497,7.966491458607096,50.0,1610612750,4,0,2023-03-11T01:18:20Z,250000,False,0.0,22.0,1,left,R. Gobert putback DUNK (2 PTS),[203497],1610612750.0,MIN,putback,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,2.24,Made,,,,,,,,2.0,,,,,
26,PT10M37.00S,2023-03-11T01:13:08.7Z,1,REGULAR,turnover,bad pass,[],1629661,,,1610612751,4,0,2023-03-11T01:13:13Z,260000,False,,,0,,C. Johnson bad pass TURNOVER (1 TO),"[1629661, 1630162]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,1.0,Edwards,1630162.0,,,,,,
