actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-01-16T21:10:42.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-16T21:10:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-01-16T21:10:45.5Z,1,REGULAR,jumpball,recovered,[],1626156,,,1610612750,0,0,2023-01-16T21:10:45Z,40000,False,,,0,,Jump Ball R. Gobert vs. W. Kessler: Tip to D. Russell,"[1626156, 203497, 1631117]",1610612750.0,MIN,startperiod,D. Russell,1626156.0,Russell,D. Russell,Gobert,203497.0,Kessler,1631117.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2023-01-16T21:11:13.3Z,1,REGULAR,2pt,Jump Shot,[],1630162,74.58935611038108,58.57843137254902,1610612750,0,0,2023-01-16T21:11:20Z,80000,False,43.0,186.0,1,right,MISS A. Edwards 19' pullup Shot,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Center,19.13,Missed,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2023-01-16T21:11:17.3Z,1,REGULAR,rebound,defensive,[],201144,,,1610612762,0,0,2023-01-16T21:11:20Z,90000,False,,,0,,M. Conley REBOUND (Off:0 Def:1),[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,Mid-Range,16-24 Center,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M27.00S,2023-01-16T21:11:30.3Z,1,REGULAR,3pt,Jump Shot,[],201144,30.042706964520367,27.696078431372552,1610612762,0,3,2023-01-16T21:11:34Z,100000,False,112.0,230.0,1,left,M. Conley 25' 3PT  (3 PTS) (W. Kessler 1 AST),"[201144, 1631117]",1610612762.0,UTA,,,,Conley,M. Conley,,,,,Above the Break 3,24+ Right Center,25.55,Made,,,,,3.0,W. Kessler,1631117.0,1.0,,,,,,,,,,
12,PT11M09.00S,2023-01-16T21:11:48.5Z,1,REGULAR,2pt,Jump Shot,[],1630183,79.188567674113,43.13725490196079,1610612750,0,3,2023-01-16T21:11:53Z,120000,False,-34.0,143.0,1,right,MISS J. McDaniels 14' pullup Shot,[1630183],1610612750.0,MIN,pullup,,,McDaniels,J. McDaniels,,,,,Mid-Range,8-16 Center,14.72,Missed,,,,,,,,,,,,,,,,,,
13,PT11M05.00S,2023-01-16T21:11:52.5Z,1,REGULAR,rebound,offensive,[],203937,,,1610612750,0,3,2023-01-16T21:11:53Z,130000,False,,,0,,K. Anderson REBOUND (Off:1 Def:0),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Mid-Range,8-16 Center,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,,
14,PT11M03.00S,2023-01-16T21:11:54.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203937,70.38436268068331,28.676470588235293,1610612750,0,3,2023-01-16T21:12:00Z,140000,False,-107.0,226.0,1,right,MISS K. Anderson 24' step back 3PT,[203937],1610612750.0,MIN,step back,,,Anderson,K. Anderson,,,,,Above the Break 3,24+ Left Center,24.98,Missed,,,,,,,,,,,,,,,,,,
15,PT10M59.00S,2023-01-16T21:11:58.5Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,0,3,2023-01-16T21:12:00Z,150000,False,,,0,,W. Kessler REBOUND (Off:0 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Above the Break 3,24+ Left Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M40.00S,2023-01-16T21:12:31.8Z,1,REGULAR,2pt,Jump Shot,[],1627736,28.465834428383708,34.55882352941176,1610612762,0,5,2023-01-16T21:12:37Z,170000,False,77.0,215.0,1,left,M. Beasley 22' pullup Jump Shot (2 PTS),[1627736],1610612762.0,UTA,pullup,,,Beasley,M. Beasley,,,,,Mid-Range,16-24 Right Center,22.85,Made,,,,,2.0,,,,,,,,,,,,,
18,PT10M24.00S,2023-01-16T21:12:47.7Z,1,REGULAR,2pt,Jump Shot,[],203937,89.96386333771353,32.1078431372549,1610612750,0,5,2023-01-16T21:13:11Z,180000,False,-89.0,42.0,1,right,MISS K. Anderson 9' driving floating bank Shot,[203937],1610612750.0,MIN,driving floating bank,,,Anderson,K. Anderson,,,,,Mid-Range,8-16 Left,9.88,Missed,,,,,,,,,,,,,,,,,,
