actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-06T00:10:20.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-06T00:10:20Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-06T00:10:22.8Z,1,REGULAR,jumpball,recovered,[],1626156,,,1610612750,0,0,2022-11-06T00:10:22Z,40000,,,0,,Jump Ball K. Towns vs. A. Sengun: Tip to D. Russell,"[1626156, 1626157, 1630578]",1610612750.0,MIN,startperiod,D. Russell,1626156.0,Russell,D. Russell,Towns,1626157.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-11-06T00:10:38.7Z,1,REGULAR,2pt,Jump Shot,[],1626156,21.632720105124836,64.4607843137255,1610612750,2,0,2022-11-06T00:10:45Z,70000,-72.0,151.0,1,left,D. Russell 16' Jump Shot (2 PTS) (K. Towns 1 AST),"[1626156, 1626157]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,Mid-Range,16-24 Left Center,16.72,Made,2.0,K. Towns,1626157.0,1.0,,,,,,,,,,,,,,
9,PT11M22.00S,2022-11-06T00:10:57.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,92.46057818659659,48.28431372549019,1610612745,2,2,2022-11-06T00:11:03Z,90000,-9.0,18.0,1,right,A. Sengun Layup (2 PTS) (E. Gordon 1 AST),"[1630578, 201569]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,2.03,Made,2.0,E. Gordon,201569.0,1.0,,,,,,,,,,,,,,
11,PT11M06.00S,2022-11-06T00:11:14.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,7.835085413929041,48.77450980392157,1610612750,4,2,2022-11-06T00:11:19Z,110000,6.0,21.0,1,left,K. Towns driving finger roll Layup (2 PTS),[1626157],1610612750.0,MIN,driving finger roll,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,2.2,Made,2.0,,,,,,,,,,,,,,,,,
12,PT10M49.00S,2022-11-06T00:11:33.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629645,90.88370565045992,49.754901960784316,1610612745,4,4,2022-11-06T00:11:40Z,120000,-1.0,33.0,1,right,K. Porter Jr. driving Layup (2 PTS),[1629645],1610612745.0,HOU,driving,,,Porter Jr.,K. Porter Jr.,,,,,Restricted Area,0-8 Center,3.32,Made,2.0,,,,,,,,,,,,,,,,,
13,PT10M49.00S,2022-11-06T00:11:35.8Z,1,REGULAR,foul,personal,['1freethrow'],1630162,,,1610612745,4,4,2022-11-06T00:11:43Z,130000,,,0,,A. Edwards shooting personal FOUL (1 PF) (Porter Jr. 1 FT),"[1630162, 1629645]",1610612750.0,MIN,shooting,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,,,,1626302.0,1.0,0.0,Porter Jr.,1629645.0,,,,,,,,,
15,PT10M49.00S,2022-11-06T00:12:10.0Z,1,REGULAR,freethrow,1 of 1,[],1629645,,,1610612745,4,5,2022-11-06T00:12:10Z,150000,,,0,,K. Porter Jr. Free Throw 1 of 1 (3 PTS),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
16,PT10M40.00S,2022-11-06T00:12:23.6Z,1,REGULAR,3pt,Jump Shot,[],1626156,25.969119579500656,80.3921568627451,1610612750,7,5,2022-11-06T00:12:28Z,160000,-152.0,192.0,1,left,D. Russell 24' 3PT  (5 PTS) (J. McDaniels 1 AST),"[1626156, 1630183]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Left Center,24.46,Made,5.0,J. McDaniels,1630183.0,1.0,,,,,,,,,,,,,,
18,PT10M31.00S,2022-11-06T00:12:33.2Z,1,REGULAR,3pt,Jump Shot,[],1630224,81.68528252299606,5.88235294117647,1610612745,7,8,2022-11-06T00:12:41Z,180000,-221.0,120.0,1,right,J. Green 25' 3PT step back (3 PTS),[1630224],1610612745.0,HOU,step back,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,25.1,Made,3.0,,,,,,,,,,,,,,,,,
