actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-01-31T01:10:51.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-31T01:10:51Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-01-31T01:10:54.0Z,1,REGULAR,jumpball,recovered,[],203084,,,1610612758,0,0,2023-01-31T01:10:54Z,40000,False,,,0,,Jump Ball D. Sabonis vs. R. Gobert: Tip to H. Barnes,"[203084, 1627734, 203497]",1610612758.0,SAC,startperiod,H. Barnes,203084.0,Barnes,H. Barnes,Sabonis,1627734.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-01-31T01:11:09.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,84.57621550591328,55.88235294117647,1610612758,0,0,2023-01-31T01:11:16Z,70000,False,29.0,92.0,1,right,MISS D. Fox 9' step back Shot,[1628368],1610612758.0,SAC,step back,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Center,9.71,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2023-01-31T01:11:11.4Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,0,0,2023-01-31T01:11:16Z,80000,False,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M34.00S,2023-01-31T01:11:18.5Z,1,REGULAR,turnover,out-of-bounds,[],1630162,,,1610612750,0,0,2023-01-31T01:11:26Z,90000,False,,,0,,A. Edwards lost ball out-of-bounds TURNOVER (1 TO),[1630162],1610612750.0,MIN,lost ball,,,Edwards,A. Edwards,,,,,Mid-Range,8-16 Right,,,,,,,1627524.0,1.0,,,,,,,,,,,,
10,PT11M28.00S,2023-01-31T01:11:27.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628368,84.83902759526939,44.85294117647059,1610612758,0,0,2023-01-31T01:11:33Z,100000,False,-26.0,90.0,1,right,MISS D. Fox 9' pullup Shot,[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Center,9.36,Missed,,,,,,,,,,,,,,,,,,
11,PT11M26.00S,2023-01-31T01:11:29.6Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,0,0,2023-01-31T01:11:33Z,110000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),8-16 Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M18.00S,2023-01-31T01:11:38.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626156,7.046649145860711,48.03921568627451,1610612750,0,0,2023-01-31T01:12:22Z,120000,False,10.0,14.0,1,left,MISS D. Russell cutting Layup,[1626156],1610612750.0,MIN,cutting,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,1.68,Missed,,,,,,,,,,,,,,,,,,
13,PT11M15.00S,2023-01-31T01:11:41.4Z,1,REGULAR,rebound,defensive,[],1628989,,,1610612758,0,0,2023-01-31T01:11:46Z,130000,False,,,0,,K. Huerter REBOUND (Off:0 Def:1),[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Restricted Area,0-8 Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M07.00S,2023-01-31T01:11:52.0Z,1,REGULAR,foul,personal,[],203937,,,1610612758,0,0,2023-01-31T01:12:00Z,140000,False,,,0,,K. Anderson personal FOUL (1 PF),"[203937, 203084]",1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Mid-Range,16-24 Left Center,,,,,,,1627524.0,,1.0,0.0,Barnes,203084.0,,,,,,,,
16,PT11M02.00S,2023-01-31T01:12:11.3Z,1,REGULAR,3pt,Jump Shot,[],1631099,70.25295663600527,69.6078431372549,1610612758,0,0,2023-01-31T01:12:16Z,160000,False,98.0,227.0,1,right,MISS K. Murray 24' 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,24.73,Missed,,,,,,,,,,,,,,,,,,
17,PT10M58.00S,2023-01-31T01:12:15.3Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,0,0,2023-01-31T01:12:16Z,170000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Right Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M41.00S,2023-01-31T01:12:32.1Z,1,REGULAR,3pt,Jump Shot,[],1630162,32.7734888304862,52.473958333333336,1610612750,0,0,2023-01-31T01:12:39Z,180000,False,-12.0,256.0,1,left,MISS A. Edwards 25' pullup 3PT,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,25.59,Missed,,,,,,,,,,,,,,,,,,
19,PT10M38.00S,2023-01-31T01:12:35.1Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,0,0,2023-01-31T01:12:39Z,190000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Center,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M28.00S,2023-01-31T01:12:44.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203084,92.19776609724047,49.01960784313725,1610612758,0,0,2023-01-31T01:12:48Z,200000,False,-5.0,21.0,1,right,MISS H. Barnes driving Layup,[203084],1610612758.0,SAC,driving,,,Barnes,H. Barnes,,,,,Restricted Area,0-8 Center,2.14,Missed,,,,,,,,,,,,,,,,,,
21,PT10M27.00S,2023-01-31T01:12:45.5Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,0,0,2023-01-31T01:12:48Z,210000,False,,,0,,R. Gobert REBOUND (Off:0 Def:2),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,20.0,2.0,2.0,0.0,,,,,,,,,,,,,,
22,PT10M08.00S,2023-01-31T01:13:04.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203937,9.674770039421814,36.029411764705884,1610612750,0,0,2023-01-31T01:13:09Z,220000,False,70.0,38.0,1,left,MISS K. Anderson 7' turnaround bank Shot,[203937],1610612750.0,MIN,turnaround bank,,,Anderson,K. Anderson,,,,,In The Paint (Non-RA),0-8 Center,7.98,Missed,,,,,,,,,,,,,,,,,,
23,PT10M06.00S,2023-01-31T01:13:06.5Z,1,REGULAR,rebound,defensive,[],1628989,,,1610612758,0,0,2023-01-31T01:13:09Z,230000,False,,,0,,K. Huerter REBOUND (Off:0 Def:2),[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,In The Paint (Non-RA),0-8 Center,,,22.0,2.0,2.0,0.0,,,,,,,,,,,,,,
24,PT10M01.00S,2023-01-31T01:13:11.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631099,91.14651773981603,50.98039215686274,1610612758,0,0,2023-01-31T01:13:18Z,240000,False,5.0,31.0,1,right,MISS K. Murray running Layup - blocked,"[1631099, 1630162]",1610612758.0,SAC,running,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,3.11,Missed,,,,,,,,,,,Edwards,1630162.0,,,,,,
25,PT10M01.00S,2023-01-31T01:13:11.6Z,1,REGULAR,block,,[],1630162,,,1610612758,0,0,2023-01-31T01:14:30Z,250000,False,,,0,,A. Edwards BLOCK (1 BLK),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
26,PT09M58.00S,2023-01-31T01:13:14.6Z,1,REGULAR,rebound,defensive,[],203937,,,1610612750,0,0,2023-01-31T01:13:18Z,260000,False,,,0,,K. Anderson REBOUND (Off:0 Def:1),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Restricted Area,0-8 Center,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,
27,PT09M53.00S,2023-01-31T01:13:19.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",203497,7.046649145860711,50.49019607843137,1610612750,2,0,2023-01-31T01:13:28Z,270000,False,-2.0,14.0,1,left,R. Gobert DUNK (2 PTS) (D. Russell 1 AST),"[203497, 1626156]",1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,1.39,Made,,,,,,,,,,,,,2.0,D. Russell,1626156.0,1.0,,
29,PT09M44.00S,2023-01-31T01:13:28.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631099,92.85479632063075,48.03921568627451,1610612758,2,2,2023-01-31T01:13:34Z,290000,False,-10.0,15.0,1,right,K. Murray cutting DUNK (2 PTS) (D. Fox 1 AST),"[1631099, 1628368]",1610612758.0,SAC,cutting,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,1.77,Made,,,,,,,,,,,,,2.0,D. Fox,1628368.0,1.0,,
31,PT09M21.00S,2023-01-31T01:13:51.1Z,1,REGULAR,2pt,Jump Shot,[],1630183,15.325229960578188,18.38235294117647,1610612750,2,2,2023-01-31T01:15:45Z,310000,False,158.0,92.0,1,left,MISS J. McDaniels 18' step back Shot,[1630183],1610612750.0,MIN,step back,,,McDaniels,J. McDaniels,,,,,Mid-Range,16-24 Right,18.27,Missed,,,,,,,,,,,,,,,,,,
