shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
12:00,2,PT12M00.00S,2022-12-08T01:10:36.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-08T01:10:36Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:57,4,PT11M57.00S,2022-12-08T01:10:38.6Z,1,REGULAR,jumpball,recovered,[],1626156,,,1610612750,0,0,2022-12-08T01:10:38Z,40000,False,,,0,,Jump Ball R. Gobert vs. M. Turner: Tip to D. Russell,"[1626156, 203497, 1626167]",0,1610612750.0,MIN,startperiod,D. Russell,1626156.0,Russell,D. Russell,Gobert,203497.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
11:41,7,PT11M41.00S,2022-12-08T01:10:54.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,7.703679369250986,52.450980392156865,1610612750,2,0,2022-12-08T01:10:59Z,70000,False,-12.0,20.0,1,left,R. Gobert cutting DUNK (2 PTS) (D. Russell 1 AST),"[203497, 1626156]",27,1610612750.0,MIN,cutting,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,2.34,Made,2.0,D. Russell,1626156.0,1.0,,,,,,,,,,,,,,
11:28,9,PT11M28.00S,2022-12-08T01:11:07.2Z,1,REGULAR,turnover,bad pass,[],1630174,,,1610612754,2,0,2022-12-08T01:11:12Z,90000,False,,,0,,A. Nesmith bad pass TURNOVER (1 TO),"[1630174, 1630162]",23,1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Left Center,,,,,,,1.0,Edwards,1630162.0,,,,,,,,,,,
11:28,10,PT11M28.00S,2022-12-08T01:11:07.2Z,1,REGULAR,steal,,[],1630162,,,1610612750,2,0,2022-12-08T01:11:10Z,100000,False,,,0,,A. Edwards STEAL (1 STL),[1630162],1,1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
11:25,11,PT11M25.00S,2022-12-08T01:11:10.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630162,7.30946123521682,49.01960784313725,1610612750,4,0,2022-12-08T01:11:16Z,110000,False,5.0,16.0,1,left,A. Edwards running DUNK (2 PTS),[1630162],1,1610612750.0,MIN,running,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,1.69,Made,2.0,,,,,,,,,,,,,,,,,
11:01,12,PT11M01.00S,2022-12-08T01:11:36.2Z,1,REGULAR,foul,personal,[],1626156,,,1610612754,4,0,2022-12-08T01:11:46Z,120000,False,,,0,,D. Russell personal FOUL (1 PF),"[1626156, 1630169]",0,1610612750.0,MIN,,,,Russell,D. Russell,,,,,Mid-Range,8-16 Right,,,,,,,,,,202049.0,1.0,0.0,Haliburton,1630169.0,,,,,,
10:54,14,PT10M54.00S,2022-12-08T01:11:59.8Z,1,REGULAR,3pt,Jump Shot,[],1627741,73.9323258869908,18.872549019607842,1610612754,4,3,2022-12-08T01:12:04Z,140000,False,-156.0,193.0,1,right,B. Hield 24' 3PT  (3 PTS) (T. Haliburton 1 AST),"[1627741, 1630169]",24,1610612754.0,IND,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Left Center,24.75,Made,3.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,,,,,
10:35,16,PT10M35.00S,2022-12-08T01:12:19.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203937,11.383048620236531,38.970588235294116,1610612750,6,3,2022-12-08T01:13:04Z,160000,False,55.0,55.0,1,left,K. Anderson 7' driving floating bank Jump Shot (2 PTS) (R. Gobert 1 AST),"[203937, 203497]",5,1610612750.0,MIN,driving floating bank,,,Anderson,K. Anderson,,,,,In The Paint (Non-RA),0-8 Center,7.75,Made,2.0,R. Gobert,203497.0,1.0,,,,,,,,,,,,,,
10:34,18,PT10M34.00S,2022-12-08T01:12:25.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,6,3,2022-12-08T01:12:25Z,180000,False,,,0,,IND Timeout,[],,1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
