actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-12T02:45:36.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-12T02:45:36Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-11-12T02:45:39.9Z,1,REGULAR,jumpball,recovered,[],1629630,,,1610612763,0,0,2022-11-12T02:45:39Z,40000,False,,,0,,Jump Ball S. Adams vs. R. Gobert: Tip to J. Morant,"[1629630, 203500, 203497]",1610612763.0,MEM,startperiod,J. Morant,1629630.0,Morant,J. Morant,Adams,203500.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-11-12T02:45:57.2Z,1,REGULAR,foul,personal,[],1630162,,,1610612763,0,0,2022-11-12T02:46:01Z,70000,False,,,0,,A. Edwards personal FOUL (1 PF),"[1630162, 1629630]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,201638.0,1.0,0.0,Morant,1629630.0,,,,,,,,,,,,,,,
10,PT11M37.00S,2022-11-12T02:46:27.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628415,7.5722733245729295,48.529411764705884,1610612763,0,0,2022-11-12T02:46:31Z,100000,False,7.0,19.0,1,left,MISS D. Brooks cutting Layup,[1628415],1610612763.0,MEM,cutting,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,,,,,,2.01,Missed,,,,,,,,,,,,,
11,PT11M35.00S,2022-11-12T02:46:29.2Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,0,0,2022-11-12T02:46:31Z,110000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M27.00S,2022-11-12T02:46:37.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,93.77463863337714,49.50980392156863,1610612750,0,2,2022-11-12T02:46:41Z,120000,False,-2.0,6.0,1,right,R. Gobert alley-oop DUNK (2 PTS) (A. Edwards 1 AST),"[203497, 1630162]",1610612750.0,MIN,alley-oop,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,0.65,Made,,,,,2.0,A. Edwards,1630162.0,1.0,,,,,
14,PT11M15.00S,2022-11-12T02:46:49.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,17.95335085413929,49.26470588235294,1610612763,2,2,2022-11-12T02:46:53Z,140000,False,4.0,116.0,1,left,J. Morant 11' driving floating Jump Shot (2 PTS),[1629630],1610612763.0,MEM,driving floating,,,Morant,J. Morant,,,,,In The Paint (Non-RA),8-16 Center,,,,,,11.64,Made,,,,,2.0,,,,,,,,
15,PT11M01.00S,2022-11-12T02:47:03.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630183,92.06636005256242,52.94117647058824,1610612750,2,2,2022-11-12T02:47:10Z,150000,False,15.0,22.0,1,right,MISS J. McDaniels driving Layup - blocked,"[1630183, 203500]",1610612750.0,MIN,driving,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,,,2.65,Missed,,,,,,,,,Adams,203500.0,,,
16,PT11M01.00S,2022-11-12T02:47:03.8Z,1,REGULAR,block,,[],203500,,,1610612750,2,2,2022-11-12T02:47:06Z,160000,False,,,0,,S. Adams BLOCK (1 BLK),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
17,PT10M58.00S,2022-11-12T02:47:06.8Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,2,2,2022-11-12T02:47:10Z,170000,False,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,
18,PT10M47.00S,2022-11-12T02:47:19.3Z,1,REGULAR,foul,personal,['2freethrow'],1626156,,,1610612763,2,2,2022-11-12T02:47:38Z,180000,False,,,0,,D. Russell shooting personal FOUL (1 PF) (Bane 2 FT),"[1626156, 1630217]",1610612750.0,MIN,shooting,,,Russell,D. Russell,,,,,In The Paint (Non-RA),8-16 Center,202035.0,1.0,0.0,Bane,1630217.0,,,,,,,,,,,,,,,
