actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-11-08T02:01:22.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-08T02:01:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-11-08T02:01:25.9Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2022-11-08T02:01:26Z,40000,False,,,0,,Jump Ball A. Horford vs. B. Clarke: Tip to M. Smart,"[203935, 201143, 1629634]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Horford,201143.0,Clarke,1629634.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2022-11-08T02:01:43.8Z,1,REGULAR,3pt,Jump Shot,[],1627759,81.42247043363994,4.901960784313726,1610612738,0,0,2022-11-08T02:01:47Z,70000,False,-225.0,122.0,1,right,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,25.64,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2022-11-08T02:01:46.8Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,0,0,2022-11-08T02:01:47Z,80000,False,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M30.00S,2022-11-08T02:01:50.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629630,6.783837056504599,53.67647058823529,1610612763,0,0,2022-11-08T02:01:54Z,90000,False,-18.0,11.0,1,left,MISS J. Morant running finger roll Layup - blocked,"[1629630, 1628369]",1610612763.0,MEM,running finger roll,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,2.16,Missed,,,,,Tatum,1628369.0,,,,,,,,,,,,
10,PT11M30.00S,2022-11-08T02:01:50.8Z,1,REGULAR,block,,[],1628369,,,1610612763,0,0,2022-11-08T02:01:52Z,100000,False,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M27.00S,2022-11-08T02:01:53.8Z,1,REGULAR,rebound,offensive,[],1629634,,,1610612763,0,0,2022-11-08T02:01:54Z,110000,False,,,0,,B. Clarke REBOUND (Off:1 Def:0),[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,Restricted Area,0-8 Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
12,PT11M17.00S,2022-11-08T02:02:04.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630217,33.722076215505915,31.61764705882353,1610612763,3,0,2022-11-08T02:02:07Z,120000,False,92.0,264.0,1,left,D. Bane 28' 3PT pullup (3 PTS),[1630217],1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,Above the Break 3,24+ Right Center,28.0,Made,,,,,,,3.0,,,,,,,,,,,
13,PT11M04.00S,2022-11-08T02:02:17.3Z,1,REGULAR,3pt,Jump Shot,[],203935,68.80749014454665,68.62745098039215,1610612738,3,0,2022-11-08T02:02:21Z,130000,False,93.0,241.0,1,right,MISS M. Smart 25' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Right Center,25.81,Missed,,,,,,,,,,,,,,,,,,
14,PT11M00.00S,2022-11-08T02:02:21.3Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,3,0,2022-11-08T02:02:21Z,140000,False,,,0,,J. Morant REBOUND (Off:0 Def:2),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,Above the Break 3,24+ Right Center,,,13.0,2.0,2.0,0.0,,,,,,,,,,,,,,
15,PT10M45.00S,2022-11-08T02:02:36.6Z,1,REGULAR,3pt,Jump Shot,[],1628415,28.86005256241787,77.20588235294117,1610612763,3,0,2022-11-08T02:02:40Z,150000,False,-136.0,219.0,1,left,MISS D. Brooks 25' 3PT,[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Left Center,25.76,Missed,,,,,,,,,,,,,,,,,,
16,PT10M41.00S,2022-11-08T02:02:40.6Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,3,0,2022-11-08T02:02:40Z,160000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M38.00S,2022-11-08T02:02:45.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1627759,92.72339027595268,50.245098039215684,1610612738,3,0,2022-11-08T02:02:56Z,170000,False,1.0,16.0,1,right,MISS J. Brown driving Layup - blocked,"[1627759, 1628415]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,1.59,Missed,,,,,Brooks,1628415.0,,,,,,,,,,,,
18,PT10M38.00S,2022-11-08T02:02:45.1Z,1,REGULAR,block,,[],1628415,,,1610612738,3,0,2022-11-08T02:02:47Z,180000,False,,,0,,D. Brooks BLOCK (1 BLK),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M38.00S,2022-11-08T02:02:45.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,3,0,2022-11-08T02:02:50Z,190000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Restricted Area,0-8 Center,,,17.0,,,,,,,,,,,,,,,,,
21,PT10M36.00S,2022-11-08T02:02:59.7Z,1,REGULAR,turnover,bad pass,[],1627759,,,1610612738,3,0,2022-11-08T02:03:02Z,210000,False,,,0,,J. Brown bad pass TURNOVER (1 TO),"[1627759, 1629630]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,8-16 Left,,,,,,,,,,1.0,Morant,1629630.0,,,,,,,,
22,PT10M36.00S,2022-11-08T02:02:59.7Z,1,REGULAR,steal,,[],1629630,,,1610612763,3,0,2022-11-08T02:03:01Z,220000,False,,,0,,J. Morant STEAL (1 STL),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
23,PT10M21.00S,2022-11-08T02:03:14.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629630,8.886333771353483,56.127450980392155,1610612763,3,0,2022-11-08T02:03:17Z,230000,False,-31.0,31.0,1,left,MISS J. Morant driving floating Shot - blocked,"[1629630, 201143]",1610612763.0,MEM,driving floating,,,Morant,J. Morant,,,,,In The Paint (Non-RA),0-8 Center,4.36,Missed,,,,,Horford,201143.0,,,,,,,,,,,,
24,PT10M21.00S,2022-11-08T02:03:14.0Z,1,REGULAR,block,,[],201143,,,1610612763,3,0,2022-11-08T02:03:16Z,240000,False,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
25,PT10M18.00S,2022-11-08T02:03:17.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,3,0,2022-11-08T02:03:17Z,250000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,
26,PT10M14.00S,2022-11-08T02:03:20.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1627759,91.01511169513797,53.431372549019606,1610612738,3,0,2022-11-08T02:03:30Z,260000,False,17.0,32.0,1,right,MISS J. Brown Layup - blocked,"[1627759, 1628415]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,3.63,Missed,,,,,Brooks,1628415.0,,,,,,,,,,,,
