actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-01-10T01:10:39.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-10T01:10:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2023-01-10T01:10:41.4Z,1,REGULAR,jumpball,recovered,[],1626145,,,1610612763,0,0,2023-01-10T01:10:41Z,40000,False,,,0,,Jump Ball S. Adams vs. J. Poeltl: Tip to T. Jones,"[1626145, 203500, 1627751]",1610612763.0,MEM,startperiod,T. Jones,1626145.0,Jones,T. Jones,Adams,203500.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT12M00.00S,2023-01-10T01:10:42.5Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612763,0,0,2023-01-10T01:10:53Z,70000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612763.0,MEM,,,,,,,,,,202007.0,,,,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2023-01-10T01:11:04.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630217,12.302890932982917,56.127450980392155,1610612763,0,0,2023-01-10T01:11:09Z,80000,False,-31.0,63.0,1,left,MISS D. Bane 7' driving floating Shot,[1630217],1610612763.0,MEM,driving floating,,,Bane,D. Bane,,,,,,In The Paint (Non-RA),0-8 Center,7.01,Missed,,,,,,,,,,,,,,,,,
9,PT11M33.00S,2023-01-10T01:11:05.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,0,0,2023-01-10T01:11:09Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,8.0,,,,,,,,,,,,,,,,
11,PT11M30.00S,2023-01-10T01:11:25.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628415,6.783837056504599,35.049019607843135,1610612763,0,0,2023-01-10T01:11:34Z,110000,False,75.0,11.0,1,left,MISS D. Brooks 7' fadeaway Shot,[1628415],1610612763.0,MEM,fadeaway,,,Brooks,D. Brooks,,,,,,In The Paint (Non-RA),0-8 Center,7.56,Missed,,,,,,,,,,,,,,,,,
12,PT11M29.00S,2023-01-10T01:11:26.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612759,0,0,2023-01-10T01:11:34Z,120000,False,,,0,,TEAM defensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,11.0,,,,,,,,,,,,,,,,
14,PT11M14.00S,2023-01-10T01:11:52.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631110,92.46057818659659,41.17647058823529,1610612759,0,0,2023-01-10T01:11:56Z,140000,False,-44.0,18.0,1,right,MISS J. Sochan Layup - blocked,"[1631110, 1628991]",1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,In The Paint (Non-RA),0-8 Center,4.78,Missed,,Jackson Jr.,1628991.0,,,,,,,,,,,,,,
15,PT11M14.00S,2023-01-10T01:11:52.5Z,1,REGULAR,block,,[],1628991,,,1610612759,0,0,2023-01-10T01:11:54Z,150000,False,,,0,,J. Jackson Jr. BLOCK (1 BLK),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
16,PT11M14.00S,2023-01-10T01:11:52.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,0,0,2023-01-10T01:11:56Z,160000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,14.0,,,,,,,,,,,,,,,,
18,PT11M05.00S,2023-01-10T01:12:14.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629641,86.41590013140605,62.99019607843137,1610612759,0,0,2023-01-10T01:12:18Z,180000,False,65.0,75.0,1,right,MISS R. Langford 9' driving floating Shot,[1629641],1610612759.0,SAS,driving floating,,,Langford,R. Langford,,,,,,In The Paint (Non-RA),8-16 Right,9.94,Missed,,,,,,,,,,,,,,,,,
