actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-11-19T01:10:38.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-19T01:10:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-11-19T01:10:42.0Z,1,REGULAR,jumpball,recovered,[],1629652,,,1610612760,0,0,2022-11-19T01:10:42Z,40000,False,,,0,,Jump Ball A. Pokusevski vs. S. Adams: Tip to L. Dort,"[1629652, 1630197, 203500]",1610612760.0,OKC,startperiod,L. Dort,1629652.0,Dort,L. Dort,Pokusevski,1630197.0,Adams,203500.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2022-11-19T01:10:59.9Z,1,REGULAR,violation,kicked ball,[],1628991,,,1610612760,0,0,2022-11-19T01:11:07Z,80000,False,,,0,,J. Jackson Jr. kicked ball VIOLATION,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,1193.0,,,,,,,,,,,,,,,,,,,,,
9,PT11M41.00S,2022-11-19T01:11:10.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631114,92.85479632063075,47.30392156862745,1610612760,0,0,2022-11-19T01:11:15Z,90000,False,-13.0,15.0,1,right,MISS J. Williams driving floating bank Shot,[1631114],1610612760.0,OKC,driving floating bank,,,Williams,J. Williams,,,,,,Restricted Area,0-8 Center,2.0,Missed,,,,,,,,,,,,,,,,,
10,PT11M35.00S,2022-11-19T01:11:15.3Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,0,0,2022-11-19T01:11:15Z,100000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT11M30.00S,2022-11-19T01:11:21.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628991,6.915243101182654,50.245098039215684,1610612763,2,0,2022-11-19T01:11:25Z,110000,False,-1.0,13.0,1,left,J. Jackson Jr. alley-oop DUNK (2 PTS) (J. Morant 1 AST),"[1628991, 1629630]",1610612763.0,MEM,alley-oop,,,Jackson Jr.,J. Jackson Jr.,,,,,,Restricted Area,0-8 Center,1.26,Made,,,,,2.0,J. Morant,1629630.0,1.0,,,,,,,,,
13,PT11M13.00S,2022-11-19T01:11:37.8Z,1,REGULAR,turnover,lost ball,[],1630581,,,1610612760,2,0,2022-11-19T04:35:27Z,130000,False,,,0,,J. Giddey lost ball TURNOVER (1 TO),"[1630581, 1628415]",1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1.0,Brooks,1628415.0,,,,,,
14,PT11M13.00S,2022-11-19T01:11:37.8Z,1,REGULAR,steal,,[],1628415,,,1610612763,2,0,2022-11-19T01:11:39Z,140000,False,,,0,,D. Brooks STEAL (1 STL),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,
15,PT11M09.00S,2022-11-19T01:11:42.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629723,7.835085413929041,52.94117647058824,1610612763,2,0,2022-11-19T01:11:46Z,150000,False,-15.0,21.0,1,left,MISS J. Konchar running Layup - blocked,"[1629723, 1630197]",1610612763.0,MEM,running,,,Konchar,J. Konchar,,,,,,Restricted Area,0-8 Center,2.57,Missed,,,,,,,,,,,,Pokusevski,1630197.0,,,,
16,PT11M09.00S,2022-11-19T01:11:42.2Z,1,REGULAR,block,,[],1630197,,,1610612763,2,0,2022-11-19T01:11:44Z,160000,False,,,0,,A. Pokusevski BLOCK (1 BLK),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
