actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2023-01-02T01:10:30.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-02T01:10:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-01-02T01:10:34.3Z,1,REGULAR,jumpball,recovered,[],1629630,,,1610612763,0,0,2023-01-02T01:10:34Z,40000,False,,,0,,Jump Ball S. Adams vs. D. Sabonis: Tip to J. Morant,"[1629630, 203500, 1627734]",1610612763.0,MEM,startperiod,J. Morant,1629630.0,Morant,J. Morant,Adams,203500.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-01-02T01:10:46.2Z,1,REGULAR,turnover,bad pass,[],1629630,,,1610612763,0,0,2023-01-02T01:10:51Z,70000,False,,,0,,J. Morant bad pass TURNOVER (1 TO),"[1629630, 1627734]",1610612763.0,MEM,,,,Morant,J. Morant,,,,,Above the Break 3,24+ Left Center,1.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2023-01-02T01:10:46.2Z,1,REGULAR,steal,,[],1627734,,,1610612758,0,0,2023-01-02T01:10:48Z,80000,False,,,0,,D. Sabonis STEAL (1 STL),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
9,PT11M22.00S,2023-01-02T01:11:08.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631099,92.59198423127464,53.18627450980392,1610612758,0,0,2023-01-02T01:12:29Z,90000,False,16.0,17.0,1,right,MISS K. Murray driving Layup,[1631099],1610612758.0,SAC,driving,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,,,,2.33,Missed,,,,,,,,,,,,,,,
10,PT11M18.00S,2023-01-02T01:11:12.4Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612758,0,0,2023-01-02T01:12:29Z,100000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:0),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,
11,PT11M18.00S,2023-01-02T01:11:11.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627734,94.40999984741211,50.0,1610612758,0,2,2023-01-02T01:11:11Z,110000,False,0.0,0.0,1,right,D. Sabonis tip Layup (2 PTS),[1627734],1610612758.0,SAC,tip,,,Sabonis,D. Sabonis,,,,,Mid-Range,8-16 Left,,,,0.0,Made,,,,,2.0,,,,,,,,,,
12,PT11M13.00S,2023-01-02T01:11:17.8Z,1,REGULAR,turnover,lost ball,[],1628415,,,1610612763,0,2,2023-01-02T01:11:21Z,120000,False,,,0,,D. Brooks lost ball TURNOVER (1 TO),"[1628415, 1631099]",1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,1.0,Murray,1631099.0,,,,,,,,,,,,,,,,,
13,PT11M13.00S,2023-01-02T01:11:17.8Z,1,REGULAR,steal,,[],1631099,,,1610612758,0,2,2023-01-02T01:12:07Z,130000,False,,,0,,K. Murray STEAL (1 STL),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
14,PT11M08.00S,2023-01-02T01:11:21.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628989,81.15965834428384,92.40196078431373,1610612758,0,2,2023-01-02T01:11:26Z,140000,False,212.0,125.0,1,right,MISS K. Huerter 24' running 3PT,[1628989],1610612758.0,SAC,running,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Right Center,,,,24.59,Missed,,,,,,,,,,,,,,,
