shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
12:00,2,PT12M00.00S,2022-12-10T01:10:16.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-10T01:10:16Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:58,4,PT11M58.00S,2022-12-10T01:10:18.1Z,1,REGULAR,jumpball,recovered,[],1629630,,,1610612763,0,0,2022-12-10T01:10:18Z,40000,False,,,0,,Jump Ball S. Adams vs. J. Duren: Tip to J. Morant,"[1629630, 203500, 1631105]",12,1610612763.0,MEM,startperiod,J. Morant,1629630.0,Morant,J. Morant,Adams,203500.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
11:45,7,PT11M45.00S,2022-12-10T01:10:31.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203500,5.995400788436268,50.245098039215684,1610612763,2,0,2022-12-10T01:10:35Z,70000,False,-1.0,4.0,1,left,S. Adams alley-oop DUNK (2 PTS) (J. Morant 1 AST),"[203500, 1629630]",4,1610612763.0,MEM,alley-oop,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,0.41,Made,2.0,J. Morant,1629630.0,1.0,,,,,,,,,,,,,,
11:20,10,PT11M20.00S,2022-12-10T01:11:15.7Z,1,REGULAR,turnover,bad pass,[],1630165,,,1610612765,2,0,2022-12-10T01:11:18Z,100000,False,,,0,,K. Hayes bad pass TURNOVER (1 TO),"[1630165, 1629630]",7,1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Mid-Range,16-24 Left,,,,,,,1.0,Morant,1629630.0,,,,,,,,,,,
11:20,11,PT11M20.00S,2022-12-10T01:11:15.7Z,1,REGULAR,steal,,[],1629630,,,1610612763,2,0,2022-12-10T01:11:17Z,110000,False,,,0,,J. Morant STEAL (1 STL),[1629630],12,1610612763.0,MEM,,,,Morant,J. Morant,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
11:13,12,PT11M13.00S,2022-12-10T01:11:22.8Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",203500,9.017739816031538,44.11764705882353,1610612763,4,0,2022-12-10T01:19:26Z,120000,False,29.0,32.0,1,left,S. Adams driving bank Hook (4 PTS) (D. Brooks 1 AST),"[203500, 1628415]",4,1610612763.0,MEM,driving bank,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,4.37,Made,4.0,D. Brooks,1628415.0,1.0,,,,,,,,,,,,,,
11:02,14,PT11M02.00S,2022-12-10T01:11:33.6Z,1,REGULAR,3pt,Jump Shot,[],1631093,72.61826544021025,21.323529411764707,1610612765,4,0,2022-12-10T01:11:36Z,140000,False,-143.0,205.0,1,right,MISS J. Ivey 25' 3PT,[1631093],23,1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Left Center,25.01,Missed,,,,,,,,,,,,,,,,,,
11:00,15,PT11M00.00S,2022-12-10T01:11:35.6Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,4,0,2022-12-10T01:11:36Z,150000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],13,1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,
10:52,16,PT10M52.00S,2022-12-10T01:11:44.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203500,12.828515111695138,59.55882352941176,1610612763,4,0,2022-12-10T01:11:47Z,160000,False,-48.0,68.0,1,left,MISS S. Adams 8' turnaround Hook,[203500],4,1610612763.0,MEM,turnaround,,,Adams,S. Adams,,,,,In The Paint (Non-RA),8-16 Left,8.32,Missed,,,,,,,,,,,,,,,,,,
10:50,17,PT10M50.00S,2022-12-10T01:11:46.3Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,4,0,2022-12-10T01:11:47Z,170000,False,,,0,,J. Duren REBOUND (Off:0 Def:1),[1631105],0,1610612765.0,DET,,,,Duren,J. Duren,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,
