actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-05T00:11:01.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-05T00:11:01Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-11-05T00:11:05.6Z,1,REGULAR,jumpball,recovered,[],1630583,,,1610612763,0,0,2022-11-05T00:11:05Z,40000,,,0,,Jump Ball S. Adams vs. M. Plumlee: Tip to S. Aldama,"[1630583, 203500, 203486]",1610612763.0,MEM,startperiod,S. Aldama,1630583.0,Aldama,S. Aldama,Adams,203500.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-11-05T00:11:16.8Z,1,REGULAR,2pt,Jump Shot,[],1630217,7.440867279894875,75.24509803921569,1610612763,0,0,2022-11-05T00:11:27Z,70000,-126.0,17.0,1,left,MISS D. Bane 12' pullup Shot,[1630217],1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,Mid-Range,8-16 Left,12.74,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-11-05T00:11:20.8Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,0,0,2022-11-05T00:11:27Z,80000,,,0,,S. Adams REBOUND (Off:1 Def:0),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Mid-Range,8-16 Left,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M29.00S,2022-11-05T00:11:31.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203500,8.09789750328515,46.81372549019608,1610612763,2,0,2022-11-05T00:11:39Z,90000,16.0,24.0,1,left,S. Adams finger roll Layup (2 PTS) (J. Morant 1 AST),"[203500, 1629630]",1610612763.0,MEM,finger roll,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,2.85,Made,,,,,2.0,J. Morant,1629630.0,1.0,,,,,,,,,,
11,PT11M11.00S,2022-11-05T00:11:49.9Z,1,REGULAR,3pt,Jump Shot,[],1629667,77.61169513797634,10.53921568627451,1610612766,2,0,2022-11-05T00:11:55Z,110000,-197.0,158.0,1,right,MISS J. McDaniels 25' 3PT,[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Left Center,25.28,Missed,,,,,,,,,,,,,,,,,,
12,PT11M08.00S,2022-11-05T00:11:52.9Z,1,REGULAR,rebound,defensive,[],1630583,,,1610612763,2,0,2022-11-05T00:11:55Z,120000,,,0,,S. Aldama REBOUND (Off:0 Def:1),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Above the Break 3,24+ Left Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M01.00S,2022-11-05T00:11:59.8Z,1,REGULAR,turnover,lost ball,[],1629630,,,1610612763,2,0,2022-11-05T00:12:06Z,130000,,,0,,J. Morant lost ball TURNOVER (1 TO),"[1629630, 1629667]",1610612763.0,MEM,,,,Morant,J. Morant,,,,,Mid-Range,8-16 Center,,,,,,,,,,,1.0,McDaniels,1629667.0,,,,,,,
14,PT11M01.00S,2022-11-05T00:11:59.8Z,1,REGULAR,steal,,[],1629667,,,1610612766,2,0,2022-11-05T00:12:02Z,140000,,,0,,J. McDaniels STEAL (1 STL),[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
15,PT10M56.00S,2022-11-05T00:12:04.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203486,93.24901445466492,48.03921568627451,1610612766,2,2,2022-11-05T00:12:17Z,150000,-10.0,11.0,1,right,M. Plumlee running Layup (2 PTS) (J. McDaniels 1 AST),"[203486, 1629667]",1610612766.0,CHA,running,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,1.47,Made,,,,,2.0,J. McDaniels,1629667.0,1.0,,,,,,,,,,
