actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
47,PT09M22.00S,2022-12-16T01:18:52.7Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628415,,,1610612763,5,0,2022-12-16T01:18:52Z,470000,False,,,0,,D. Brooks flagrant Free Throw 2 of 2 (4 PTS),[1628415],1610612763.0,MEM,flagrant,,,Brooks,D. Brooks,,,,,,,,Made,,,,,,,,,,4.0,,,,,,,,
48,PT09M11.00S,2022-12-16T01:19:21.9Z,1,REGULAR,foul,personal,['2freethrow'],201572,,,1610612763,5,0,2022-12-16T01:19:32Z,480000,False,,,0,,B. Lopez shooting personal FOUL (1 PF) (Jackson Jr. 2 FT),"[201572, 1628991]",1610612749.0,MIL,shooting,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,2714.0,1.0,0.0,Jackson Jr.,1628991.0,,,,,,,,,
50,PT09M11.00S,2022-12-16T01:19:41.9Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628991,,,1610612763,5,0,2022-12-16T01:19:41Z,500000,False,,,0,,MISS J. Jackson Jr. Free Throw 1 of 2,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
51,PT09M11.00S,2022-12-16T01:19:41.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612763,5,0,2022-12-16T01:19:41Z,510000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
52,PT09M11.00S,2022-12-16T01:19:57.5Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628991,,,1610612763,6,0,2022-12-16T01:19:57Z,520000,False,,,0,,J. Jackson Jr. Free Throw 2 of 2 (1 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
53,PT08M55.00S,2022-12-16T01:20:14.0Z,1,REGULAR,foul,personal,['2freethrow'],1628991,,,1610612749,6,0,2022-12-16T01:20:21Z,530000,False,,,0,,J. Jackson Jr. shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1628991, 203507]",1610612763.0,MEM,shooting,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,,,,,2714.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,,
55,PT08M55.00S,2022-12-16T01:20:46.7Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,6,1,2022-12-16T01:20:46Z,550000,False,,,0,,G. Antetokounmpo Free Throw 1 of 2 (1 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
56,PT08M55.00S,2022-12-16T01:21:07.7Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,6,2,2022-12-16T01:21:07Z,560000,False,,,0,,G. Antetokounmpo Free Throw 2 of 2 (2 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
57,PT08M45.00S,2022-12-16T01:21:20.4Z,1,REGULAR,3pt,Jump Shot,[],1629630,67.36202365308804,40.68627450980392,1610612763,9,2,2022-12-16T01:21:29Z,570000,False,-47.0,254.0,1,right,J. Morant 25' 3PT pullup (4 PTS) (D. Brooks 1 AST),"[1629630, 1628415]",1610612763.0,MEM,pullup,,,Morant,J. Morant,,,,,Above the Break 3,24+ Center,25.85,Made,,,,,,,,,,4.0,,,,,,D. Brooks,1628415.0,1.0
59,PT08M26.00S,2022-12-16T01:21:40.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628960,6.521024967148489,48.03921568627451,1610612749,9,4,2022-12-16T01:21:43Z,590000,False,10.0,9.0,1,left,G. Allen driving reverse Layup (2 PTS),[1628960],1610612749.0,MIL,driving reverse,,,Allen,G. Allen,,,,,Restricted Area,0-8 Center,1.32,Made,,,,,,,,,,2.0,,,,,,,,
60,PT08M18.00S,2022-12-16T01:21:47.7Z,1,REGULAR,3pt,Jump Shot,[],1629630,67.09921156373193,70.83333333333334,1610612763,9,4,2022-12-16T01:24:50Z,600000,False,104.0,257.0,1,right,MISS J. Morant 27' pullup 3PT,[1629630],1610612763.0,MEM,pullup,,,Morant,J. Morant,,,,,Above the Break 3,24+ Right Center,27.71,Missed,,,,,,,,,,,,,,,,,,
61,PT08M14.00S,2022-12-16T01:21:51.7Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,9,4,2022-12-16T01:21:53Z,610000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Right Center,,,60.0,1.0,1.0,0.0,,,,,,,,,,,,,,
62,PT08M08.00S,2022-12-16T01:21:58.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203507,7.440867279894875,40.19607843137255,1610612749,9,4,2022-12-16T01:22:04Z,620000,False,49.0,17.0,1,left,MISS G. Antetokounmpo driving floating bank Shot,[203507],1610612749.0,MIL,driving floating bank,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,5.2,Missed,,,,,,,,,,,,,,,,,,
63,PT08M05.00S,2022-12-16T01:22:01.0Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,9,4,2022-12-16T01:22:04Z,630000,False,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:2),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,62.0,3.0,2.0,1.0,,,,,,,,,,,,,,
64,PT08M02.00S,2022-12-16T01:22:03.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629723,94.82588699080158,52.20588235294118,1610612763,9,4,2022-12-16T01:22:19Z,640000,False,11.0,-4.0,1,right,MISS J. Konchar running reverse Layup,[1629723],1610612763.0,MEM,running reverse,,,Konchar,J. Konchar,,,,,Restricted Area,0-8 Center,1.17,Missed,,,,,,,,,,,,,,,,,,
65,PT08M02.00S,2022-12-16T01:22:03.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612749,9,4,2022-12-16T01:22:19Z,650000,False,,,0,,TEAM defensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Restricted Area,0-8 Center,,,64.0,,,,,,,,,,,,,,,,,
68,PT08M02.00S,2022-12-16T01:22:22.4Z,1,REGULAR,foul,personal,[],203500,,,1610612749,9,4,2022-12-16T01:25:21Z,680000,False,,,0,,S. Adams loose ball personal FOUL (1 PF),"[203500, 1628960]",1610612763.0,MEM,loose ball,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,,,,,,,2714.0,1.0,0.0,Allen,1628960.0,,,,,,,,,
70,PT07M49.00S,2022-12-16T01:22:37.7Z,1,REGULAR,3pt,Jump Shot,[],201572,28.07161629434954,77.94117647058823,1610612749,9,4,2022-12-16T01:22:42Z,700000,False,-140.0,211.0,1,left,MISS B. Lopez 25' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Left Center,25.34,Missed,,,,,,,,,,,,,,,,,,
71,PT07M45.00S,2022-12-16T01:22:41.7Z,1,REGULAR,rebound,defensive,[],1629723,,,1610612763,9,4,2022-12-16T01:22:42Z,710000,False,,,0,,J. Konchar REBOUND (Off:0 Def:2),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,Above the Break 3,24+ Left Center,,,70.0,2.0,2.0,0.0,,,,,,,,,,,,,,
72,PT07M37.00S,2022-12-16T01:22:49.5Z,1,REGULAR,3pt,Jump Shot,[],1628415,73.14388961892247,81.61764705882352,1610612763,9,4,2022-12-16T01:22:53Z,720000,False,158.0,200.0,1,right,MISS D. Brooks 25' 3PT,[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,25.49,Missed,,,,,,,,,,,,,,,,,,
73,PT07M33.00S,2022-12-16T01:22:53.5Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,9,4,2022-12-16T01:22:53Z,730000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Right Center,,,72.0,2.0,2.0,0.0,,,,,,,,,,,,,,
74,PT07M25.00S,2022-12-16T01:23:01.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201572,7.046649145860711,48.77450980392157,1610612749,9,4,2022-12-16T01:23:05Z,740000,False,6.0,14.0,1,left,MISS B. Lopez alley-oop Layup,[201572],1610612749.0,MIL,alley-oop,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,1.5,Missed,,,,,,,,,,,,,,,,,,
75,PT07M24.00S,2022-12-16T01:23:02.8Z,1,REGULAR,rebound,offensive,[],201572,,,1610612749,9,4,2022-12-16T01:23:02Z,750000,False,,,0,,B. Lopez REBOUND (Off:1 Def:0),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,74.0,1.0,0.0,1.0,,,,,,,,,,,,,,
76,PT07M24.00S,2022-12-16T01:23:04.4Z,1,REGULAR,foul,personal,['2freethrow'],1628991,,,1610612749,9,4,2022-12-16T01:23:14Z,760000,False,,,0,,J. Jackson Jr. shooting personal FOUL (2 PF) (Lopez 2 FT),"[1628991, 201572]",1610612763.0,MEM,shooting,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,,,,,204058.0,2.0,0.0,Lopez,201572.0,,,,,,,,,
78,PT07M24.00S,2022-12-16T01:23:37.0Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],201572,,,1610612749,9,5,2022-12-16T01:23:37Z,780000,False,,,0,,B. Lopez Free Throw 1 of 2 (1 PTS),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
79,PT07M24.00S,2022-12-16T01:23:51.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,9,5,2022-12-16T01:23:51Z,790000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT07M24.00S,2022-12-16T01:24:57.5Z,1,REGULAR,substitution,out,[],1628991,,,1610612749,9,5,2022-12-16T01:26:36Z,800000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT07M24.00S,2022-12-16T01:24:57.5Z,1,REGULAR,substitution,out,[],1628960,,,1610612749,9,5,2022-12-16T01:26:36Z,810000,False,,,0,,SUB out: G. Allen,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT07M24.00S,2022-12-16T01:24:57.5Z,1,REGULAR,substitution,out,[],203114,,,1610612749,9,5,2022-12-16T01:26:36Z,820000,False,,,0,,SUB out: K. Middleton,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT07M24.00S,2022-12-16T01:24:57.5Z,1,REGULAR,substitution,in,[],1630583,,,1610612749,9,5,2022-12-16T01:26:36Z,830000,False,,,0,,SUB in: S. Aldama,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT07M24.00S,2022-12-16T01:24:57.5Z,1,REGULAR,substitution,in,[],1626192,,,1610612749,9,5,2022-12-16T01:26:36Z,840000,False,,,0,,SUB in: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT07M24.00S,2022-12-16T01:24:57.5Z,1,REGULAR,substitution,in,[],1626171,,,1610612749,9,5,2022-12-16T01:26:36Z,850000,False,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT07M24.00S,2022-12-16T01:26:48.5Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],201572,,,1610612749,9,6,2022-12-16T01:26:48Z,860000,False,,,0,,B. Lopez Free Throw 2 of 2 (2 PTS),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
87,PT07M12.00S,2022-12-16T01:27:01.5Z,1,REGULAR,3pt,Jump Shot,[],1629723,69.33311432325887,25.98039215686275,1610612763,12,6,2022-12-16T01:27:05Z,870000,False,-120.0,236.0,1,right,J. Konchar 26' 3PT  (3 PTS) (J. Morant 1 AST),"[1629723, 1629630]",1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,Above the Break 3,24+ Left Center,26.46,Made,,,,,,,,,,3.0,,,,,,J. Morant,1629630.0,1.0
89,PT06M55.00S,2022-12-16T01:27:19.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203507,18.74178712220762,48.77450980392157,1610612749,12,8,2022-12-16T01:27:24Z,890000,False,6.0,124.0,1,left,G. Antetokounmpo 12' step back Jump Shot (4 PTS),[203507],1610612749.0,MIL,step back,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),8-16 Center,12.39,Made,,,,,,,,,,4.0,,,,,,,,
90,PT06M44.00S,2022-12-16T01:27:29.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,84.1819973718791,41.17647058823529,1610612763,14,8,2022-12-16T01:27:34Z,900000,False,-44.0,96.0,1,right,J. Morant 10' turnaround Jump Shot (6 PTS),[1629630],1610612763.0,MEM,turnaround,,,Morant,J. Morant,,,,,In The Paint (Non-RA),8-16 Center,10.58,Made,,,,,,,,,,6.0,,,,,,,,
