actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2022-12-16T01:10:44.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-16T01:10:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-12-16T01:10:47.4Z,1,REGULAR,jumpball,recovered,[],1628991,,,1610612763,0,0,2022-12-16T01:10:47Z,40000,False,,,0,,Jump Ball S. Adams vs. B. Lopez: Tip to J. Jackson Jr.,"[1628991, 203500, 201572]",1610612763.0,MEM,startperiod,J. Jackson Jr.,1628991.0,Jackson Jr.,J. Jackson Jr.,Adams,203500.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2022-12-16T01:11:09.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,82.7365308804205,58.08823529411765,1610612763,0,0,2022-12-16T01:12:21Z,70000,False,40.0,110.0,1,right,MISS D. Brooks 11' step back Shot,[1628415],1610612763.0,MEM,step back,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Center,11.7,Missed,,,,,,,,,,,,,,,,,,
8,PT11M29.00S,2022-12-16T01:11:14.0Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612749,0,0,2022-12-16T01:11:14Z,80000,False,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M17.00S,2022-12-16T01:11:25.6Z,1,REGULAR,3pt,Jump Shot,[],201572,31.225361366622867,63.48039215686274,1610612749,0,0,2022-12-16T01:11:30Z,90000,False,-67.0,241.0,1,left,MISS B. Lopez 25' pullup 3PT,[201572],1610612749.0,MIL,pullup,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Center,25.02,Missed,,,,,,,,,,,,,,,,,,
10,PT11M15.00S,2022-12-16T01:11:27.6Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,0,0,2022-12-16T01:11:30Z,100000,False,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,Above the Break 3,24+ Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M08.00S,2022-12-16T01:11:34.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629630,65.65374507227332,53.431372549019606,1610612763,0,0,2022-12-16T01:11:44Z,110000,False,17.0,270.0,1,right,MISS J. Morant 27' running pullup 3PT,[1629630],1610612763.0,MEM,running pullup,,,Morant,J. Morant,,,,,Above the Break 3,24+ Center,27.09,Missed,,,,,,,,,,,,,,,,,,
12,PT11M01.00S,2022-12-16T01:11:41.2Z,1,REGULAR,rebound,offensive,[],1628991,,,1610612763,0,0,2022-12-16T01:11:53Z,120000,False,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:0),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Center,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,
14,PT10M55.00S,2022-12-16T01:12:24.2Z,1,REGULAR,foul,personal,['2freethrow'],1628975,,,1610612763,0,0,2022-12-16T01:12:38Z,140000,False,,,0,,J. Carter shooting personal FOUL (1 PF) (Morant 2 FT),"[1628975, 1629630]",1610612749.0,MIL,shooting,,,Carter,J. Carter,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,204058.0,1.0,0.0,Morant,1629630.0,,,,,,,,,
16,PT10M55.00S,2022-12-16T01:12:48.3Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629630,,,1610612763,0,0,2022-12-16T01:12:48Z,160000,False,,,0,,MISS J. Morant Free Throw 1 of 2,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
17,PT10M55.00S,2022-12-16T01:12:48.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612763,0,0,2022-12-16T01:12:48Z,170000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,
18,PT10M55.00S,2022-12-16T01:12:59.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629630,,,1610612763,1,0,2022-12-16T01:12:59Z,180000,False,,,0,,J. Morant Free Throw 2 of 2 (1 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
19,PT10M45.00S,2022-12-16T01:13:14.6Z,1,REGULAR,foul,personal,[],1628415,,,1610612749,1,0,2022-12-16T01:13:21Z,190000,False,,,0,,D. Brooks personal FOUL (1 PF),"[1628415, 203114]",1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,,,,,,,2714.0,1.0,0.0,Middleton,203114.0,,,,,,,,,
21,PT10M37.00S,2022-12-16T01:13:41.9Z,1,REGULAR,3pt,Jump Shot,[],203114,31.750985545335087,60.29411764705882,1610612749,1,0,2022-12-16T01:13:45Z,210000,False,-51.0,246.0,1,left,MISS K. Middleton 25' 3PT,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Center,25.13,Missed,,,,,,,,,,,,,,,,,,
22,PT10M35.00S,2022-12-16T01:13:43.9Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,1,0,2022-12-16T01:13:45Z,220000,False,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Center,,,21.0,2.0,1.0,1.0,,,,,,,,,,,,,,
23,PT10M29.00S,2022-12-16T01:13:50.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1629630,83.78777923784494,56.372549019607845,1610612763,1,0,2022-12-16T01:14:08Z,230000,False,32.0,100.0,1,right,MISS J. Morant 10' driving floating Shot,[1629630],1610612763.0,MEM,driving floating,,,Morant,J. Morant,,,,,In The Paint (Non-RA),8-16 Center,10.49,Missed,,,,,,,,,,,,,,,,,,
24,PT10M25.00S,2022-12-16T01:13:54.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,1,0,2022-12-16T01:24:08Z,240000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,23.0,,,,,,,,,,,,,,,,,
25,PT10M22.00S,2022-12-16T01:14:22.8Z,1,REGULAR,jumpball,recovered,[],1628415,,,1610612763,1,0,2022-12-16T01:24:25Z,250000,False,,,0,,Jump Ball S. Adams vs. K. Middleton: Tip to D. Brooks,"[1628415, 203500, 203114]",1610612763.0,MEM,heldball,D. Brooks,1628415.0,Brooks,D. Brooks,Adams,203500.0,Middleton,203114.0,,,,,,,,,,,,,,,,,,,,,,
30,PT10M17.00S,2022-12-16T01:14:27.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628415,92.85479632063075,52.94117647058824,1610612763,3,0,2022-12-16T01:24:20Z,300000,False,15.0,15.0,1,right,D. Brooks driving finger roll Layup (2 PTS),[1628415],1610612763.0,MEM,driving finger roll,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,2.08,Made,,,,,,,,,,2.0,,,,,,,,
31,PT10M03.00S,2022-12-16T01:14:43.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,10.463206307490145,45.09803921568628,1610612749,3,0,2022-12-16T01:15:11Z,310000,False,25.0,46.0,1,left,MISS G. Antetokounmpo driving Layup - blocked,"[203507, 203500]",1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,5.2,Missed,,,,,,,,,,,Adams,203500.0,,,,,,
32,PT10M03.00S,2022-12-16T01:14:43.2Z,1,REGULAR,block,,[],203500,,,1610612749,3,0,2022-12-16T01:14:46Z,320000,False,,,0,,S. Adams BLOCK (1 BLK),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
36,PT10M00.00S,2022-12-16T01:14:46.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,3,0,2022-12-16T01:15:11Z,330000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,31.0,,,,,,,,,,,,,,,,,
33,PT10M00.00S,2022-12-16T01:15:10.7Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,3,0,2022-12-16T01:15:10Z,340000,False,,,0,,Jump Ball G. Antetokounmpo vs. S. Adams: Tip to G. Antetokounmpo,"[203507, 203507, 203500]",1610612749.0,MIL,heldball,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Antetokounmpo,203507.0,Adams,203500.0,,,,,,,,,,,,,,,,,,,,,,
37,PT09M53.00S,2022-12-16T01:15:18.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203114,17.95335085413929,68.87254901960785,1610612749,3,0,2022-12-16T01:15:22Z,370000,False,-94.0,116.0,1,left,MISS K. Middleton 14' turnaround fadeaway Shot,[203114],1610612749.0,MIL,turnaround fadeaway,,,Middleton,K. Middleton,,,,,Mid-Range,8-16 Left,14.98,Missed,,,,,,,,,,,,,,,,,,
38,PT09M49.00S,2022-12-16T01:15:22.0Z,1,REGULAR,rebound,defensive,[],1629723,,,1610612763,3,0,2022-12-16T01:15:22Z,380000,False,,,0,,J. Konchar REBOUND (Off:0 Def:1),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,Mid-Range,8-16 Left,,,37.0,1.0,1.0,0.0,,,,,,,,,,,,,,
39,PT09M38.00S,2022-12-16T01:15:33.0Z,1,REGULAR,2pt,Jump Shot,[],1628415,74.19513797634691,41.66666666666667,1610612763,3,0,2022-12-16T01:15:38Z,390000,False,-42.0,190.0,1,right,MISS D. Brooks 19' step back Shot,[1628415],1610612763.0,MEM,step back,,,Brooks,D. Brooks,,,,,Mid-Range,16-24 Center,19.46,Missed,,,,,,,,,,,,,,,,,,
40,PT09M32.00S,2022-12-16T01:15:39.0Z,1,REGULAR,rebound,defensive,[],203114,,,1610612749,3,0,2022-12-16T01:15:38Z,400000,False,,,0,,K. Middleton REBOUND (Off:0 Def:1),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,Mid-Range,16-24 Center,,,39.0,1.0,1.0,0.0,,,,,,,,,,,,,,
41,PT09M23.00S,2022-12-16T01:15:47.6Z,1,REGULAR,turnover,lost ball,[],203114,,,1610612749,3,0,2022-12-16T01:15:51Z,410000,False,,,0,,K. Middleton lost ball TURNOVER (1 TO),"[203114, 203500]",1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,1.0,Adams,203500.0,,,
42,PT09M23.00S,2022-12-16T01:15:47.6Z,1,REGULAR,steal,,[],203500,,,1610612763,3,0,2022-12-16T01:17:54Z,420000,False,,,0,,S. Adams STEAL (1 STL),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
43,PT09M22.00S,2022-12-16T01:16:42.4Z,1,REGULAR,foul,personal,['2freethrow'],203114,,,1610612763,3,0,2022-12-16T01:18:36Z,430000,False,,,0,,K. Middleton flagrant-type-1 personal FOUL (1 PF) (Brooks 2 FT),"[203114, 1628415]",1610612749.0,MIL,flagrant-type-1,,,Middleton,K. Middleton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,204058.0,1.0,0.0,Brooks,1628415.0,,,,,,,,,
46,PT09M22.00S,2022-12-16T01:18:43.3Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628415,,,1610612763,4,0,2022-12-16T01:18:43Z,460000,False,,,0,,D. Brooks flagrant Free Throw 1 of 2 (3 PTS),[1628415],1610612763.0,MEM,flagrant,,,Brooks,D. Brooks,,,,,,,,Made,,,,,,,,,,3.0,,,,,,,,
