actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-10-19T23:45:13.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-19T23:45:13Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-19T23:45:15.5Z,1,REGULAR,jumpball,recovered,[],1629630,,,1610612763,0,0,2022-10-19T23:45:15Z,40000,,,0,,Jump Ball S. Adams vs. M. Robinson: Tip to J. Morant,"[1629630, 203500, 1629011]",1610612763.0,MEM,startperiod,J. Morant,1629630.0,Morant,J. Morant,Adams,203500.0,Robinson,1629011.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-10-19T23:45:27.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,6.783837056504599,52.69607843137255,1610612763,2,0,2022-10-19T23:45:31Z,70000,-13.0,11.0,1,left,J. Morant driving finger roll Layup (2 PTS) (D. Bane 1 AST),"[1629630, 1630217]",1610612763.0,MEM,driving finger roll,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,1.76,Made,2.0,D. Bane,1630217.0,1.0,,,,,,,,,,,,,,
9,PT11M18.00S,2022-10-19T23:45:53.9Z,1,REGULAR,2pt,Jump Shot,[],203944,90.75229960578186,30.392156862745097,1610612752,2,0,2022-10-19T23:45:57Z,90000,-98.0,34.0,1,right,MISS J. Randle 10' turnaround fadeaway Shot,[203944],1610612752.0,NYK,turnaround fadeaway,,,Randle,J. Randle,,,,,Mid-Range,8-16 Left,10.39,Missed,,,,,,,,,,,,,,,,,,
10,PT11M16.00S,2022-10-19T23:45:56.2Z,1,REGULAR,rebound,defensive,[],1629723,,,1610612763,2,0,2022-10-19T23:45:56Z,100000,,,0,,J. Konchar REBOUND (Off:0 Def:1),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,Mid-Range,8-16 Left,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M12.00S,2022-10-19T23:46:00.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629630,30.56833114323259,31.61764705882353,1610612763,5,0,2022-10-19T23:46:05Z,110000,92.0,235.0,1,left,J. Morant 25' 3PT running pullup (5 PTS) (J. Konchar 1 AST),"[1629630, 1629723]",1610612763.0,MEM,running pullup,,,Morant,J. Morant,,,,,Above the Break 3,24+ Right Center,25.21,Made,5.0,J. Konchar,1629723.0,1.0,,,,,,,,,,,,,,
12,PT10M56.00S,2022-10-19T23:46:15.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203095,89.83245729303549,54.65686274509803,1610612752,5,0,2022-10-19T23:46:20Z,120000,23.0,43.0,1,right,MISS E. Fournier driving floating bank Shot,[203095],1610612752.0,NYK,driving floating bank,,,Fournier,E. Fournier,,,,,In The Paint (Non-RA),0-8 Center,4.9,Missed,,,,,,,,,,,,,,,,,,
13,PT10M52.00S,2022-10-19T23:46:19.9Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,5,0,2022-10-19T23:46:20Z,130000,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M48.00S,2022-10-19T23:46:40.7Z,1,REGULAR,2pt,Jump Shot,[],1630217,13.354139290407357,68.13725490196079,1610612763,5,0,2022-10-19T23:46:44Z,150000,-91.0,73.0,1,left,MISS D. Bane 11' floating Shot,[1630217],1610612763.0,MEM,floating,,,Bane,D. Bane,,,,,Mid-Range,8-16 Left,11.64,Missed,,,,,,,,,,,,,,,,,,
16,PT10M46.00S,2022-10-19T23:46:43.0Z,1,REGULAR,rebound,offensive,[],1629630,,,1610612763,5,0,2022-10-19T23:46:43Z,160000,,,0,,J. Morant REBOUND (Off:1 Def:0),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,Mid-Range,8-16 Left,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,
17,PT10M38.00S,2022-10-19T23:46:50.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630217,30.699737187910642,62.99019607843137,1610612763,5,0,2022-10-19T23:46:54Z,170000,-65.0,236.0,1,left,MISS D. Bane 24' pullup 3PT,[1630217],1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,Above the Break 3,24+ Center,24.49,Missed,,,,,,,,,,,,,,,,,,
18,PT10M35.00S,2022-10-19T23:46:53.8Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,5,0,2022-10-19T23:46:54Z,180000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Center,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,
19,PT10M28.00S,2022-10-19T23:47:00.8Z,1,REGULAR,3pt,Jump Shot,[],203944,69.85873850197109,26.715686274509803,1610612752,5,3,2022-10-19T23:47:03Z,190000,-116.0,231.0,1,right,J. Randle 25' 3PT  (3 PTS) (E. Fournier 1 AST),"[203944, 203095]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,25.85,Made,3.0,E. Fournier,203095.0,1.0,,,,,,,,,,,,,,
21,PT10M13.00S,2022-10-19T23:47:14.9Z,1,REGULAR,3pt,Jump Shot,[],1629723,3.7614980289093296,96.07843137254902,1610612763,5,3,2022-10-19T23:47:18Z,210000,-230.0,-17.0,1,left,MISS J. Konchar 3PT,[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,Left Corner 3,24+ Left,23.1,Missed,,,,,,,,,,,,,,,,,,
22,PT10M10.00S,2022-10-19T23:47:17.9Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,5,3,2022-10-19T23:47:18Z,220000,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Left Corner 3,24+ Left,,,,,,,21.0,2.0,2.0,0.0,,,,,,,,,,
23,PT10M07.00S,2022-10-19T23:47:22.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629628,93.38042049934296,52.69607843137255,1610612752,5,3,2022-10-19T23:47:28Z,230000,13.0,10.0,1,right,MISS R. Barrett running reverse Layup,[1629628],1610612752.0,NYK,running reverse,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,1.66,Missed,,,,,,,,,,,,,,,,,,
24,PT10M04.00S,2022-10-19T23:47:25.2Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,5,3,2022-10-19T23:47:25Z,240000,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,
25,PT09M57.00S,2022-10-19T23:47:32.3Z,1,REGULAR,3pt,Jump Shot,[],1630217,32.276609724047304,50.49019607843137,1610612763,5,3,2022-10-19T23:47:36Z,250000,-2.0,251.0,1,left,MISS D. Bane 25' step back 3PT,[1630217],1610612763.0,MEM,step back,,,Bane,D. Bane,,,,,Above the Break 3,24+ Center,25.09,Missed,,,,,,,,,,,,,,,,,,
26,PT09M53.00S,2022-10-19T23:47:36.3Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,5,3,2022-10-19T23:47:36Z,260000,,,0,,J. Randle REBOUND (Off:0 Def:3),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Center,,,,,,,25.0,3.0,3.0,0.0,,,,,,,,,,
27,PT09M43.00S,2022-10-19T23:47:46.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,94.1688567674113,48.529411764705884,1610612752,5,5,2022-10-19T23:48:52Z,270000,-7.0,2.0,1,right,R. Barrett cutting finger roll Layup (2 PTS) (J. Randle 1 AST),"[1629628, 203944]",1610612752.0,NYK,cutting finger roll,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,0.77,Made,2.0,J. Randle,203944.0,1.0,,,,,,,,,,,,,,
29,PT09M27.00S,2022-10-19T23:48:05.7Z,1,REGULAR,foul,personal,['2freethrow'],1628973,,,1610612763,5,5,2022-10-19T23:48:33Z,290000,,,0,,J. Brunson shooting personal FOUL (1 PF) (Morant 2 FT),"[1628973, 1629630]",1610612752.0,NYK,shooting,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,203592.0,1.0,0.0,Morant,1629630.0,,,,,
31,PT09M27.00S,2022-10-19T23:48:34.6Z,1,REGULAR,freethrow,1 of 2,[],1629630,,,1610612763,6,5,2022-10-19T23:48:34Z,310000,,,0,,J. Morant Free Throw 1 of 2 (6 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
