actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-26T01:11:03.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-26T01:11:03Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2022-11-26T01:11:07.3Z,1,REGULAR,jumpball,recovered,[],1629723,,,1610612763,0,0,2022-11-26T01:11:07Z,40000,False,,,0,,Jump Ball S. Adams vs. J. Valanciunas: Tip to J. Konchar,"[1629723, 203500, 202685]",1610612763.0,MEM,startperiod,J. Konchar,1629723.0,Konchar,J. Konchar,Adams,203500.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,
8,PT12M00.00S,2022-11-26T01:11:15.3Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612763,0,0,2022-11-26T01:12:51Z,65000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612763.0,MEM,,,,,,,,,,101284.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-11-26T01:11:23.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,94.43166885676742,48.28431372549019,1610612763,0,0,2022-11-26T01:11:31Z,70000,False,-9.0,0.0,1,right,MISS J. Morant driving finger roll Layup,[1629630],1610612763.0,MEM,driving finger roll,,,Morant,J. Morant,,,,,,Restricted Area,0-8 Center,0.86,Missed,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2022-11-26T01:11:25.3Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,0,2022-11-26T01:11:25Z,80000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M33.00S,2022-11-26T01:11:29.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630631,25.969119579500656,84.31372549019608,1610612740,0,0,2022-11-26T01:11:33Z,90000,False,-172.0,192.0,1,left,MISS J. Alvarado 25' running 3PT,[1630631],1610612740.0,NOP,running,,,Alvarado,J. Alvarado,,,,,,Above the Break 3,24+ Left Center,25.72,Missed,,,,,,,,,,,,,,,,,
11,PT11M33.00S,2022-11-26T01:11:29.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612763,0,0,2022-11-26T01:11:33Z,100000,False,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,Above the Break 3,24+ Left Center,,,10.0,,,,,,,,,,,,,,,,
13,PT11M21.00S,2022-11-26T01:11:46.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203500,92.72339027595268,39.950980392156865,1610612763,2,0,2022-11-26T01:11:49Z,120000,False,-50.0,16.0,1,right,S. Adams driving floating bank Jump Shot (2 PTS) (J. Morant 1 AST),"[203500, 1629630]",1610612763.0,MEM,driving floating bank,,,Adams,S. Adams,,,,,,In The Paint (Non-RA),0-8 Center,5.27,Made,,,,,2.0,J. Morant,1629630.0,1.0,,,,,,,,,
15,PT11M02.00S,2022-11-26T01:12:05.1Z,1,REGULAR,3pt,Jump Shot,[],1630529,23.603810775295663,14.215686274509803,1610612740,2,0,2022-11-26T01:12:08Z,140000,False,179.0,169.0,1,left,MISS H. Jones 24' 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,Above the Break 3,24+ Right Center,24.64,Missed,,,,,,,,,,,,,,,,,
16,PT10M59.00S,2022-11-26T01:12:07.7Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,2,0,2022-11-26T01:12:07Z,150000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,Above the Break 3,24+ Right Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,
17,PT10M46.00S,2022-11-26T01:12:20.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203500,93.64323258869908,47.30392156862745,1610612763,4,0,2022-11-26T01:12:24Z,160000,False,-13.0,7.0,1,right,S. Adams Layup (4 PTS),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,Restricted Area,0-8 Center,1.53,Made,,,,,4.0,,,,,,,,,,,,
18,PT10M32.00S,2022-11-26T01:12:37.9Z,1,REGULAR,turnover,traveling,[],202685,,,1610612740,4,0,2022-11-26T01:12:41Z,170000,False,,,0,,J. Valanciunas traveling TURNOVER (1 TO),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,101284.0,Mid-Range,8-16 Left,,,,,,,,,,,1.0,,,,,,,,
19,PT10M22.00S,2022-11-26T01:12:55.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628415,71.04139290407359,21.323529411764707,1610612763,7,0,2022-11-26T01:13:00Z,180000,False,-143.0,220.0,1,right,D. Brooks 26' 3PT  (3 PTS) (J. Morant 2 AST),"[1628415, 1629630]",1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,Above the Break 3,24+ Left Center,26.24,Made,,,,,3.0,J. Morant,1629630.0,2.0,,,,,,,,,
21,PT10M09.00S,2022-11-26T01:13:08.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,5.732588699080158,49.754901960784316,1610612740,7,2,2022-11-26T01:13:11Z,200000,False,1.0,1.0,1,left,H. Jones cutting Layup (2 PTS) (B. Ingram 1 AST),"[1630529, 1627742]",1610612740.0,NOP,cutting,,,Jones,H. Jones,,,,,,Restricted Area,0-8 Center,0.18,Made,,,,,2.0,B. Ingram,1627742.0,1.0,,,,,,,,,
23,PT09M51.00S,2022-11-26T01:13:25.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,92.85479632063075,49.50980392156863,1610612763,9,2,2022-11-26T01:13:28Z,220000,False,-2.0,15.0,1,right,J. Morant driving finger roll Layup (2 PTS),[1629630],1610612763.0,MEM,driving finger roll,,,Morant,J. Morant,,,,,,Restricted Area,0-8 Center,1.49,Made,,,,,2.0,,,,,,,,,,,,
