shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
12:00,2,PT12M00.00S,2022-12-06T01:10:39.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-06T01:10:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:56,4,PT11M56.00S,2022-12-06T01:10:42.7Z,1,REGULAR,jumpball,recovered,[],1626145,,,1610612763,0,0,2022-12-06T01:10:42Z,40000,False,,,0,,Jump Ball S. Adams vs. B. Adebayo: Tip to T. Jones,"[1626145, 203500, 1628389]",21,1610612763.0,MEM,startperiod,T. Jones,1626145.0,Jones,T. Jones,Adams,203500.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
11:41,7,PT11M41.00S,2022-12-06T01:10:57.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630583,13.485545335085414,49.26470588235294,1610612763,2,0,2022-12-06T01:11:03Z,70000,False,4.0,74.0,1,left,S. Aldama 7' turnaround Hook (2 PTS),[1630583],7,1610612763.0,MEM,turnaround,,,Aldama,S. Aldama,,,,,In The Paint (Non-RA),0-8 Center,7.44,Made,2.0,,,,,,,,,,,,,,,,,
11:18,8,PT11M18.00S,2022-12-06T01:11:20.9Z,1,REGULAR,3pt,Jump Shot,[],1629639,73.66951379763469,81.86274509803921,1610612748,2,0,2022-12-06T01:11:25Z,80000,False,159.0,195.0,1,right,MISS T. Herro 25' 3PT,[1629639],14,1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Right Center,25.18,Missed,,,,,,,,,,,,,,,,,,
11:15,9,PT11M15.00S,2022-12-06T01:11:23.9Z,1,REGULAR,rebound,defensive,[],1630583,,,1610612763,2,0,2022-12-06T01:11:25Z,90000,False,,,0,,S. Aldama REBOUND (Off:0 Def:1),[1630583],7,1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Above the Break 3,24+ Right Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
11:06,10,PT11M06.00S,2022-12-06T01:11:33.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628415,5.995400788436268,50.245098039215684,1610612763,4,0,2022-12-06T01:13:25Z,100000,False,-1.0,4.0,1,left,D. Brooks cutting Layup (2 PTS) (S. Adams 1 AST),"[1628415, 203500]",24,1610612763.0,MEM,cutting,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,0.41,Made,2.0,,,,,S. Adams,203500.0,1.0,,,,,,,,,,
10:59,13,PT10M59.00S,2022-12-06T01:11:56.4Z,1,REGULAR,turnover,bad pass,[],200768,,,1610612748,4,0,2022-12-06T01:12:00Z,130000,False,,,0,,K. Lowry bad pass TURNOVER (1 TO),"[200768, 1626145]",7,1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1.0,Jones,1626145.0,,,,,,,
10:59,14,PT10M59.00S,2022-12-06T01:11:56.4Z,1,REGULAR,steal,,[],1626145,,,1610612763,4,0,2022-12-06T01:11:59Z,140000,False,,,0,,T. Jones STEAL (1 STL),[1626145],21,1610612763.0,MEM,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
10:54,15,PT10M54.00S,2022-12-06T01:12:01.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628415,30.436925098554536,27.696078431372552,1610612763,7,0,2022-12-06T01:12:06Z,150000,False,112.0,234.0,1,left,D. Brooks 25' 3PT running (5 PTS) (T. Jones 1 AST),"[1628415, 1626145]",24,1610612763.0,MEM,running,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,25.88,Made,5.0,,,,,T. Jones,1626145.0,1.0,,,,,,,,,,
10:33,17,PT10M33.00S,2022-12-06T01:12:22.2Z,1,REGULAR,3pt,Jump Shot,[],200768,71.17279894875165,25.0,1610612748,7,3,2022-12-06T01:12:27Z,170000,False,-125.0,218.0,1,right,K. Lowry 25' 3PT  (3 PTS) (J. Butler 1 AST),"[200768, 202710]",7,1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Left Center,25.17,Made,3.0,,,,,J. Butler,202710.0,1.0,,,,,,,,,,
