actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-02-16T01:12:01.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-16T01:12:01Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-02-16T01:12:04.2Z,1,REGULAR,jumpball,recovered,[],1628415,,,1610612763,0,0,2023-02-16T01:12:04Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. W. Kessler: Tip to D. Brooks,"[1628415, 1628991, 1631117]",1610612763.0,MEM,startperiod,D. Brooks,1628415.0,Brooks,D. Brooks,Jackson Jr.,1628991.0,Kessler,1631117.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2023-02-16T01:12:13.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629634,94.1688567674113,49.50980392156863,1610612763,2,0,2023-02-16T01:12:17Z,70000,False,-2.0,2.0,1,right,B. Clarke alley-oop DUNK (2 PTS) (J. Morant 1 AST),"[1629634, 1629630]",1610612763.0,MEM,alley-oop,,,Clarke,B. Clarke,,,,,Restricted Area,0-8 Center,0.34,Made,2.0,J. Morant,1629630.0,1.0,,,,,,,,,,,,,,
9,PT11M28.00S,2023-02-16T01:12:35.1Z,1,REGULAR,turnover,double dribble,[],203482,,,1610612762,2,0,2023-02-16T01:12:40Z,90000,False,,,0,,K. Olynyk double dribble TURNOVER (1 TO),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Mid-Range,16-24 Center,,,,,,,1193.0,1.0,,,,,,,,,,,,
10,PT11M28.00S,2023-02-16T01:12:45.6Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612763,2,0,2023-02-16T01:12:49Z,100000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,202058.0,,,,,,,,,,,,,
11,PT11M11.00S,2023-02-16T01:13:09.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630217,75.64060446780552,59.31372549019608,1610612763,4,0,2023-02-16T01:13:12Z,110000,False,47.0,176.0,1,right,D. Bane 18' pullup Jump Shot (2 PTS) (B. Clarke 1 AST),"[1630217, 1629634]",1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,Mid-Range,16-24 Center,18.25,Made,2.0,B. Clarke,1629634.0,1.0,,,,,,,,,,,,,,
13,PT10M57.00S,2023-02-16T01:13:23.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203482,18.74178712220762,37.5,1610612762,4,2,2023-02-16T01:13:26Z,130000,False,62.0,124.0,1,left,K. Olynyk 13' fadeaway Jump Shot (2 PTS) (C. Sexton 1 AST),"[203482, 1629012]",1610612762.0,UTA,fadeaway,,,Olynyk,K. Olynyk,,,,,In The Paint (Non-RA),8-16 Center,13.86,Made,2.0,C. Sexton,1629012.0,1.0,,,,,,,,,,,,,,
15,PT10M42.00S,2023-02-16T01:13:37.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,94.30026281208936,53.18627450980392,1610612763,4,2,2023-02-16T01:13:42Z,150000,False,16.0,1.0,1,right,MISS J. Jackson Jr. driving Layup,[1628991],1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,1.59,Missed,,,,,,,,,,,,,,,,,,
16,PT10M40.00S,2023-02-16T01:13:39.9Z,1,REGULAR,rebound,defensive,[],203482,,,1610612762,4,2,2023-02-16T01:13:42Z,160000,False,,,0,,K. Olynyk REBOUND (Off:0 Def:1),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,
17,PT10M32.00S,2023-02-16T01:13:49.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203482,16.245072273324574,48.03921568627451,1610612762,4,2,2023-02-16T01:14:58Z,170000,False,10.0,100.0,1,left,MISS K. Olynyk 10' floating Shot - blocked,"[203482, 1628991]",1610612762.0,UTA,floating,,,Olynyk,K. Olynyk,,,,,In The Paint (Non-RA),8-16 Center,10.07,Missed,,,,,,,,,,,Jackson Jr.,1628991.0,,,,,,
18,PT10M32.00S,2023-02-16T01:13:49.5Z,1,REGULAR,block,,[],1628991,,,1610612762,4,2,2023-02-16T01:13:51Z,180000,False,,,0,,J. Jackson Jr. BLOCK (1 BLK),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M30.00S,2023-02-16T01:13:51.5Z,1,REGULAR,rebound,offensive,[],203482,,,1610612762,4,2,2023-02-16T01:14:58Z,190000,False,,,0,,K. Olynyk REBOUND (Off:1 Def:1),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,17.0,2.0,1.0,1.0,,,,,,,,
20,PT10M25.00S,2023-02-16T01:13:54.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203482,13.009198423127463,49.02726715686275,1610612762,4,4,2023-02-16T01:14:03Z,200000,False,5.0,70.0,1,left,K. Olynyk 7' bank Jump Shot (4 PTS),[203482],1610612762.0,UTA,bank,,,Olynyk,K. Olynyk,,,,,In The Paint (Non-RA),0-8 Center,7.0,Made,4.0,,,,,,,,,,,,,,,,,
21,PT10M14.00S,2023-02-16T01:14:05.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628415,90.09526938239159,51.225490196078425,1610612763,4,4,2023-02-16T01:14:08Z,210000,False,6.0,41.0,1,right,MISS D. Brooks driving Layup,[1628415],1610612763.0,MEM,driving,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,4.11,Missed,,,,,,,,,,,,,,,,,,
22,PT10M12.00S,2023-02-16T01:14:07.8Z,1,REGULAR,rebound,defensive,[],203482,,,1610612762,4,4,2023-02-16T01:14:08Z,220000,False,,,0,,K. Olynyk REBOUND (Off:1 Def:2),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,,,,,,,,,21.0,3.0,2.0,1.0,,,,,,,,
23,PT09M59.00S,2023-02-16T01:14:20.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203903,15.588042049934298,37.00980392156863,1610612762,4,4,2023-02-16T01:14:23Z,230000,False,65.0,94.0,1,left,MISS J. Clarkson 11' driving floating bank Shot,[203903],1610612762.0,UTA,driving floating bank,,,Clarkson,J. Clarkson,,,,,In The Paint (Non-RA),8-16 Right,11.43,Missed,,,,,,,,,,,,,,,,,,
24,PT09M57.00S,2023-02-16T01:14:22.5Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,4,4,2023-02-16T01:14:23Z,240000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,
25,PT09M53.00S,2023-02-16T01:14:27.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629630,93.64323258869908,48.77450980392157,1610612763,4,4,2023-02-16T01:14:31Z,250000,False,-6.0,7.0,1,right,MISS J. Morant running Layup,[1629630],1610612763.0,MEM,running,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,0.95,Missed,,,,,,,,,,,,,,,,,,
26,PT09M49.00S,2023-02-16T01:14:31.1Z,1,REGULAR,rebound,defensive,[],203482,,,1610612762,4,4,2023-02-16T01:16:41Z,260000,False,,,0,,K. Olynyk REBOUND (Off:1 Def:3),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,,,,,,,,,25.0,4.0,3.0,1.0,,,,,,,,
29,PT09M46.00S,2023-02-16T01:14:34.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1629012,6.652431011826544,62.99019607843137,1610612762,4,4,2023-02-16T01:14:42Z,290000,False,-65.0,10.0,1,left,MISS C. Sexton 6' driving floating Shot,[1629012],1610612762.0,UTA,driving floating,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),0-8 Center,6.58,Missed,,,,,,,,,,,,,,,,,,
30,PT09M46.00S,2023-02-16T01:14:34.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612763,4,4,2023-02-16T01:14:42Z,300000,False,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,29.0,,,,,,,,,,,
31,PT09M46.00S,2023-02-16T01:14:45.3Z,1,REGULAR,foul,personal,[],1630534,,,1610612763,4,4,2023-02-16T01:14:50Z,310000,False,,,0,,O. Agbaji loose ball personal FOUL (1 PF),"[1630534, 1628991]",1610612762.0,UTA,loose ball,,,Agbaji,O. Agbaji,,,,,Restricted Area,0-8 Center,,,,,,,1193.0,,,,,,,,1.0,0.0,Jackson Jr.,1628991.0,,
33,PT09M31.00S,2023-02-16T01:15:10.7Z,1,REGULAR,3pt,Jump Shot,[],1628991,69.20170827858082,70.58823529411765,1610612763,7,4,2023-02-16T01:15:14Z,330000,False,103.0,237.0,1,right,J. Jackson Jr. 25' 3PT  (3 PTS) (D. Bane 1 AST),"[1628991, 1630217]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Right Center,25.84,Made,3.0,D. Bane,1630217.0,1.0,,,,,,,,,,,,,,
35,PT09M18.00S,2023-02-16T01:15:23.8Z,1,REGULAR,turnover,bad pass,[],1629012,,,1610612762,7,4,2023-02-16T01:15:26Z,350000,False,,,0,,C. Sexton bad pass TURNOVER (1 TO),"[1629012, 1628991]",1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Mid-Range,16-24 Right Center,,,,,,,,1.0,,,,,,,,,,,Jackson Jr.,1628991.0
36,PT09M18.00S,2023-02-16T01:15:23.8Z,1,REGULAR,steal,,[],1628991,,,1610612763,7,4,2023-02-16T01:15:25Z,360000,False,,,0,,J. Jackson Jr. STEAL (1 STL),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
37,PT09M13.00S,2023-02-16T01:15:28.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630217,67.23061760840999,42.8921568627451,1610612763,10,4,2023-02-16T01:15:32Z,370000,False,-36.0,256.0,1,right,D. Bane 25' 3PT running pullup (5 PTS),[1630217],1610612763.0,MEM,running pullup,,,Bane,D. Bane,,,,,Above the Break 3,24+ Center,25.8,Made,5.0,,,,,,,,,,,,,,,,,
38,PT09M13.00S,2023-02-16T01:15:34.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,10,4,2023-02-16T01:15:34Z,380000,False,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M56.00S,2023-02-16T01:18:38.5Z,1,REGULAR,turnover,lost ball,[],1631117,,,1610612762,10,4,2023-02-16T01:18:42Z,390000,False,,,0,,W. Kessler lost ball TURNOVER (1 TO),"[1631117, 1629630]",1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,,,,,,,,,,,Morant,1629630.0
40,PT08M56.00S,2023-02-16T01:18:38.5Z,1,REGULAR,steal,,[],1629630,,,1610612763,10,4,2023-02-16T01:18:40Z,400000,False,,,0,,J. Morant STEAL (1 STL),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
41,PT08M52.00S,2023-02-16T01:18:42.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629630,92.72339027595268,49.26470588235294,1610612763,10,4,2023-02-16T01:18:49Z,410000,False,-4.0,16.0,1,right,MISS J. Morant running finger roll Layup,[1629630],1610612763.0,MEM,running finger roll,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,1.63,Missed,,,,,,,,,,,,,,,,,,
42,PT08M48.00S,2023-02-16T01:18:46.3Z,1,REGULAR,rebound,offensive,[],1629634,,,1610612763,10,4,2023-02-16T01:18:46Z,420000,False,,,0,,B. Clarke REBOUND (Off:1 Def:0),[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,Restricted Area,0-8 Center,,,,,,,,,41.0,1.0,0.0,1.0,,,,,,,,
43,PT08M48.00S,2023-02-16T01:18:46.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint', 'fromturnover']",1629634,94.40999984741211,50.0,1610612763,12,4,2023-02-16T01:18:49Z,430000,False,0.0,0.0,1,right,B. Clarke putback Layup (4 PTS),[1629634],1610612763.0,MEM,putback,,,Clarke,B. Clarke,,,,,Restricted Area,0-8 Center,0.0,Made,4.0,,,,,,,,,,,,,,,,,
44,PT08M36.00S,2023-02-16T01:18:58.5Z,1,REGULAR,3pt,Jump Shot,[],1629012,29.122864651773984,74.26470588235294,1610612762,12,4,2023-02-16T01:19:02Z,440000,False,-121.0,221.0,1,left,MISS C. Sexton 25' 3PT,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Left Center,25.24,Missed,,,,,,,,,,,,,,,,,,
45,PT08M33.00S,2023-02-16T01:19:01.5Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612763,12,4,2023-02-16T01:19:02Z,450000,False,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Left Center,,,,,,,,,44.0,1.0,1.0,0.0,,,,,,,,
46,PT08M30.00S,2023-02-16T01:19:05.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630217,64.07687253613666,65.19607843137256,1610612763,12,4,2023-02-16T01:19:10Z,460000,False,76.0,285.0,1,right,MISS D. Bane 29' pullup 3PT,[1630217],1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,Above the Break 3,24+ Center,29.52,Missed,,,,,,,,,,,,,,,,,,
47,PT08M25.00S,2023-02-16T01:19:10.1Z,1,REGULAR,rebound,offensive,[],1628991,,,1610612763,12,4,2023-02-16T01:19:10Z,470000,False,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Center,,,,,,,,,46.0,2.0,1.0,1.0,,,,,,,,
48,PT08M24.00S,2023-02-16T01:19:09.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628991,90.62089356110381,48.03921568627451,1610612763,12,4,2023-02-16T01:19:19Z,480000,False,-10.0,36.0,1,right,MISS J. Jackson Jr. putback Layup,[1628991],1610612763.0,MEM,putback,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,3.7,Missed,,,,,,,,,,,,,,,,,,
49,PT08M21.00S,2023-02-16T01:19:12.6Z,1,REGULAR,rebound,offensive,[],1628991,,,1610612763,12,4,2023-02-16T01:19:19Z,490000,False,,,0,,J. Jackson Jr. REBOUND (Off:2 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,48.0,3.0,1.0,2.0,,,,,,,,
51,PT08M19.00S,2023-02-16T01:19:29.8Z,1,REGULAR,substitution,out,[],1629012,,,1610612763,12,4,2023-02-16T01:19:55Z,510000,False,,,0,,SUB out: C. Sexton,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT08M19.00S,2023-02-16T01:19:29.8Z,1,REGULAR,substitution,in,[],1629659,,,1610612763,12,4,2023-02-16T01:19:55Z,520000,False,,,0,,SUB in: T. Horton-Tucker,[1629659],1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT08M13.00S,2023-02-16T01:20:03.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629634,92.32917214191852,47.549019607843135,1610612763,12,4,2023-02-16T01:20:07Z,530000,False,-12.0,20.0,1,right,MISS B. Clarke cutting Layup,[1629634],1610612763.0,MEM,cutting,,,Clarke,B. Clarke,,,,,Restricted Area,0-8 Center,2.31,Missed,,,,,,,,,,,,,,,,,,
54,PT08M10.00S,2023-02-16T01:20:06.0Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,12,4,2023-02-16T01:20:07Z,540000,False,,,0,,W. Kessler REBOUND (Off:0 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,,,,,,,53.0,1.0,1.0,0.0,,,,,,,,
55,PT08M05.00S,2023-02-16T01:20:11.3Z,1,REGULAR,3pt,Jump Shot,[],1630534,4.5499342969776615,3.9215686274509802,1610612762,12,7,2023-02-16T01:20:21Z,550000,False,230.0,-10.0,1,left,O. Agbaji 3PT  (3 PTS) (K. Olynyk 1 AST),"[1630534, 203482]",1610612762.0,UTA,,,,Agbaji,O. Agbaji,,,,,Right Corner 3,24+ Right,23.06,Made,3.0,K. Olynyk,203482.0,1.0,,,,,,,,,,,,,,
58,PT07M48.00S,2023-02-16T01:20:40.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,84.57621550591328,56.61764705882353,1610612763,12,7,2023-02-16T01:20:43Z,580000,False,33.0,92.0,1,right,MISS J. Jackson Jr. 9' driving floating Shot,[1628991],1610612763.0,MEM,driving floating,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),8-16 Center,9.82,Missed,,,,,,,,,,,,,,,,,,
59,PT07M44.00S,2023-02-16T01:20:44.1Z,1,REGULAR,rebound,defensive,[],1629659,,,1610612762,12,7,2023-02-16T01:20:43Z,590000,False,,,0,,T. Horton-Tucker REBOUND (Off:0 Def:1),[1629659],1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,58.0,1.0,1.0,0.0,,,,,,,,
60,PT07M41.00S,2023-02-16T01:20:49.8Z,1,REGULAR,3pt,Jump Shot,[],1630534,8.754927726675426,4.411764705882353,1610612762,12,7,2023-02-16T01:23:40Z,600000,False,228.0,30.0,1,left,MISS O. Agbaji 3PT,[1630534],1610612762.0,UTA,,,,Agbaji,O. Agbaji,,,,,Right Corner 3,24+ Right,22.98,Missed,,,,,,,,,,,,,,,,,,
