actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2023-02-08T01:10:22.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-08T01:10:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-02-08T01:10:29.6Z,1,REGULAR,jumpball,recovered,[],0,,,1610612763,0,0,2023-02-08T01:10:29Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. N. Vucevic: Tip to Team (MEM),"[1628991, 202696]",1610612763.0,MEM,startperiod,Team (MEM),Jackson Jr.,1628991.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M52.00S,2023-02-08T01:10:53.9Z,1,REGULAR,2pt,Jump Shot,[],1628415,88.78120893561103,72.05882352941177,1610612763,0,0,2023-02-08T01:11:00Z,70000,False,110.0,53.0,1,right,MISS D. Brooks 12' Jump Shot,[1628415],1610612763.0,MEM,,,,,,,Mid-Range,8-16 Right,12.24,Missed,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,
8,PT11M49.00S,2023-02-08T01:10:57.2Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,0,0,2023-02-08T01:10:57Z,80000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,,,,Mid-Range,8-16 Right,,,LaVine,Z. LaVine,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M36.00S,2023-02-08T01:11:10.6Z,1,REGULAR,3pt,Jump Shot,[],203897,30.305519053876477,63.970588235294116,1610612741,0,0,2023-02-08T01:13:10Z,90000,False,-70.0,232.0,1,left,MISS Z. LaVine 24' pullup 3PT,[203897],1610612741.0,CHI,pullup,,,,,,Above the Break 3,24+ Center,24.27,Missed,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,
10,PT11M32.00S,2023-02-08T01:11:14.6Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,0,0,2023-02-08T01:11:15Z,100000,False,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Center,,,Bane,D. Bane,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M22.00S,2023-02-08T01:11:24.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,92.59198423127464,53.18627450980392,1610612763,2,0,2023-02-08T01:11:29Z,110000,False,16.0,17.0,1,right,J. Jackson Jr. driving Layup (2 PTS) (D. Brooks 1 AST),"[1628991, 1628415]",1610612763.0,MEM,driving,,,,,,Restricted Area,0-8 Center,2.33,Made,Jackson Jr.,J. Jackson Jr.,,,,,2.0,D. Brooks,1628415.0,1.0,,,,,,,,,,,
14,PT11M04.00S,2023-02-08T01:11:59.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630172,19.136005256241788,46.81372549019608,1610612741,2,2,2023-02-08T01:12:05Z,140000,False,16.0,127.0,1,left,P. Williams 12' pullup Jump Shot (2 PTS) (A. Caruso 1 AST),"[1630172, 1627936]",1610612741.0,CHI,pullup,,,,,,In The Paint (Non-RA),8-16 Center,12.84,Made,Williams,P. Williams,,,,,2.0,A. Caruso,1627936.0,1.0,,,,,,,,,,,
16,PT10M46.00S,2023-02-08T01:12:16.5Z,1,REGULAR,3pt,Jump Shot,[],1630217,86.81011826544021,94.6078431372549,1610612763,2,2,2023-02-08T01:12:20Z,160000,False,223.0,71.0,1,right,MISS D. Bane pullup 3PT,[1630217],1610612763.0,MEM,pullup,,,,,,Right Corner 3,24+ Right,23.42,Missed,Bane,D. Bane,,,,,,,,,,,,,,,,,,,
17,PT10M44.00S,2023-02-08T01:12:18.5Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,2,2,2023-02-08T01:12:20Z,170000,False,,,0,,A. Dosunmu REBOUND (Off:0 Def:1),[1630245],1610612741.0,CHI,,,,,,,Right Corner 3,24+ Right,,,Dosunmu,A. Dosunmu,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
18,PT10M31.00S,2023-02-08T01:12:32.2Z,1,REGULAR,2pt,Hook,[],202696,4.812746386333772,31.127450980392158,1610612741,2,2,2023-02-08T01:12:39Z,180000,False,94.0,-7.0,1,left,MISS N. Vucevic 9' turnaround Hook,[202696],1610612741.0,CHI,turnaround,,,,,,Mid-Range,8-16 Right,9.47,Missed,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,
19,PT10M29.00S,2023-02-08T01:12:34.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612763,2,2,2023-02-08T01:12:39Z,190000,False,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,Mid-Range,8-16 Right,,,,,18.0,,,,,,,,,,,,,,,,,,
22,PT10M13.00S,2023-02-08T01:13:01.6Z,1,REGULAR,foul,personal,['2freethrow'],203897,,,1610612763,2,2,2023-02-08T01:13:16Z,220000,False,,,0,,Z. LaVine shooting personal FOUL (1 PF) (Tillman 2 FT),"[203897, 1630214]",1610612741.0,CHI,shooting,,,,,,Restricted Area,0-8 Center,,,LaVine,Z. LaVine,,,,,,,,,2003.0,1.0,0.0,Tillman,1630214.0,,,,,,
24,PT10M13.00S,2023-02-08T01:13:26.8Z,1,REGULAR,freethrow,1 of 2,[],1630214,,,1610612763,2,2,2023-02-08T01:13:26Z,240000,False,,,0,,MISS X. Tillman Free Throw 1 of 2,[1630214],1610612763.0,MEM,,,,,,,,,,Missed,Tillman,X. Tillman,,,,,,,,,,,,,,,,,,,
25,PT10M13.00S,2023-02-08T01:13:26.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612763,2,2,2023-02-08T01:13:26Z,250000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,
26,PT10M13.00S,2023-02-08T01:13:26.8Z,1,REGULAR,freethrow,2 of 2,[],1630214,,,1610612763,2,2,2023-02-08T01:13:47Z,260000,False,,,0,,MISS X. Tillman Free Throw 2 of 2,[1630214],1610612763.0,MEM,,,,,,,,,,Missed,Tillman,X. Tillman,,,,,,,,,,,,,,,,,,,
27,PT10M10.00S,2023-02-08T01:13:29.8Z,1,REGULAR,rebound,defensive,[],1627936,,,1610612741,2,2,2023-02-08T01:13:47Z,270000,False,,,0,,A. Caruso REBOUND (Off:0 Def:1),[1627936],1610612741.0,CHI,,,,,,,,,,,Caruso,A. Caruso,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
28,PT10M02.00S,2023-02-08T01:13:55.6Z,1,REGULAR,turnover,out-of-bounds,[],1630172,,,1610612741,2,2,2023-02-08T01:14:01Z,280000,False,,,0,,P. Williams step out-of-bounds TURNOVER (1 TO),[1630172],1610612741.0,CHI,step,,,,,,Right Corner 3,24+ Right,,,Williams,P. Williams,,,,,,,,,1628480.0,,,,,1.0,,,,,
29,PT09M49.00S,2023-02-08T01:14:16.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628991,92.72339027595268,53.67647058823529,1610612763,4,2,2023-02-08T01:14:23Z,290000,False,18.0,16.0,1,right,J. Jackson Jr. driving Layup (4 PTS),[1628991],1610612763.0,MEM,driving,,,,,,Restricted Area,0-8 Center,2.43,Made,Jackson Jr.,J. Jackson Jr.,,,,,4.0,,,,,,,,,,,,,,
30,PT09M49.00S,2023-02-08T01:14:22.1Z,1,REGULAR,foul,personal,['1freethrow'],1630172,,,1610612763,4,2,2023-02-08T01:14:28Z,300000,False,,,0,,P. Williams shooting personal FOUL (1 PF) (Jackson Jr. 1 FT),"[1630172, 1628991]",1610612741.0,CHI,shooting,,,,,,Restricted Area,0-8 Center,,,Williams,P. Williams,,,,,,,,,1628480.0,1.0,0.0,Jackson Jr.,1628991.0,,,,,,
32,PT09M49.00S,2023-02-08T01:14:40.1Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1628991,,,1610612763,5,2,2023-02-08T01:14:40Z,320000,False,,,0,,J. Jackson Jr. Free Throw 1 of 1 (5 PTS),[1628991],1610612763.0,MEM,,,,,,,,,,Made,Jackson Jr.,J. Jackson Jr.,,,,,5.0,,,,,,,,,,,,,,
33,PT09M33.00S,2023-02-08T01:14:58.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630245,6.258212877792378,55.14705882352941,1610612741,5,2,2023-02-08T01:15:02Z,330000,False,-26.0,6.0,1,left,MISS A. Dosunmu driving finger roll Layup - blocked,"[1630245, 1628991]",1610612741.0,CHI,driving finger roll,,,,,,Restricted Area,0-8 Center,2.65,Missed,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,Jackson Jr.,1628991.0,,,
