actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-04-01T00:10:10.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-01T00:10:10Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-04-01T00:10:12.9Z,1,REGULAR,jumpball,recovered,[],1628415,,,1610612763,0,0,2023-04-01T00:10:12Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. I. Zubac: Tip to D. Brooks,"[1628415, 1628991, 1627826]",1610612763.0,MEM,startperiod,D. Brooks,1628415.0,Brooks,D. Brooks,Jackson Jr.,1628991.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-04-01T00:10:25.8Z,1,REGULAR,turnover,bad pass,[],1630214,,,1610612763,0,0,2023-04-01T00:10:29Z,70000,False,,,0,,X. Tillman bad pass TURNOVER (1 TO),"[1630214, 1627826]",1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,Mid-Range,16-24 Center,1.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2023-04-01T00:10:25.8Z,1,REGULAR,steal,,[],1627826,,,1610612746,0,0,2023-04-01T00:10:27Z,80000,False,,,0,,I. Zubac STEAL (1 STL),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2023-04-01T00:10:31.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",201566,5.995400788436268,48.529411764705884,1610612746,0,2,2023-04-01T00:10:38Z,90000,False,7.0,4.0,1,left,R. Westbrook running finger roll Layup (2 PTS),[201566],1610612746.0,LAC,running finger roll,,,Westbrook,R. Westbrook,,,,,Restricted Area,0-8 Center,,,,0.84,Made,2.0,,,,,,,,,,,,,,
10,PT11M27.00S,2023-04-01T00:10:44.8Z,1,REGULAR,turnover,traveling,[],1630217,,,1610612763,0,2,2023-04-01T00:10:50Z,100000,False,,,0,,D. Bane traveling TURNOVER (1 TO),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Mid-Range,16-24 Center,1.0,,,,,,201639.0,,,,,,,,,,,,,
11,PT11M13.00S,2023-04-01T00:11:09.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202695,7.046649145860711,49.50980392156863,1610612746,0,4,2023-04-01T00:11:13Z,110000,False,2.0,14.0,1,left,K. Leonard alley-oop Layup (2 PTS) (R. Westbrook 1 AST),"[202695, 201566]",1610612746.0,LAC,alley-oop,,,Leonard,K. Leonard,,,,,Restricted Area,0-8 Center,,,,1.39,Made,2.0,,R. Westbrook,201566.0,1.0,,,,,,,,,,
13,PT11M05.00S,2023-04-01T00:11:17.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628991,93.24901445466492,49.26470588235294,1610612763,2,4,2023-04-01T00:11:21Z,130000,False,-4.0,11.0,1,right,J. Jackson Jr. alley-oop DUNK (2 PTS) (J. Morant 1 AST),"[1628991, 1629630]",1610612763.0,MEM,alley-oop,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,,1.16,Made,2.0,,J. Morant,1629630.0,1.0,,,,,,,,,,
15,PT10M40.00S,2023-04-01T00:11:41.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,7.835085413929041,44.85294117647059,1610612746,2,6,2023-04-01T00:11:47Z,150000,False,26.0,21.0,1,left,I. Zubac bank Hook (2 PTS),[1627826],1610612746.0,LAC,bank,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,3.33,Made,2.0,,,,,,,,,,,,,,
16,PT10M28.00S,2023-04-01T00:11:53.9Z,1,REGULAR,turnover,lost ball,[],1628415,,,1610612763,2,6,2023-04-01T00:11:58Z,160000,False,,,0,,D. Brooks lost ball TURNOVER (1 TO),"[1628415, 201566]",1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,Mid-Range,16-24 Left Center,1.0,Westbrook,201566.0,,,,,,,,,,,,,,,,,
