actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-02-02T00:10:13.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-02T00:10:13Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M52.00S,2023-02-02T00:10:20.3Z,1,REGULAR,jumpball,recovered,[],1628404,,,1610612757,0,0,2023-02-02T00:10:20Z,40000,False,,,0,,Jump Ball J. Nurkic vs. J. Jackson Jr.: Tip to J. Hart,"[1628404, 203994, 1628991]",1610612757.0,POR,startperiod,J. Hart,1628404.0,Hart,J. Hart,Nurkic,203994.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2023-02-02T00:10:33.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629014,92.06636005256242,50.73529411764706,1610612757,0,2,2023-02-02T00:10:38Z,70000,False,4.0,22.0,1,right,A. Simons driving floating Jump Shot (2 PTS) (J. Nurkic 1 AST),"[1629014, 203994]",1610612757.0,POR,driving floating,,,Simons,A. Simons,,,,,Restricted Area,0-8 Center,2.24,Made,2.0,J. Nurkic,203994.0,1.0,,,,,,,,,,,,,,
8,PT11M25.00S,2023-02-02T00:10:47.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,6.783837056504599,49.50980392156863,1610612763,2,2,2023-02-02T00:10:51Z,80000,False,2.0,11.0,1,left,D. Bane cutting finger roll Layup (2 PTS) (J. Morant 1 AST),"[1630217, 1629630]",1610612763.0,MEM,cutting finger roll,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,1.16,Made,2.0,J. Morant,1629630.0,1.0,,,,,,,,,,,,,,
11,PT11M12.00S,2023-02-02T00:11:03.8Z,1,REGULAR,violation,kicked ball,[],1630214,,,1610612757,2,2,2023-02-02T00:11:09Z,100000,False,,,0,,X. Tillman kicked ball VIOLATION,[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,,,,,,,,200834.0,,,,,,,,,,,,,
12,PT11M01.00S,2023-02-02T00:11:29.7Z,1,REGULAR,3pt,Jump Shot,[],203994,70.25295663600527,73.0392156862745,1610612757,2,2,2023-02-02T00:11:36Z,110000,False,115.0,227.0,1,right,MISS J. Nurkic 25' 3PT,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Above the Break 3,24+ Right Center,25.46,Missed,,,,,,,,,,,,,,,,,,
13,PT10M57.00S,2023-02-02T00:11:33.7Z,1,REGULAR,rebound,defensive,[],1630214,,,1610612763,2,2,2023-02-02T00:11:36Z,120000,False,,,0,,X. Tillman REBOUND (Off:0 Def:1),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,Above the Break 3,24+ Right Center,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
14,PT10M42.00S,2023-02-02T00:11:48.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628991,14.4053876478318,38.72549019607843,1610612763,4,2,2023-02-02T00:11:53Z,130000,False,56.0,83.0,1,left,J. Jackson Jr. 10' driving Hook (2 PTS),[1628991],1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),8-16 Right,10.03,Made,2.0,,,,,,,,,,,,,,,,,
15,PT10M27.00S,2023-02-02T00:12:03.7Z,1,REGULAR,turnover,bad pass,[],203081,,,1610612757,4,2,2023-02-02T00:12:08Z,140000,False,,,0,,D. Lillard bad pass TURNOVER (1 TO),"[203081, 1630214]",1610612757.0,POR,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,1.0,Tillman,1630214.0,,,,,,
16,PT10M27.00S,2023-02-02T00:12:03.7Z,1,REGULAR,steal,,[],1630214,,,1610612763,4,2,2023-02-02T00:12:06Z,150000,False,,,0,,X. Tillman STEAL (1 STL),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
