actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-06T23:11:03.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-06T23:11:03Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2022-11-06T23:11:09.1Z,1,REGULAR,jumpball,recovered,[],1628398,,,1610612764,0,0,2022-11-06T23:11:09Z,40000,,,0,,Jump Ball K. Porzingis vs. S. Adams: Tip to K. Kuzma,"[1628398, 204001, 203500]",1610612764.0,WAS,startperiod,K. Kuzma,1628398.0,Kuzma,K. Kuzma,Porzingis,204001.0,Adams,203500.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-11-06T23:11:17.9Z,1,REGULAR,3pt,Jump Shot,[],204001,29.38567674113009,72.30392156862744,1610612764,0,3,2022-11-06T23:11:21Z,70000,-112.0,224.0,1,left,K. Porzingis 24' 3PT  (3 PTS) (M. Morris 1 AST),"[204001, 1628420]",1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Left Center,24.99,Made,3.0,M. Morris,1628420.0,1.0,,,,,,,,,,,,,,
9,PT11M22.00S,2022-11-06T23:11:40.4Z,1,REGULAR,3pt,Jump Shot,[],1630583,69.33311432325887,71.81372549019608,1610612763,0,3,2022-11-06T23:11:43Z,90000,109.0,236.0,1,right,MISS S. Aldama 25' 3PT,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Above the Break 3,24+ Right Center,25.98,Missed,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2022-11-06T23:11:43.4Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,0,3,2022-11-06T23:11:43Z,100000,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Right Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M06.00S,2022-11-06T23:11:56.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630166,9.543363994743759,39.705882352941174,1610612764,0,5,2022-11-06T23:12:01Z,110000,51.0,37.0,1,left,D. Avdija 6' driving floating bank Jump Shot (2 PTS),[1630166],1610612764.0,WAS,driving floating bank,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,6.35,Made,2.0,,,,,,,,,,,,,,,,,
12,PT10M52.00S,2022-11-06T23:12:10.1Z,1,REGULAR,turnover,bad pass,[],1629630,,,1610612763,0,5,2022-11-06T23:12:13Z,120000,,,0,,J. Morant bad pass TURNOVER (1 TO),"[1629630, 204001]",1610612763.0,MEM,,,,Morant,J. Morant,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,Porzingis,204001.0,,,,,,,
13,PT10M52.00S,2022-11-06T23:12:10.1Z,1,REGULAR,steal,,[],204001,,,1610612764,0,5,2022-11-06T23:12:16Z,130000,,,0,,K. Porzingis STEAL (1 STL),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
14,PT10M44.00S,2022-11-06T23:12:18.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],204001,31.35676741130092,29.166666666666668,1610612764,0,5,2022-11-06T23:12:21Z,140000,104.0,242.0,1,left,MISS K. Porzingis 26' 3PT,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Right Center,26.38,Missed,,,,,,,,,,,,,,,,,,
15,PT10M42.00S,2022-11-06T23:12:20.4Z,1,REGULAR,rebound,defensive,[],1630583,,,1610612763,0,5,2022-11-06T23:12:21Z,150000,,,0,,S. Aldama REBOUND (Off:0 Def:1),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Above the Break 3,24+ Right Center,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
16,PT10M31.00S,2022-11-06T23:12:30.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,83.78777923784494,39.950980392156865,1610612763,0,5,2022-11-06T23:12:34Z,160000,-50.0,100.0,1,right,MISS D. Brooks 11' driving floating Shot,[1628415],1610612763.0,MEM,driving floating,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Center,11.18,Missed,,,,,,,,,,,,,,,,,,
17,PT10M29.00S,2022-11-06T23:12:32.5Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,0,5,2022-11-06T23:12:34Z,170000,,,0,,K. Kuzma REBOUND (Off:0 Def:2),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,16.0,2.0,2.0,0.0,,,,,,,,,,
18,PT10M16.00S,2022-11-06T23:12:46.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630557,14.273981603153747,51.225490196078425,1610612764,0,7,2022-11-06T23:12:49Z,180000,-6.0,82.0,1,left,C. Kispert 8' pullup Jump Shot (2 PTS) (K. Porzingis 1 AST),"[1630557, 204001]",1610612764.0,WAS,pullup,,,Kispert,C. Kispert,,,,,In The Paint (Non-RA),8-16 Center,8.19,Made,2.0,K. Porzingis,204001.0,1.0,,,,,,,,,,,,,,
20,PT09M49.00S,2022-11-06T23:13:13.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,92.59198423127464,52.69607843137255,1610612763,0,7,2022-11-06T23:13:16Z,200000,13.0,17.0,1,right,MISS D. Bane driving finger roll Layup,[1630217],1610612763.0,MEM,driving finger roll,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,2.18,Missed,,,,,,,,,,,,,,,,,,
21,PT09M47.00S,2022-11-06T23:13:15.1Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,0,7,2022-11-06T23:13:16Z,210000,,,0,,K. Kuzma REBOUND (Off:0 Def:3),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,,,,,,,20.0,3.0,3.0,0.0,,,,,,,,,,
22,PT09M42.00S,2022-11-06T23:13:20.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628398,7.046649145860711,41.911764705882355,1610612764,0,7,2022-11-06T23:16:04Z,220000,40.0,14.0,1,left,MISS K. Kuzma running Layup,[1628398],1610612764.0,WAS,running,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,4.27,Missed,,,,,,,,,,,,,,,,,,
23,PT09M39.00S,2022-11-06T23:13:23.7Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,0,7,2022-11-06T23:13:24Z,230000,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,
24,PT09M32.00S,2022-11-06T23:13:30.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,85.10183968462549,42.40196078431372,1610612763,0,7,2022-11-06T23:13:36Z,240000,-38.0,88.0,1,right,MISS J. Morant 9' driving floating Shot,[1629630],1610612763.0,MEM,driving floating,,,Morant,J. Morant,,,,,In The Paint (Non-RA),8-16 Center,9.54,Missed,,,,,,,,,,,,,,,,,,
25,PT09M25.00S,2022-11-06T23:13:37.7Z,1,REGULAR,rebound,defensive,[],1630557,,,1610612764,0,7,2022-11-06T23:15:05Z,250000,,,0,,C. Kispert REBOUND (Off:0 Def:1),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,
