actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-03-10T00:32:43.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-10T00:32:43Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-03-10T00:32:46.0Z,1,REGULAR,jumpball,recovered,[],1626145,,,1610612763,0,0,2023-03-10T00:32:46Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. D. Green: Tip to T. Jones,"[1626145, 1628991, 203110]",1610612763.0,MEM,startperiod,T. Jones,1626145.0,Jones,T. Jones,Jackson Jr.,1628991.0,Green,203110.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2023-03-10T00:32:57.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630214,7.046649145860711,49.50980392156863,1610612763,2,0,2023-03-10T00:33:02Z,70000,False,2.0,14.0,1,left,X. Tillman cutting DUNK (2 PTS) (T. Jones 1 AST),"[1630214, 1626145]",1610612763.0,MEM,cutting,,,Tillman,X. Tillman,,,,,Restricted Area,0-8 Center,1.39,Made,2.0,T. Jones,1626145.0,1.0,,,,,,,,,,,,,,
9,PT11M25.00S,2023-03-10T00:33:17.1Z,1,REGULAR,3pt,Jump Shot,[],203110,68.15045992115637,39.950980392156865,1610612744,2,0,2023-03-10T00:33:21Z,90000,False,-50.0,247.0,1,right,MISS D. Green 25' 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Center,25.2,Missed,,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2023-03-10T00:33:20.1Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,2,0,2023-03-10T00:33:21Z,100000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M16.00S,2023-03-10T00:33:26.5Z,1,REGULAR,3pt,Jump Shot,[],1626145,31.35676741130092,20.588235294117645,1610612763,5,0,2023-03-10T00:33:31Z,110000,False,147.0,242.0,1,left,T. Jones 28' 3PT  (3 PTS) (J. Jackson Jr. 1 AST),"[1626145, 1628991]",1610612763.0,MEM,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Right Center,28.35,Made,3.0,J. Jackson Jr.,1628991.0,1.0,,,,,,,,,,,,,,
13,PT10M58.00S,2023-03-10T00:33:44.5Z,1,REGULAR,foul,personal,['2freethrow'],1628415,,,1610612744,5,0,2023-03-10T00:34:04Z,130000,False,,,0,,D. Brooks shooting personal FOUL (1 PF) (Curry 2 FT),"[1628415, 201939]",1610612763.0,MEM,shooting,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,,,,,,,,,,,2534.0,1.0,0.0,Curry,201939.0,,,,,
15,PT10M58.00S,2023-03-10T00:34:12.2Z,1,REGULAR,freethrow,1 of 2,[],201939,,,1610612744,5,1,2023-03-10T00:34:12Z,150000,False,,,0,,S. Curry Free Throw 1 of 2 (1 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
16,PT10M58.00S,2023-03-10T00:34:27.9Z,1,REGULAR,freethrow,2 of 2,[],201939,,,1610612744,5,2,2023-03-10T00:34:27Z,160000,False,,,0,,S. Curry Free Throw 2 of 2 (2 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
17,PT10M37.00S,2023-03-10T00:34:52.0Z,1,REGULAR,3pt,Jump Shot,[],1628991,31.09395532194481,32.59803921568628,1610612763,8,2,2023-03-10T00:34:57Z,170000,False,87.0,240.0,1,left,J. Jackson Jr. 25' 3PT step back (3 PTS) (T. Jones 2 AST),"[1628991, 1626145]",1610612763.0,MEM,step back,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Right Center,25.51,Made,3.0,T. Jones,1626145.0,2.0,,,,,,,,,,,,,,
