actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-02-26T01:10:52.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-26T01:10:52Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2023-02-26T01:10:57.6Z,1,REGULAR,jumpball,recovered,[],1630214,,,1610612763,0,0,2023-02-26T01:10:57Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. N. Jokic: Tip to X. Tillman,"[1630214, 1628991, 203999]",1610612763.0,MEM,startperiod,X. Tillman,1630214.0,Tillman,X. Tillman,Jackson Jr.,1628991.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-02-26T01:11:10.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,6.389618922470433,44.36274509803921,1610612763,0,0,2023-02-26T01:15:59Z,70000,False,28.0,8.0,1,left,MISS J. Jackson Jr. turnaround Shot - blocked,"[1628991, 1628427]",1610612763.0,MEM,turnaround,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,2.92,Missed,Cancar,1628427.0,,,,,,,,,,,,,,,,
33,PT11M41.00S,2023-02-26T01:11:10.5Z,1,REGULAR,block,,[],1628427,,,1610612763,0,0,2023-02-26T01:14:16Z,75000,False,,,0,,V. Cancar BLOCK (1 BLK),[1628427],1610612743.0,DEN,,,,Cancar,V. Cancar,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2023-02-26T01:11:13.5Z,1,REGULAR,rebound,defensive,[],1628427,,,1610612743,0,0,2023-02-26T01:14:29Z,80000,False,,,0,,V. Cancar REBOUND (Off:0 Def:1),[1628427],1610612743.0,DEN,,,,Cancar,V. Cancar,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
9,PT11M35.00S,2023-02-26T01:11:15.7Z,1,REGULAR,turnover,lost ball,[],1629008,,,1610612743,0,0,2023-02-26T01:11:19Z,90000,False,,,0,,M. Porter Jr. lost ball TURNOVER (1 TO),"[1629008, 1628415]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,1.0,Brooks,1628415.0,,,,,,,,,
10,PT11M35.00S,2023-02-26T01:11:15.7Z,1,REGULAR,steal,,[],1628415,,,1610612763,0,0,2023-02-26T01:11:17Z,100000,False,,,0,,D. Brooks STEAL (1 STL),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
11,PT11M29.00S,2023-02-26T01:11:21.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629630,5.469776609724048,47.549019607843135,1610612763,0,0,2023-02-26T01:11:25Z,110000,False,12.0,-1.0,1,left,MISS J. Morant driving reverse Layup,[1629630],1610612763.0,MEM,driving reverse,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,1.23,Missed,,,,,,,,,,,,,,,,,,
12,PT11M27.00S,2023-02-26T01:11:23.4Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,0,2023-02-26T01:11:25Z,120000,False,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,
13,PT11M23.00S,2023-02-26T01:11:28.7Z,1,REGULAR,turnover,bad pass,[],203484,,,1610612743,0,0,2023-02-26T01:11:31Z,130000,False,,,0,,K. Caldwell-Pope bad pass TURNOVER (1 TO),"[203484, 1628991]",1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1.0,Jackson Jr.,1628991.0,,,,,,,,,
