actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-01-12T01:10:15.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-12T01:10:15Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-01-12T01:10:19.2Z,1,REGULAR,jumpball,recovered,[],1630217,,,1610612763,0,0,2023-01-12T01:10:19Z,40000,False,,,0,,Jump Ball S. Adams vs. J. Poeltl: Tip to D. Bane,"[1630217, 203500, 1627751]",1610612763.0,MEM,startperiod,D. Bane,1630217.0,Bane,D. Bane,Adams,203500.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2023-01-12T01:10:33.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,7.30946123521682,53.92156862745098,1610612763,0,0,2023-01-12T01:10:39Z,70000,False,-20.0,16.0,1,left,MISS J. Jackson Jr. driving floating Shot - blocked,"[1628991, 1627751]",1610612763.0,MEM,driving floating,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,2.54,Missed,Poeltl,1627751.0,,,,,,,,,,,,,,,,
8,PT11M42.00S,2023-01-12T01:10:33.8Z,1,REGULAR,block,,[],1627751,,,1610612763,0,0,2023-01-12T01:10:36Z,80000,False,,,0,,J. Poeltl BLOCK (1 BLK),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M42.00S,2023-01-12T01:10:33.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,0,0,2023-01-12T01:10:39Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Restricted Area,0-8 Center,,,,,7.0,,,,,,,,,,,,,,,
11,PT11M37.00S,2023-01-12T01:10:55.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630217,16.376478318002626,3.9215686274509802,1610612763,3,0,2023-01-12T01:11:00Z,110000,False,230.0,101.0,1,left,D. Bane 25' 3PT pullup (3 PTS) (J. Morant 1 AST),"[1630217, 1629630]",1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,Above the Break 3,24+ Right Center,25.17,Made,,,,3.0,J. Morant,1629630.0,1.0,,,,,,,,,,,
13,PT11M21.00S,2023-01-12T01:11:10.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,81.94809461235218,46.568627450980394,1610612759,3,2,2023-01-12T01:11:15Z,130000,False,-17.0,117.0,1,right,J. Poeltl 11' Jump Shot (2 PTS) (J. Sochan 1 AST),"[1627751, 1631110]",1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,11.85,Made,,,,2.0,J. Sochan,1631110.0,1.0,,,,,,,,,,,
15,PT11M10.00S,2023-01-12T01:11:21.8Z,1,REGULAR,2pt,Jump Shot,[],1628415,25.837713534822605,58.333333333333336,1610612763,3,2,2023-01-12T01:11:26Z,150000,False,-42.0,190.0,1,left,MISS D. Brooks 19' pullup Shot,[1628415],1610612763.0,MEM,pullup,,,Brooks,D. Brooks,,,,,Mid-Range,16-24 Center,19.49,Missed,,,,,,,,,,,,,,,,,,
16,PT11M06.00S,2023-01-12T01:11:25.8Z,1,REGULAR,rebound,defensive,[],1630200,,,1610612759,3,2,2023-01-12T01:11:26Z,160000,False,,,0,,T. Jones REBOUND (Off:0 Def:1),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Mid-Range,16-24 Center,,,,,15.0,,,,,1.0,1.0,0.0,,,,,,,,
17,PT10M51.00S,2023-01-12T01:11:40.6Z,1,REGULAR,3pt,Jump Shot,[],1629641,91.01511169513797,3.9215686274509802,1610612759,3,5,2023-01-12T01:11:45Z,170000,False,-230.0,32.0,1,right,R. Langford 3PT  (3 PTS) (K. Johnson 1 AST),"[1629641, 1629640]",1610612759.0,SAS,,,,Langford,R. Langford,,,,,Left Corner 3,24+ Left,23.26,Made,,,,3.0,K. Johnson,1629640.0,1.0,,,,,,,,,,,
19,PT10M43.00S,2023-01-12T01:11:49.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,10.200394218134035,53.431372549019606,1610612763,3,5,2023-01-12T01:11:53Z,190000,False,-17.0,43.0,1,left,MISS D. Brooks driving floating Shot - blocked,"[1628415, 1627751]",1610612763.0,MEM,driving floating,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),0-8 Center,4.67,Missed,Poeltl,1627751.0,,,,,,,,,,,,,,,,
20,PT10M43.00S,2023-01-12T01:11:49.2Z,1,REGULAR,block,,[],1627751,,,1610612763,3,5,2023-01-12T01:11:51Z,200000,False,,,0,,J. Poeltl BLOCK (2 BLK),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
21,PT10M41.00S,2023-01-12T01:11:51.2Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,3,5,2023-01-12T01:11:53Z,210000,False,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,19.0,,,,,1.0,1.0,0.0,,,,,,,,
22,PT10M37.00S,2023-01-12T01:11:55.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629640,68.67608409986859,68.38235294117648,1610612759,3,5,2023-01-12T01:12:02Z,220000,False,92.0,242.0,1,right,MISS K. Johnson 25' running 3PT,[1629640],1610612759.0,SAS,running,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Right Center,25.88,Missed,,,,,,,,,,,,,,,,,,
23,PT10M33.00S,2023-01-12T01:11:59.6Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,3,5,2023-01-12T01:12:02Z,230000,False,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Above the Break 3,24+ Right Center,,,,,22.0,,,,,1.0,1.0,0.0,,,,,,,,
24,PT10M24.00S,2023-01-12T01:12:08.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,8.754927726675426,51.470588235294116,1610612763,3,5,2023-01-12T01:12:15Z,240000,False,-7.0,30.0,1,left,MISS J. Morant driving floating Shot,[1629630],1610612763.0,MEM,driving floating,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,3.07,Missed,,,,,,,,,,,,,,,,,,
25,PT10M24.00S,2023-01-12T01:12:08.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,3,5,2023-01-12T01:12:15Z,250000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Restricted Area,0-8 Center,,,,,24.0,,,,,,,,,,,,,,,
26,PT10M24.00S,2023-01-12T01:12:12.5Z,1,REGULAR,turnover,traveling,[],1629630,,,1610612763,3,5,2023-01-12T01:12:20Z,260000,False,,,0,,J. Morant traveling TURNOVER (1 TO),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1628172.0,1.0,,,,,,
27,PT10M03.00S,2023-01-12T01:12:42.7Z,1,REGULAR,foul,personal,[],1628415,,,1610612759,3,5,2023-01-12T01:12:50Z,270000,False,,,0,,D. Brooks personal FOUL (1 PF),"[1628415, 1629641]",1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,1155.0,,1.0,0.0,Langford,1629641.0,,
29,PT09M56.00S,2023-01-12T01:13:05.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630200,93.11760840998686,45.83333333333333,1610612759,3,5,2023-01-12T01:13:10Z,290000,False,-21.0,12.0,1,right,MISS T. Jones driving reverse Layup,[1630200],1610612759.0,SAS,driving reverse,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,2.41,Missed,,,,,,,,,,,,,,,,,,
30,PT09M54.00S,2023-01-12T01:13:07.5Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,3,5,2023-01-12T01:13:10Z,300000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,,,29.0,,,,,1.0,1.0,0.0,,,,,,,,
31,PT09M41.00S,2023-01-12T01:13:22.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,13.091327201051248,51.225490196078425,1610612763,5,5,2023-01-12T01:13:28Z,310000,False,-6.0,71.0,1,left,J. Morant 7' driving floating Jump Shot (2 PTS),[1629630],1610612763.0,MEM,driving floating,,,Morant,J. Morant,,,,,In The Paint (Non-RA),0-8 Center,7.09,Made,,,,2.0,,,,,,,,,,,,,,
