actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-10-25T00:11:02.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-25T00:11:02Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-25T00:11:05.5Z,1,REGULAR,jumpball,recovered,[],1626220,,,1610612751,0,0,2022-10-25T00:11:05Z,40000,,,0,,Jump Ball N. Claxton vs. S. Adams: Tip to R. O'Neale,"[1626220, 1629651, 203500]",1610612751.0,BKN,startperiod,R. O'Neale,1626220.0,O'Neale,R. O'Neale,Claxton,1629651.0,Adams,203500.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M55.00S,2022-10-25T00:11:07.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626220,89.04402102496715,44.85294117647059,1610612751,0,0,2022-10-25T00:11:12Z,70000,-26.0,50.0,1,right,MISS R. O'Neale driving finger roll Layup,[1626220],1610612751.0,BKN,driving finger roll,,,O'Neale,R. O'Neale,,,,,In The Paint (Non-RA),0-8 Center,5.67,Missed,,,,,,,,,,,,,,,,,,
8,PT11M52.00S,2022-10-25T00:11:10.3Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,0,0,2022-10-25T00:11:12Z,80000,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M37.00S,2022-10-25T00:11:24.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203500,7.046649145860711,47.30392156862745,1610612763,0,0,2022-10-25T00:11:28Z,90000,13.0,14.0,1,left,MISS S. Adams cutting Layup,[203500],1610612763.0,MEM,cutting,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,1.92,Missed,,,,,,,,,,,,,,,,,,
10,PT11M36.00S,2022-10-25T00:11:26.7Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,0,0,2022-10-25T00:11:26Z,100000,,,0,,S. Adams REBOUND (Off:1 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,,,9.0,2.0,1.0,1.0,,,,,,,,,,,,,,
11,PT11M34.00S,2022-10-25T00:11:29.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628415,17.559132720105126,5.88235294117647,1610612763,0,0,2022-10-25T00:11:33Z,110000,221.0,113.0,1,left,MISS D. Brooks 24' 3PT,[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,24.77,Missed,,,,,,,,,,,,,,,,,,
12,PT11M30.00S,2022-10-25T00:11:33.1Z,1,REGULAR,rebound,defensive,[],1627732,,,1610612751,0,0,2022-10-25T00:11:33Z,120000,,,0,,B. Simmons REBOUND (Off:0 Def:1),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Above the Break 3,24+ Right Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M19.00S,2022-10-25T00:11:45.7Z,1,REGULAR,foul,personal,[],1628415,,,1610612751,0,0,2022-10-25T00:11:54Z,130000,,,0,,D. Brooks personal FOUL (1 PF),"[1628415, 202681]",1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,,,,,,,2882.0,1.0,0.0,Irving,202681.0,,,,,,,,,
15,PT11M08.00S,2022-10-25T00:12:10.1Z,1,REGULAR,2pt,Jump Shot,[],201142,87.72996057818659,23.284313725490197,1610612751,0,0,2022-10-25T00:12:15Z,150000,-134.0,63.0,1,right,MISS K. Durant 14' pullup Shot - blocked,"[201142, 203500]",1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,Mid-Range,8-16 Left,14.76,Missed,,,,,,,,,,Adams,203500.0,,,,,,,
24,PT11M08.00S,2022-10-25T00:12:10.1Z,1,REGULAR,block,,[],203500,,,1610612751,0,0,2022-10-25T00:13:24Z,155000,,,0,,S. Adams BLOCK (1 BLK),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
16,PT11M05.00S,2022-10-25T00:12:13.1Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,0,0,2022-10-25T00:12:15Z,160000,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,Mid-Range,8-16 Left,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT11M02.00S,2022-10-25T00:12:17.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629630,9.280551905387648,47.30392156862745,1610612763,2,0,2022-10-25T00:17:33Z,170000,13.0,35.0,1,left,J. Morant driving Layup (2 PTS),[1629630],1610612763.0,MEM,driving,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,3.72,Made,,,,,,,,,,,,2.0,,,,,,
18,PT10M51.00S,2022-10-25T00:12:28.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627732,87.86136662286465,51.225490196078425,1610612751,2,0,2022-10-25T00:12:34Z,180000,6.0,62.0,1,right,MISS B. Simmons 6' driving floating Shot,[1627732],1610612751.0,BKN,driving floating,,,Simmons,B. Simmons,,,,,In The Paint (Non-RA),0-8 Center,6.19,Missed,,,,,,,,,,,,,,,,,,
19,PT10M49.00S,2022-10-25T00:12:32.8Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,2,0,2022-10-25T00:12:32Z,190000,,,0,,N. Claxton REBOUND (Off:1 Def:0),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,18.0,1.0,0.0,1.0,,,,,,,,,,,,,,
20,PT10M49.00S,2022-10-25T00:12:33.4Z,1,REGULAR,foul,personal,['2freethrow'],203500,,,1610612751,2,0,2022-10-25T00:12:41Z,200000,,,0,,S. Adams shooting personal FOUL (1 PF) (Claxton 2 FT),"[203500, 1629651]",1610612763.0,MEM,shooting,,,Adams,S. Adams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202037.0,1.0,0.0,Claxton,1629651.0,,,,,,,,,
22,PT10M49.00S,2022-10-25T00:12:57.3Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629651,,,1610612751,2,1,2022-10-25T00:12:57Z,220000,,,0,,N. Claxton Free Throw 1 of 2 (1 PTS),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,Made,,,,,,,,,,,,1.0,,,,,,
23,PT10M49.00S,2022-10-25T00:13:10.6Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629651,,,1610612751,2,2,2022-10-25T00:13:10Z,230000,,,0,,N. Claxton Free Throw 2 of 2 (2 PTS),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,Made,,,,,,,,,,,,2.0,,,,,,
25,PT10M35.00S,2022-10-25T00:13:26.2Z,1,REGULAR,3pt,Jump Shot,[],1630217,28.991458607095925,73.2843137254902,1610612763,5,2,2022-10-25T00:13:31Z,240000,-116.0,220.0,1,left,D. Bane 24' 3PT step back (3 PTS) (J. Morant 1 AST),"[1630217, 1629630]",1610612763.0,MEM,step back,,,Bane,D. Bane,,,,,Above the Break 3,24+ Left Center,24.89,Made,,,,,,,,,,,,3.0,J. Morant,1629630.0,1.0,,,
27,PT10M15.00S,2022-10-25T00:13:49.5Z,1,REGULAR,foul,personal,[],1628415,,,1610612751,5,2,2022-10-25T00:13:57Z,260000,,,0,,D. Brooks personal FOUL (2 PF),"[1628415, 201142]",1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,Mid-Range,16-24 Right Center,,,,,,,1627962.0,2.0,0.0,Durant,201142.0,,,,,,,,,
29,PT10M10.00S,2022-10-25T00:14:09.1Z,1,REGULAR,turnover,bad pass,[],1627732,,,1610612751,5,2,2022-10-25T00:14:12Z,280000,,,0,,B. Simmons bad pass TURNOVER (1 TO),"[1627732, 1630217]",1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,1.0,Bane,1630217.0
