actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-02-14T00:10:36.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-14T00:10:36Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-02-14T00:10:38.9Z,1,REGULAR,jumpball,recovered,[],200782,,,1610612755,0,0,2023-02-14T00:10:39Z,40000,False,,,0,,Jump Ball J. Embiid vs. A. Sengun: Tip to P. Tucker,"[200782, 203954, 1630578]",1610612755.0,PHI,startperiod,P. Tucker,200782.0,Tucker,P. Tucker,Embiid,203954.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2023-02-14T00:10:58.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,18.610381077529567,39.21568627450981,1610612755,2,0,2023-02-14T00:11:03Z,70000,False,54.0,122.0,1,left,J. Embiid 13' fadeaway Jump Shot (2 PTS),[203954],1610612755.0,PHI,fadeaway,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,13.37,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M17.00S,2023-02-14T00:11:18.4Z,1,REGULAR,2pt,Jump Shot,[],1630224,85.62746386333771,17.647058823529413,1610612745,2,0,2023-02-14T00:11:24Z,80000,False,-162.0,83.0,1,right,MISS J. Green 18' pullup Shot,[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Mid-Range,16-24 Left,18.17,Missed,,,,,,,,,,,,,,,,,,
9,PT11M12.00S,2023-02-14T00:11:23.6Z,1,REGULAR,rebound,offensive,[],1631095,,,1610612745,2,0,2023-02-14T00:11:23Z,90000,False,,,0,,J. Smith Jr. REBOUND (Off:1 Def:0),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,16-24 Left,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,,
10,PT11M12.00S,2023-02-14T00:11:23.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631095,94.40999984741211,50.0,1610612745,2,2,2023-02-14T00:11:23Z,100000,False,0.0,0.0,1,right,J. Smith Jr. putback Layup (2 PTS),[1631095],1610612745.0,HOU,putback,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,,
11,PT11M03.00S,2023-02-14T00:11:32.4Z,1,REGULAR,3pt,Jump Shot,[],203954,32.013797634691194,41.42156862745098,1610612755,2,2,2023-02-14T00:11:36Z,110000,False,43.0,248.0,1,left,MISS J. Embiid 25' 3PT,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Center,25.21,Missed,,,,,,,,,,,,,,,,,,
12,PT11M00.00S,2023-02-14T00:11:35.4Z,1,REGULAR,rebound,defensive,[],1630256,,,1610612745,2,2,2023-02-14T00:11:36Z,120000,False,,,0,,J. Tate REBOUND (Off:0 Def:1),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,Above the Break 3,24+ Center,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT10M48.00S,2023-02-14T00:11:49.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,93.9060446780552,57.35294117647059,1610612745,2,2,2023-02-14T00:11:58Z,130000,False,37.0,5.0,1,right,MISS J. Green driving finger roll Layup,[1630224],1610612745.0,HOU,driving finger roll,,,Green,J. Green,,,,,Restricted Area,0-8 Center,3.71,Missed,,,,,,,,,,,,,,,,,,
14,PT10M48.00S,2023-02-14T00:11:49.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,2,2,2023-02-14T00:11:58Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Restricted Area,0-8 Center,,,,13.0,,,,,,,,,,,,,,,,
15,PT10M48.00S,2023-02-14T00:11:54.5Z,1,REGULAR,foul,personal,[],1629001,,,1610612745,2,2,2023-02-14T00:12:03Z,150000,False,,,0,,D. Melton loose ball personal FOUL (1 PF),"[1629001, 1630578]",1610612755.0,PHI,loose ball,,,Melton,D. Melton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,2005.0,1.0,0.0,Sengun,1630578.0,,,,,,,,
17,PT10M40.00S,2023-02-14T00:12:19.2Z,1,REGULAR,foul,personal,['2freethrow'],202699,,,1610612745,2,2,2023-02-14T00:12:27Z,170000,False,,,0,,T. Harris shooting personal FOUL (1 PF) (Tate 2 FT),"[202699, 1630256]",1610612755.0,PHI,shooting,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,,,,,,,,1627529.0,1.0,0.0,Tate,1630256.0,,,,,,,,
19,PT10M40.00S,2023-02-14T00:12:37.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630256,,,1610612745,2,3,2023-02-14T00:12:37Z,190000,False,,,0,,J. Tate Free Throw 1 of 2 (1 PTS),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
20,PT10M40.00S,2023-02-14T00:12:54.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630256,,,1610612745,2,4,2023-02-14T00:12:54Z,200000,False,,,0,,J. Tate Free Throw 2 of 2 (2 PTS),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
21,PT10M23.00S,2023-02-14T00:13:13.8Z,1,REGULAR,3pt,Jump Shot,[],202699,29.25427069645204,76.22549019607843,1610612755,5,4,2023-02-14T00:13:17Z,210000,False,-131.0,222.0,1,left,T. Harris 25' 3PT  (3 PTS) (J. Harden 1 AST),"[202699, 201935]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Left Center,25.83,Made,3.0,,,,,,,,,,J. Harden,201935.0,1.0,,,,,
23,PT10M00.00S,2023-02-14T00:13:36.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,93.38042049934296,47.549019607843135,1610612745,5,6,2023-02-14T00:13:41Z,230000,False,-12.0,10.0,1,right,A. Sengun driving reverse Layup (2 PTS),[1630578],1610612745.0,HOU,driving reverse,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,1.57,Made,2.0,,,,,,,,,,,,,,,,,
24,PT09M48.00S,2023-02-14T00:13:48.3Z,1,REGULAR,3pt,Jump Shot,[],201935,11.514454664914586,2.696078431372549,1610612755,5,6,2023-02-14T00:13:54Z,240000,False,237.0,56.0,1,left,MISS J. Harden 24' 3PT,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,Right Corner 3,24+ Right,24.3,Missed,,,,,,,,,,,,,,,,,,
25,PT09M45.00S,2023-02-14T00:13:51.4Z,1,REGULAR,rebound,offensive,[],202699,,,1610612755,5,6,2023-02-14T00:13:51Z,250000,False,,,0,,T. Harris REBOUND (Off:1 Def:0),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Right Corner 3,24+ Right,,,,24.0,1.0,0.0,1.0,,,,,,,,,,,,,
