actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-02-02T00:10:55.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-02T00:10:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-02-02T00:10:58.4Z,1,REGULAR,jumpball,recovered,[],201935,,,1610612755,0,0,2023-02-02T00:10:58Z,40000,False,,,0,,Jump Ball J. Embiid vs. W. Carter Jr.: Tip to J. Harden,"[201935, 203954, 1628976]",1610612755.0,PHI,startperiod,J. Harden,201935.0,Harden,J. Harden,Embiid,203954.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-02-02T00:11:13.1Z,1,REGULAR,foul,personal,['2freethrow'],1631094,,,1610612755,0,0,2023-02-02T00:11:20Z,70000,False,,,0,,P. Banchero shooting personal FOUL (1 PF) (Harden 2 FT),"[1631094, 201935]",1610612753.0,ORL,shooting,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,202901.0,1.0,0.0,Harden,201935.0,,,,,,,,,,,,,,,
9,PT11M44.00S,2023-02-02T00:11:35.7Z,1,REGULAR,freethrow,1 of 2,[],201935,,,1610612755,1,0,2023-02-02T00:11:35Z,90000,False,,,0,,J. Harden Free Throw 1 of 2 (1 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M44.00S,2023-02-02T00:11:50.5Z,1,REGULAR,freethrow,2 of 2,[],201935,,,1610612755,2,0,2023-02-02T00:11:50Z,100000,False,,,0,,J. Harden Free Throw 2 of 2 (2 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M24.00S,2023-02-02T00:12:11.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,92.19776609724047,51.225490196078425,1610612753,2,2,2023-02-02T00:12:17Z,110000,False,6.0,21.0,1,right,P. Banchero Layup (2 PTS) (W. Carter Jr. 1 AST),"[1631094, 1628976]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,2.17,W. Carter Jr.,1628976.0,1.0,,,,,,,,,
13,PT11M05.00S,2023-02-02T00:12:30.9Z,1,REGULAR,3pt,Jump Shot,[],200782,9.543363994743759,96.32352941176471,1610612755,2,2,2023-02-02T00:12:35Z,130000,False,-232.0,37.0,1,left,MISS P. Tucker 3PT,[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Left Corner 3,24+ Left,,,,,,Missed,,23.46,,,,,,,,,,,,
14,PT11M03.00S,2023-02-02T00:12:32.9Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,2,2,2023-02-02T00:12:35Z,140000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,
15,PT10M59.00S,2023-02-02T00:12:37.2Z,1,REGULAR,turnover,lost ball,[],1628976,,,1610612753,2,2,2023-02-02T00:12:42Z,150000,False,,,0,,W. Carter Jr. lost ball TURNOVER (1 TO),"[1628976, 200782]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,1.0,Tucker,200782.0,,
16,PT10M59.00S,2023-02-02T00:12:37.2Z,1,REGULAR,steal,,[],200782,,,1610612755,2,2,2023-02-02T00:12:39Z,160000,False,,,0,,P. Tucker STEAL (1 STL),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
